dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
GOIMAI,convnext_tiny,gaussian_blur,12,0.8802310228347778,0.18030946289652966,0.17105410993099213,0.09759547383309759,0.9887058823529411,0.8911104085198435
GOIMAI,convnext_tiny,compound,severe,0.9312366247177124,0.158037105307284,0.3297247737646103,0.026402640264026403,0.9887058823529411,0.9623032420889147
GOIMAI,convnext_tiny,resize,2.0,0.359878808259964,0.011667016316766587,-0.057552337646484375,0.8585572842998586,0.9887058823529411,0.13014859805308254
GOIMAI,convnext_tiny,defocus_blur,5,0.5597218871116638,0.06625633916576362,-0.023951947689056396,0.3569071192833569,0.9887058823529411,0.6317987630695843
GOIMAI,convnext_tiny,illumination,0.7,0.013454552739858627,-0.009171564097028517,0.006473243236541748,0.9948137670909948,0.9887058823529411,-0.006107884738053682
GOIMAI,convnext_tiny,jpeg,10,0.6690279245376587,0.059977742694291736,-0.037424713373184204,0.34464875058934463,0.9887058823529411,0.6440571317635965
GOIMAI,convnext_tiny,red_channel_shift,-45,0.06278601288795471,0.011820194593385569,0.021348923444747925,0.9905704856199906,0.9887058823529411,-0.0018646032670495138
GOIMAI,convnext_tiny,green_channel_shift,-45,0.13148483633995056,-0.026780455356638755,0.009592920541763306,0.974068835454974,0.9887058823529411,0.014637046897967076
GOIMAI,convnext_tiny,blue_channel_shift,-45,0.07106995582580566,-0.015655070385012404,0.005936294794082642,0.9896275341819897,0.9887058823529411,-0.0009216518290485753
GOIMAI,convnext_tiny,gaussian_noise,0.1,0.3611067235469818,-0.00476557929443272,-0.03194829821586609,0.586044318717586,0.9887058823529411,0.4026615636353551
GOIMAI,convnext_tiny,shot_noise,15,0.5316619873046875,-0.0104936938619547,0.02008882164955139,0.24328147100424327,0.9887058823529411,0.7454244113486979
GOIMAI,convnext_tiny,impulse_noise,0.05,0.3258255124092102,-0.018046510074968602,-0.004046201705932617,0.6553512494106554,0.9887058823529411,0.33335463294228573
GOIMAI,convnext_tiny,motion_blur,15,0.5971276760101318,0.10750954705730453,0.034789979457855225,0.2626119754832626,0.9887058823529411,0.7260939068696786
GOIMAI,convnext_tiny,zoom_blur,1.2,0.5621019601821899,0.02303647109241541,0.11571979522705078,0.16548797736916548,0.9887058823529411,0.8232179049837756
GOIMAI,convnext_tiny,contrast,0.5,0.04637308418750763,-0.02371951968245356,0.0012646317481994629,0.9933993399339934,0.9887058823529411,-0.004693457581052329
GOIMAI,convnext_tiny,pixelate,0.25,0.8478175401687622,0.0410808291819556,0.29278797656297684,0.04054691183404055,0.9887058823529411,0.9481589705189005
GOIMAI,convnext_tiny,scratch,severe,0.7511247396469116,0.3981267260134002,0.2534811943769455,0.30363036303630364,0.9887058823529411,0.6850755193166375
GOIMAI,convnext_tiny,rotation,45,0.614723801612854,-0.014073927452370683,0.04240143299102783,0.48043375766148044,0.9887058823529411,0.5082721246914607
GOIMAI,convnext_tiny,compound_optical,severe,0.9011678695678711,0.2140410243365179,0.1566823571920395,0.10278170674210278,0.9887058823529411,0.8859241756108384
GOIMAI,convnext_tiny,compound_digital,severe,0.8034152984619141,0.11648741923724681,0.11888197064399719,0.1206977840641207,0.9887058823529411,0.8680080982888204
GOIMAI,convnext_tiny,compound_field,severe,0.7907708287239075,0.09471925753873173,0.12918537855148315,0.07779349363507779,0.9887058823529411,0.9109123887178633
