dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
BD11,swin_tiny,gaussian_blur,12,0.9377157092094421,0.34261301334104455,0.23010984063148499,0.13863636363636364,0.890909090909091,0.7522727272727273
BD11,swin_tiny,compound,severe,1.0127125978469849,0.9020034482656843,0.28093529865145683,0.1318181818181818,0.890909090909091,0.7590909090909091
BD11,swin_tiny,resize,2.0,0.3930048942565918,0.12728056708010627,-0.01426154375076294,0.7977272727272727,0.890909090909091,0.09318181818181825
BD11,swin_tiny,defocus_blur,5,0.5213767290115356,0.024145473849868537,0.018775641918182373,0.5909090909090909,0.890909090909091,0.30000000000000004
BD11,swin_tiny,illumination,0.7,0.04909577965736389,0.02366164918757807,-0.021607547998428345,0.9681818181818181,0.890909090909091,-0.07727272727272716
BD11,swin_tiny,jpeg,10,0.5614050030708313,0.0306780903464815,0.041239798069000244,0.7977272727272727,0.890909090909091,0.09318181818181825
BD11,swin_tiny,red_channel_shift,-45,0.08272966742515564,0.01091337445217555,-0.020790159702301025,0.9545454545454546,0.890909090909091,-0.0636363636363636
BD11,swin_tiny,green_channel_shift,-45,0.1447688192129135,0.020613546432550645,-0.005695730447769165,0.8931818181818182,0.890909090909091,-0.002272727272727204
BD11,swin_tiny,blue_channel_shift,-45,0.06630171835422516,-0.004201517687168144,0.0035644471645355225,0.9386363636363636,0.890909090909091,-0.04772727272727262
BD11,swin_tiny,gaussian_noise,0.1,0.16304786503314972,0.05243941257324103,0.005592048168182373,0.9113636363636364,0.890909090909091,-0.020454545454545392
BD11,swin_tiny,shot_noise,15,0.34877097606658936,0.08358193338742137,-0.0014059841632843018,0.8136363636363636,0.890909090909091,0.07727272727272738
BD11,swin_tiny,impulse_noise,0.05,0.24347326159477234,0.0019514128718183255,0.028106659650802612,0.9136363636363637,0.890909090909091,-0.022727272727272707
BD11,swin_tiny,motion_blur,15,0.5690135955810547,0.114342132628799,0.05151984095573425,0.47954545454545455,0.890909090909091,0.41136363636363643
BD11,swin_tiny,zoom_blur,1.2,0.7887178063392639,0.4130075558766605,0.21623864024877548,0.2,0.890909090909091,0.6909090909090909
BD11,swin_tiny,contrast,0.5,0.09693443775177002,0.03145702636775305,-0.013962507247924805,0.9409090909090909,0.890909090909091,-0.04999999999999993
BD11,swin_tiny,pixelate,0.25,0.9829593300819397,-0.06652530359532938,0.23837391287088394,0.09318181818181819,0.890909090909091,0.7977272727272728
BD11,swin_tiny,scratch,severe,0.4688434898853302,0.2878381966581437,0.1433732807636261,0.8772727272727273,0.890909090909091,0.013636363636363669
BD11,swin_tiny,rotation,45,0.4580806791782379,0.06237250268840777,0.09737434983253479,0.6522727272727272,0.890909090909091,0.23863636363636376
BD11,swin_tiny,compound_optical,severe,0.8777095675468445,0.18454422967744843,0.15539219975471497,0.15,0.890909090909091,0.740909090909091
BD11,swin_tiny,compound_digital,severe,0.8271666765213013,0.04219776017071164,0.18835315108299255,0.1590909090909091,0.890909090909091,0.7318181818181819
BD11,swin_tiny,compound_field,severe,0.8977203369140625,0.2539424794438693,0.14228112995624542,0.15681818181818183,0.890909090909091,0.7340909090909091
