dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
DTSR14,clean,0,resnet50,0.978663672094329,0.9719258843346434,0.9848399775407075,0.003327405727535903
DTSR14,gaussian_blur,12,resnet50,0.12052117263843648,0.1133325845220712,0.12715096035044368,0.0034995662632721033
DTSR14,defocus_blur,11,resnet50,0.21183870605413904,0.20375154442322813,0.22026564079523756,0.004234898487562904
DTSR14,resize,2.0,resnet50,0.6165337526676401,0.6059755138717287,0.6261962259912389,0.00509806804020465
DTSR14,jpeg,10,resnet50,0.3924519824778165,0.3822307087498596,0.40200213411209706,0.0051553539839481535
DTSR14,scratch,severe,resnet50,0.3730203302257666,0.3625744131191733,0.38268561159159836,0.00519187274628494
DTSR14,compound,severe,resnet50,0.044591710659328314,0.04054812984387285,0.048750421206334944,0.0021409951841966104
DTSR14,compound_optical,severe,resnet50,0.08289340671683702,0.07716219251937549,0.08851229922498033,0.002838370144725878
DTSR14,compound_digital,severe,resnet50,0.229136246209143,0.22037234640008985,0.2377878243288779,0.004416285286230495
DTSR14,compound_field,severe,resnet50,0.2509266539368752,0.24205324048073684,0.26024935415028644,0.0046510504724170025
