dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
PCA11,clean,0,efficientnet_b3,0.9115331171838814,0.8994905048633627,0.9231125521074571,0.0060080915312857
PCA11,gaussian_blur,12,efficientnet_b3,0.2929133858267717,0.2845715609078277,0.30199397869383976,0.004420395191299229
PCA11,defocus_blur,11,efficientnet_b3,0.533024548402038,0.5236683649837888,0.5426609541454377,0.005011880769421218
PCA11,resize,2.0,efficientnet_b3,0.8204724409448819,0.8133395090319593,0.8272371468272348,0.0036359980288604155
PCA11,jpeg,10,efficientnet_b3,0.7374710514126911,0.729316813339509,0.7464566929133858,0.004349281038939023
PCA11,scratch,severe,efficientnet_b3,0.5240389069013432,0.5136637332098194,0.5331194997684113,0.004908593235220445
PCA11,compound,severe,efficientnet_b3,0.1430291801760074,0.136544696618805,0.14988420565076424,0.003429972953783306
PCA11,compound_optical,severe,efficientnet_b3,0.4113015284854099,0.4022209356183418,0.4208429828624363,0.004814043828555569
PCA11,compound_digital,severe,efficientnet_b3,0.5927744326076887,0.5838814265863825,0.6022232515053265,0.004746344898229587
PCA11,compound_field,severe,efficientnet_b3,0.33700787401574805,0.3284807781380269,0.34599583140342755,0.004487538797429061
