dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
WRD25,clean,0,mobilenetv3,0.9282407407407407,0.9027777777777778,0.9513888888888888,0.012582532746450558
WRD25,gaussian_blur,12,mobilenetv3,0.0871177015755329,0.07553290083410566,0.09916589434661724,0.006045942689326929
WRD25,defocus_blur,11,mobilenetv3,0.26135310472659873,0.24374420759962928,0.2799003707136237,0.009248254918847947
WRD25,resize,2.0,mobilenetv3,0.7154772937905468,0.6964782205746061,0.7354031510658017,0.009879809796303983
WRD25,jpeg,10,mobilenetv3,0.763206672845227,0.7451343836886005,0.7812905468025949,0.00932008415581291
WRD25,scratch,severe,mobilenetv3,0.7279888785912882,0.7085264133456904,0.7469879518072289,0.009602721051196137
WRD25,compound,severe,mobilenetv3,0.05004633920296571,0.04077849860982391,0.0597775718257646,0.004809875337643742
WRD25,compound_optical,severe,mobilenetv3,0.10658016682113068,0.09314179796107507,0.12048192771084337,0.006905128138717782
WRD25,compound_digital,severe,mobilenetv3,0.16543095458758109,0.15013901760889714,0.18118628359592215,0.007974155606818802
WRD25,compound_field,severe,mobilenetv3,0.20250231696014828,0.18535681186283595,0.22103799814643188,0.008830890383289235
