backbone,dataset,perturbation,feature_drift,mahal_delta,knn_dist,reference_bank_drift,accuracy_drop
hrnet32,WRD25,blur_2,0.16408783197402954,1193.4485798322985,0.14037132263183594,0.14037132263183594,0.1297497683039851
hrnet32,WRD25,blur_4,0.3857189416885376,4718.261357717602,0.31912052631378174,0.31912052631378174,0.5352177942539389
hrnet32,WRD25,blur_6,0.49717608094215393,7104.746256736014,0.4150131642818451,0.4150131642818451,0.7289156626506024
hrnet32,WRD25,blur_8,0.5706522464752197,8477.908897736726,0.4700353443622589,0.4700353443622589,0.7965708989805376
hrnet32,WRD25,blur_10,0.6122523546218872,8920.184740677574,0.49423301219940186,0.49423301219940186,0.829935125115848
hrnet32,WRD25,blur_12,0.6333219408988953,8960.088812833948,0.5042726993560791,0.5042726993560791,0.855885078776645
hrnet32,WRD25,defocus_3,0.1257869005203247,794.5145597875097,0.11167877167463303,0.11167877167463303,0.0792400370713624
hrnet32,WRD25,defocus_5,0.22675757110118866,1550.999765316652,0.18311315774917603,0.18311315774917603,0.27340129749768305
hrnet32,WRD25,defocus_8,0.3390424847602844,2547.1284289236496,0.2529745399951935,0.2529745399951935,0.5139017608897127
hrnet32,WRD25,defocus_11,0.446355938911438,3876.2473127902485,0.31740251183509827,0.31740251183509827,0.705746061167748
hrnet32,WRD25,defocus_15,0.5379281044006348,5522.650050788396,0.3861618638038635,0.3861618638038635,0.8387395736793327
hrnet32,WRD25,resize_1_33,0.05943286418914795,235.88579988230924,0.05650430917739868,0.05650430917739868,0.01807228915662651
hrnet32,WRD25,resize_1_67,0.11127477884292603,534.9456058022319,0.0975031778216362,0.0975031778216362,0.06719184430027803
hrnet32,WRD25,resize_2_0,0.16178473830223083,835.9337024113591,0.13308951258659363,0.13308951258659363,0.19277108433734935
hrnet32,WRD25,brightness_0_7,0.023139117285609245,190.23351381269072,0.023093555122613907,0.023093555122613907,0.0041705282669137755
hrnet32,WRD25,brightness_0_85,0.006274913903325796,56.76104045435238,0.00627489946782589,0.00627489946782589,0.0013901760889712955
hrnet32,WRD25,brightness_1_15,0.006448918487876654,31.064056428929007,0.0064489091746509075,0.0064489091746509075,0.005560704355885071
hrnet32,WRD25,brightness_1_3,0.023569054901599884,141.3498003129887,0.0235267486423254,0.0235267486423254,0.01065801668211308
