backbone,dataset,perturbation,feature_drift,mahal_delta,knn_dist,reference_bank_drift,accuracy_drop
resnet50,WRD25,blur_2,0.34867194294929504,2431.600277283799,0.2826393246650696,0.2826393246650696,0.22520852641334566
resnet50,WRD25,blur_4,0.5394725203514099,4240.109370591843,0.4315594434738159,0.4315594434738159,0.5741427247451344
resnet50,WRD25,blur_6,0.6432325839996338,4919.141160907627,0.5280582308769226,0.5280582308769226,0.6807228915662651
resnet50,WRD25,blur_8,0.6982338428497314,5316.378257827069,0.5795080661773682,0.5795080661773682,0.7247451343836886
resnet50,WRD25,blur_10,0.7215958833694458,5566.630237933246,0.5913642644882202,0.5913642644882202,0.7775718257645968
resnet50,WRD25,blur_12,0.7325500249862671,5883.9575683704925,0.5849505662918091,0.5849505662918091,0.839666357738647
resnet50,WRD25,defocus_3,0.26874688267707825,1576.0745194883737,0.22321031987667084,0.22321031987667084,0.1621872103799814
resnet50,WRD25,defocus_5,0.4003344476222992,2824.0988744221986,0.31358546018600464,0.31358546018600464,0.3531047265987025
resnet50,WRD25,defocus_8,0.5119092464447021,4245.445547946185,0.39305949211120605,0.39305949211120605,0.5713623725671919
resnet50,WRD25,defocus_11,0.6158006191253662,5428.473766564139,0.4592350125312805,0.4592350125312805,0.7256719184430027
resnet50,WRD25,defocus_15,0.688265860080719,6067.963222893089,0.5032320618629456,0.5032320618629456,0.7692307692307692
resnet50,WRD25,resize_1_33,0.1287163943052292,529.8667507211339,0.11867925524711609,0.11867925524711609,0.03660797034291008
resnet50,WRD25,resize_1_67,0.2306479811668396,1183.8488811163593,0.19281958043575287,0.19281958043575287,0.14643188137164043
resnet50,WRD25,resize_2_0,0.31913554668426514,1912.5159414953398,0.2524298131465912,0.2524298131465912,0.29703429101019463
resnet50,WRD25,brightness_0_7,0.016718238592147827,76.32501340202884,0.016718195751309395,0.016718195751309395,0.0050973123262280096
resnet50,WRD25,brightness_0_85,0.005403352435678244,24.640950203585362,0.005403310060501099,0.005403310060501099,0.001853568118628357
resnet50,WRD25,brightness_1_15,0.005606587044894695,20.724586080176323,0.005606546998023987,0.005606546998023987,0.004633920296570837
resnet50,WRD25,brightness_1_3,0.01839931309223175,74.06591810970724,0.018399272114038467,0.018399272114038467,0.0041705282669137755
resnet50,WRD25,jpeg_10,0.3397616744041443,1855.6553350589413,0.264352947473526,0.264352947473526,0.4351251158480074
resnet50,WRD25,jpeg_20,0.2053229957818985,1097.1812146815362,0.18254658579826355,0.18254658579826355,0.14596848934198325
resnet50,WRD25,jpeg_30,0.15335987508296967,769.4615236520935,0.14212019741535187,0.14212019741535187,0.08155699721964782
resnet50,WRD25,jpeg_50,0.10540768504142761,484.178265019244,0.1012057214975357,0.1012057214975357,0.03429101019462466
resnet50,WRD25,jpeg_70,0.07030327618122101,285.5516370367619,0.06876625865697861,0.06876625865697861,0.020389249304911927
