backbone,dataset,perturbation,feature_drift,mahal_delta,knn_dist,reference_bank_drift,accuracy_drop
efficientnet_b3,PCA11,blur_2,0.2898101508617401,1438.6185437665472,0.21458090841770172,0.21458090841770172,0.15914775358962485
efficientnet_b3,PCA11,blur_4,0.5696790814399719,4974.6641534479,0.44189146161079407,0.44189146161079407,0.35470125057897184
efficientnet_b3,PCA11,blur_6,0.7045738697052002,7627.01413636731,0.5762211084365845,0.5762211084365845,0.4487262621584067
efficientnet_b3,PCA11,blur_8,0.7748711109161377,8964.603169495029,0.6536338329315186,0.6536338329315186,0.5226493747105141
efficientnet_b3,PCA11,blur_10,0.8162631988525391,9578.123248108519,0.6978729367256165,0.6978729367256165,0.6033348772579898
efficientnet_b3,PCA11,blur_12,0.8380820751190186,9771.565952992667,0.717825710773468,0.717825710773468,0.6612320518758685
efficientnet_b3,PCA11,defocus_3,0.23639775812625885,1029.7919826452148,0.18197934329509735,0.18197934329509735,0.1271885132005559
efficientnet_b3,PCA11,defocus_5,0.3869292736053467,2213.352623149052,0.27501288056373596,0.27501288056373596,0.231959240389069
efficientnet_b3,PCA11,defocus_8,0.510583758354187,3532.933539690131,0.3634900450706482,0.3634900450706482,0.3289485873089394
efficientnet_b3,PCA11,defocus_11,0.6121165752410889,5055.36078714565,0.44749128818511963,0.44749128818511963,0.4211208893006022
efficientnet_b3,PCA11,defocus_15,0.7181283235549927,6900.731539304319,0.5519437193870544,0.5519437193870544,0.5173691523853636
efficientnet_b3,PCA11,resize_1_33,0.14094318449497223,1001.7016916446008,0.13138465583324432,0.13138465583324432,0.03473830477072726
efficientnet_b3,PCA11,resize_1_67,0.18846382200717926,1204.8423156556719,0.16492798924446106,0.16492798924446106,0.0641037517369153
efficientnet_b3,PCA11,resize_2_0,0.25085437297821045,1496.775955753461,0.2020777016878128,0.2020777016878128,0.13367299675775823
efficientnet_b3,PCA11,brightness_0_7,0.012914336286485195,19.947802235671247,0.01283025462180376,0.01283025462180376,0.004261232051875896
efficientnet_b3,PCA11,brightness_0_85,0.00484283734112978,4.098243246365882,0.004818273242563009,0.004818273242563009,0.0016674386289949883
efficientnet_b3,PCA11,brightness_1_15,0.00869812909513712,49.005094847251826,0.008656627498567104,0.008656627498567104,0.002037980546549356
efficientnet_b3,PCA11,brightness_1_3,0.028025658801198006,103.53723332776337,0.027640556916594505,0.027640556916594505,0.012505789717461857
efficientnet_b3,PCA11,jpeg_10,0.31985023617744446,2300.1784926080836,0.26736652851104736,0.26736652851104736,0.21667438628994906
efficientnet_b3,PCA11,jpeg_20,0.21684807538986206,1507.0001154452975,0.1964750587940216,0.1964750587940216,0.10495599814729051
efficientnet_b3,PCA11,jpeg_30,0.17162558436393738,1170.6091834905724,0.1609857678413391,0.1609857678413391,0.07540528022232518
efficientnet_b3,PCA11,jpeg_50,0.12441027164459229,805.8534434648251,0.11976534873247147,0.11976534873247147,0.048448355720240865
efficientnet_b3,PCA11,jpeg_70,0.08916497975587845,542.7265614342856,0.08697542548179626,0.08697542548179626,0.031310792033348855
efficientnet_b3,PCA11,color_shift_-45,0.05526433512568474,230.42168935862412,0.05386905372142792,0.05386905372142792,0.01685965724872629
efficientnet_b3,PCA11,color_shift_-30,0.025941433385014534,123.30390426162296,0.025742683559656143,0.025742683559656143,0.00416859657248736
efficientnet_b3,PCA11,color_shift_30,0.02356986701488495,80.63435863883217,0.023224206641316414,0.023224206641316414,0.01018990273274667
efficientnet_b3,PCA11,color_shift_45,0.050235647708177567,170.92867384038766,0.04843057319521904,0.04843057319521904,0.027142195460861607
efficientnet_b3,PCA11,green_channel_shift_-45,0.10634628683328629,423.4724923905736,0.0967489704489708,0.0967489704489708,0.05622973598888381
efficientnet_b3,PCA11,green_channel_shift_-30,0.0545390360057354,185.67643906363026,0.052397023886442184,0.052397023886442184,0.023344140805928726
efficientnet_b3,PCA11,green_channel_shift_30,0.056028321385383606,232.58514978116852,0.053940270096063614,0.053940270096063614,0.027512737378415975
efficientnet_b3,PCA11,green_channel_shift_45,0.08312591165304184,392.7208578410624,0.07932721078395844,0.07932721078395844,0.04094488188976386
efficientnet_b3,PCA11,blue_channel_shift_-45,0.07549304515123367,202.3144649987961,0.07025393843650818,0.07025393843650818,0.04603983325613714
efficientnet_b3,PCA11,blue_channel_shift_-30,0.040233734995126724,87.02626765428147,0.03873010352253914,0.03873010352253914,0.018619731357109814
efficientnet_b3,PCA11,blue_channel_shift_30,0.02437334880232811,90.5794123764316,0.02401411347091198,0.02401411347091198,0.006762389995368268
efficientnet_b3,PCA11,blue_channel_shift_45,0.04711928591132164,192.9712852508868,0.045511700212955475,0.045511700212955475,0.014358499305233918
efficientnet_b3,PCA11,gaussian_noise_0_02,0.05643235519528389,127.65923983542791,0.05391434580087662,0.05391434580087662,0.011394163964798532
efficientnet_b3,PCA11,gaussian_noise_0_05,0.15194886922836304,430.8870094940338,0.1316339373588562,0.1316339373588562,0.07383047707271895
efficientnet_b3,PCA11,gaussian_noise_0_1,0.2494172751903534,769.3422384624513,0.18475905060768127,0.18475905060768127,0.19119962945808244
efficientnet_b3,PCA11,shot_noise_60,0.2636672556400299,866.5846187140204,0.19200080633163452,0.19200080633163452,0.22352941176470598
efficientnet_b3,PCA11,shot_noise_30,0.32692751288414,1109.4539628509315,0.21879447996616364,0.21879447996616364,0.31171838814265873
efficientnet_b3,PCA11,shot_noise_15,0.43724796175956726,1557.1729320143977,0.2574976980686188,0.2574976980686188,0.5013432144511348
efficientnet_b3,PCA11,impulse_noise_0_01,0.10357455909252167,247.04272358744754,0.09204239398241043,0.09204239398241043,0.04770727188513202
efficientnet_b3,PCA11,impulse_noise_0_03,0.1679302603006363,352.3834705518067,0.14035986363887787,0.14035986363887787,0.09643353404353872
efficientnet_b3,PCA11,impulse_noise_0_05,0.21350519359111786,448.0822135535526,0.16504037380218506,0.16504037380218506,0.14691987031032894
efficientnet_b3,PCA11,motion_blur_5,0.14683882892131805,457.89322447558254,0.12576326727867126,0.12576326727867126,0.07985178323297826
efficientnet_b3,PCA11,motion_blur_9,0.2709798514842987,1039.8087691972382,0.1984110325574875,0.1984110325574875,0.1626679018063919
efficientnet_b3,PCA11,motion_blur_15,0.43657270073890686,2443.7973004305063,0.30365386605262756,0.30365386605262756,0.3281148679944419
efficientnet_b3,PCA11,zoom_blur_1_05,0.4172699451446533,3129.275640233667,0.3384930193424225,0.3384930193424225,0.3037517369152386
efficientnet_b3,PCA11,zoom_blur_1_1,0.591164231300354,4452.030525263026,0.4277777671813965,0.4277777671813965,0.6374247336729968
efficientnet_b3,PCA11,zoom_blur_1_2,0.6860148310661316,5460.466088873017,0.47759324312210083,0.47759324312210083,0.7684113015284855
efficientnet_b3,PCA11,contrast_0_5,0.07069048285484314,202.8551378893943,0.06722383201122284,0.06722383201122284,0.023714682723483094
efficientnet_b3,PCA11,contrast_0_75,0.020390136167407036,24.527723686889658,0.019723130390048027,0.019723130390048027,0.00509495136637339
