detector,auc_roc,avg_precision,r_vs_drop,n
Feature drift (cosine),0.9783274088521187,0.9766851824837884,0.910862680503576,1596
Mahalanobis distance delta,0.9322076819025449,0.9232252336607338,0.7147127236494101,1596
Reference-bank kNN drift,0.9601780490106641,0.953611575757806,0.8355799517092176,1596
