batch_size,reference_size,detector,auc_roc,avg_precision,best_f1,best_threshold,failure_rate,n
8,100,ref_mmd_rbf,0.9237942339976152,0.9367590223162704,0.865904889435038,0.1102009415626525,0.5403665413533835,21280
8,100,ref_centroid_cosine,0.9023229964147698,0.9204991995712968,0.8406291606194343,0.1560955047607422,0.5403665413533835,21280
8,100,ref_knn1_dist,0.8871774201299439,0.9102406710442168,0.8226646500382131,0.2794134616851806,0.5403665413533835,21280
8,100,ref_knn5_dist,0.8590678293091617,0.8937069812195713,0.7987752280665334,0.3486163020133972,0.5403665413533835,21280
8,250,ref_mmd_rbf,0.9263770896449176,0.938470158504561,0.8649650403562822,0.1086403131484985,0.5417763157894737,21280
8,250,ref_centroid_cosine,0.9023581044315362,0.9194264454032324,0.8404098321099066,0.160878300666809,0.5417763157894737,21280
8,250,ref_knn1_dist,0.8993754176274339,0.9173272651042136,0.833368039149282,0.2443390488624572,0.5417763157894737,21280
8,250,ref_knn5_dist,0.8786090506771529,0.9049563898497686,0.8147832019583042,0.300387293100357,0.5417763157894737,21280
8,440,ref_mmd_rbf,0.9266455513964872,0.9176989117668748,0.8300427432431244,0.1423424482345581,0.4323308270676692,5320
8,440,ref_centroid_cosine,0.9065280017276128,0.8940377327770935,0.8117239970595298,0.1886453628540039,0.4323308270676692,5320
8,440,ref_knn1_dist,0.9242916786639794,0.9111155412767752,0.8283298092255361,0.2574754059314728,0.4323308270676692,5320
8,440,ref_knn5_dist,0.90461531816873,0.8967827881345358,0.810709056183419,0.2996251583099365,0.4323308270676692,5320
8,500,ref_mmd_rbf,0.9302058433805486,0.9455481120994662,0.8748645970606227,0.1053046584129333,0.5581632653061225,18620
8,500,ref_centroid_cosine,0.904753343122985,0.92573389225387,0.8481464525904304,0.1438541412353515,0.5581632653061225,18620
8,500,ref_knn1_dist,0.905693494949564,0.9254454073720396,0.845241909145524,0.2179924100637436,0.5581632653061225,18620
8,500,ref_knn5_dist,0.8913677405635678,0.9171782307756468,0.8307233402909424,0.2635668814182281,0.5581632653061225,18620
8,1000,ref_mmd_rbf,0.9282979612485338,0.9444993912123504,0.8699354216478403,0.1105391383171081,0.5570891514500537,18620
8,1000,ref_centroid_cosine,0.9020066670227318,0.9239434805226724,0.8468325470006131,0.1518632173538208,0.5570891514500537,18620
8,1000,ref_knn1_dist,0.9108774013403366,0.9281825871268448,0.8516045853474974,0.2020259201526641,0.5570891514500537,18620
