backbone,auc_roc,avg_precision,n
convnext_tiny,0.9922999922999922,0.9916699497625179,228
dinov2_b,0.9904622157006604,0.9847225862342436,228
efficientnet_b3,0.9929908403026683,0.9899883656141621,228
hrnet32,0.9911846582121868,0.9907906165893958,228
mobilenetv3,0.9834876543209876,0.9819772139354787,228
resnet50,0.9822239322816468,0.9831277460272944,228
swin_tiny,0.991635101010101,0.9887971700479578,228
