,resnet50,efficientnet_b3,convnext_tiny,swin_tiny,dinov2_b,hrnet32,mobilenetv3
resnet50,1.0,0.0,0.0021002735699762187,0.0,0.0,2.3314683517128287e-15,1.2770013081198073e-05
efficientnet_b3,0.0,1.0,2.2711639821038077e-06,0.26099851251600104,0.006407231878169051,0.9743444459312122,0.0005441686357571252
convnext_tiny,0.0021002735699762187,2.2711639821038077e-06,1.0,7.464029394554927e-13,1.1102230246251565e-16,0.00019763378787140962,0.9233409373653136
swin_tiny,0.0,0.26099851251600104,7.464029394554927e-13,1.0,0.8468675895589168,0.02691132901347859,2.197657833491462e-09
dinov2_b,0.0,0.006407231878169051,1.1102230246251565e-16,0.8468675895589168,1.0,0.00016195484087688783,1.6286971771251046e-13
hrnet32,2.3314683517128287e-15,0.9743444459312122,0.00019763378787140962,0.02691132901347859,0.00016195484087688783,1.0,0.016477973430015003
mobilenetv3,1.2770013081198073e-05,0.0005441686357571252,0.9233409373653136,2.197657833491462e-09,1.6286971771251046e-13,0.016477973430015003,1.0
