mag_a,mag_b,backbone,image_idx,csi
VN26_x10,VN26_x20,resnet50,92,0.1351971715480322
VN26_x10,VN26_x20,resnet50,93,0.2470103964479959
VN26_x10,VN26_x20,resnet50,94,0.13510031028011812
VN26_x10,VN26_x20,resnet50,95,0.14682725687335219
VN26_x10,VN26_x20,resnet50,96,0.16130998317205142
VN26_x10,VN26_x20,resnet50,97,0.03347222318503231
VN26_x10,VN26_x20,resnet50,98,0.13998717018411144
VN26_x10,VN26_x20,resnet50,99,0.10446185841599993
VN26_x10,VN26_x20,resnet50,100,0.24246312180596774
VN26_x10,VN26_x20,resnet50,101,0.28896976435642774
VN26_x10,VN26_x20,resnet50,102,0.19289423217951449
VN26_x10,VN26_x20,resnet50,103,0.13582575906433297
VN26_x10,VN26_x20,resnet50,104,0.18474572742059567
VN26_x10,VN26_x20,resnet50,105,0.19305182330365475
VN26_x10,VN26_x20,resnet50,106,0.35771171308051647
VN26_x10,VN26_x20,resnet50,107,0.1358754486782373
VN26_x10,VN26_x20,resnet50,108,0.17395504512777474
VN26_x10,VN26_x20,resnet50,109,0.16145159635549663
VN26_x10,VN26_x20,resnet50,110,0.06667108746139948
VN26_x10,VN26_x20,resnet50,111,0.1745973520766997
VN26_x10,VN26_x20,resnet50,112,0.1199741340107711
VN26_x10,VN26_x20,resnet50,113,0.1919658581932713
VN26_x10,VN26_x20,resnet50,114,0.12595780332301085
VN26_x10,VN26_x20,resnet50,115,0.2503676469084739
VN26_x10,VN26_x20,resnet50,116,0.24985186862788913
VN26_x10,VN26_x20,resnet50,117,0.09875864488155202
VN26_x10,VN26_x20,resnet50,118,0.06657217544971837
VN26_x10,VN26_x20,resnet50,119,0.19379468895339214
VN26_x10,VN26_x20,resnet50,120,0.07201181010112866
VN26_x10,VN26_x20,resnet50,121,0.19102546818439936
VN26_x10,VN26_x20,resnet50,122,0.07128683287764988
VN26_x10,VN26_x20,resnet50,123,0.1274692709604913
VN26_x10,VN26_x20,resnet50,124,0.08494397476298791
VN26_x10,VN26_x20,resnet50,125,0.12554672736672395
VN26_x10,VN26_x20,resnet50,126,0.16517218217212734
VN26_x10,VN26_x20,resnet50,127,0.18340558173715796
VN26_x10,VN26_x20,resnet50,128,0.12409633020892553
VN26_x10,VN26_x20,resnet50,129,0.11779086116978686
VN26_x10,VN26_x20,resnet50,130,0.2369515749862133
VN26_x10,VN26_x20,resnet50,131,0.11819930980822348
VN26_x10,VN26_x20,resnet50,132,0.10656406474485629
VN26_x10,VN26_x20,resnet50,133,0.1647011176620833
VN26_x10,VN26_x20,resnet50,134,0.1948764036896371
VN26_x10,VN26_x20,resnet50,135,0.309467927959547
VN26_x10,VN26_x20,resnet50,136,0.0886720276227887
VN26_x10,VN26_x20,resnet50,137,0.15722206759657004
VN26_x10,VN26_x20,resnet50,138,0.09373467520854815
VN26_x10,VN26_x20,resnet50,139,0.1838401846510177
VN26_x10,VN26_x20,resnet50,140,0.1377384508133739
VN26_x10,VN26_x20,resnet50,141,0.11356492476070897
VN26_x10,VN26_x20,resnet50,142,0.17763287955569126
VN26_x10,VN26_x20,resnet50,143,0.07771175101211539
VN26_x10,VN26_x20,resnet50,144,0.09425542085886977
VN26_x10,VN26_x20,resnet50,145,0.10913035082216854
VN26_x10,VN26_x20,resnet50,146,0.1183732240614017
VN26_x10,VN26_x20,resnet50,147,0.22474636953543836
VN26_x10,VN26_x20,resnet50,148,0.011581228947718342
VN26_x10,VN26_x20,resnet50,149,0.23139317478221796
VN26_x10,VN26_x20,resnet50,150,0.1473329673671891
VN26_x10,VN26_x20,resnet50,151,0.10717664537957167
VN26_x10,VN26_x20,resnet50,152,0.21005437032478644
VN26_x10,VN26_x20,resnet50,153,0.12028478176035588
VN26_x10,VN26_x20,resnet50,154,0.22257927584012474
VN26_x10,VN26_x20,resnet50,155,0.16500460700169528
VN26_x10,VN26_x20,resnet50,156,0.16133699680119679
VN26_x10,VN26_x20,resnet50,157,0.1429217451534152
VN26_x10,VN26_x20,resnet50,158,0.11326798625161809
VN26_x10,VN26_x20,resnet50,159,0.15218948062428683
VN26_x10,VN26_x20,resnet50,160,0.10638914769682845
VN26_x10,VN26_x20,resnet50,161,0.20730381853160704
VN26_x10,VN26_x20,resnet50,162,0.1938579989326333
VN26_x10,VN26_x20,resnet50,163,0.12783069526552981
VN26_x10,VN26_x20,resnet50,164,0.21827601318380174
VN26_x10,VN26_x20,resnet50,165,0.04348345090366388
VN26_x10,VN26_x20,resnet50,166,0.14736819378279886
VN26_x10,VN26_x20,resnet50,167,0.18680567745195834
VN26_x10,VN26_x20,resnet50,168,0.1540163072477537
VN26_x10,VN26_x20,resnet50,169,0.08326277252995666
VN26_x10,VN26_x20,resnet50,170,0.14842149956493628
VN26_x10,VN26_x20,resnet50,171,0.1490010973846338
VN26_x10,VN26_x20,resnet50,172,0.23241062232150558
VN26_x10,VN26_x20,resnet50,173,0.13972083138923372
VN26_x10,VN26_x20,resnet50,174,0.09949779109511679
VN26_x10,VN26_x20,resnet50,175,0.19606033965741676
VN26_x10,VN26_x20,resnet50,176,0.16264182354393097
VN26_x10,VN26_x20,resnet50,177,0.17305860993203592
VN26_x10,VN26_x20,resnet50,178,0.162425211996751
VN26_x10,VN26_x20,resnet50,179,0.08640308197266067
VN26_x10,VN26_x20,resnet50,180,0.20602732958756684
VN26_x10,VN26_x20,resnet50,181,0.12478841028507769
VN26_x10,VN26_x20,resnet50,182,0.1407094892920488
VN26_x10,VN26_x20,resnet50,183,0.15995463579830524
VN26_x10,VN26_x20,resnet50,184,0.10077627310394455
VN26_x10,VN26_x20,resnet50,185,0.11113875316039278
VN26_x10,VN26_x20,resnet50,186,0.1721227017090493
VN26_x10,VN26_x20,resnet50,187,0.1640334268736822
VN26_x10,VN26_x20,resnet50,188,0.11029710608557852
VN26_x10,VN26_x20,resnet50,189,0.06955627408569258
VN26_x10,VN26_x20,resnet50,190,0.12653444771799058
VN26_x10,VN26_x20,resnet50,191,0.06534224224698361
VN26_x10,VN26_x20,resnet50,192,0.1531627861803656
VN26_x10,VN26_x20,resnet50,193,0.23080215578838925
VN26_x10,VN26_x20,resnet50,194,0.08474049125748999
VN26_x10,VN26_x20,resnet50,195,0.3477338686254796
VN26_x10,VN26_x20,resnet50,196,0.1517425759448792
VN26_x10,VN26_x20,resnet50,197,0.08978407300297118
VN26_x10,VN26_x20,resnet50,198,0.13239517379372606
VN26_x10,VN26_x20,resnet50,199,0.11921383173938266
VN26_x10,VN26_x20,efficientnet_b3,0,0.23821696460917918
VN26_x10,VN26_x20,efficientnet_b3,1,0.2080397341916925
VN26_x10,VN26_x20,efficientnet_b3,2,0.19164930866651209
VN26_x10,VN26_x20,efficientnet_b3,3,0.2201822610176064
VN26_x10,VN26_x20,efficientnet_b3,4,0.17674654346963625
VN26_x10,VN26_x20,efficientnet_b3,5,0.19945509344387624
VN26_x10,VN26_x20,efficientnet_b3,6,0.19174709835305162
VN26_x10,VN26_x20,efficientnet_b3,7,0.163620929572019
VN26_x10,VN26_x20,efficientnet_b3,8,0.19576976792083278
VN26_x10,VN26_x20,efficientnet_b3,9,0.17650008806883336
VN26_x10,VN26_x20,efficientnet_b3,10,0.2185245259551789
VN26_x10,VN26_x20,efficientnet_b3,11,0.1275406694391786
VN26_x10,VN26_x20,efficientnet_b3,12,0.2008897600537276
VN26_x10,VN26_x20,efficientnet_b3,13,0.1697269191552944
VN26_x10,VN26_x20,efficientnet_b3,14,0.22961247873756171
VN26_x10,VN26_x20,efficientnet_b3,15,0.1643448315564844
VN26_x10,VN26_x20,efficientnet_b3,16,0.15053205886113064
VN26_x10,VN26_x20,efficientnet_b3,17,0.10734436166346654
VN26_x10,VN26_x20,efficientnet_b3,18,0.14047437932603604
VN26_x10,VN26_x20,efficientnet_b3,19,0.15995584754547473
VN26_x10,VN26_x20,efficientnet_b3,20,0.2117155765488307
VN26_x10,VN26_x20,efficientnet_b3,21,0.20782250803825264
VN26_x10,VN26_x20,efficientnet_b3,22,0.21484656288541168
VN26_x10,VN26_x20,efficientnet_b3,23,0.1819715792381131
VN26_x10,VN26_x20,efficientnet_b3,24,0.16617045305855493
VN26_x10,VN26_x20,efficientnet_b3,25,0.13654653879710296
VN26_x10,VN26_x20,efficientnet_b3,26,0.19925213584603363
VN26_x10,VN26_x20,efficientnet_b3,27,0.15124086967929504
VN26_x10,VN26_x20,efficientnet_b3,28,0.1651800268865342
VN26_x10,VN26_x20,efficientnet_b3,29,0.21964315406499027
VN26_x10,VN26_x20,efficientnet_b3,30,0.22114441022536946
VN26_x10,VN26_x20,efficientnet_b3,31,0.197146000737763
VN26_x10,VN26_x20,efficientnet_b3,32,0.2116287087048477
VN26_x10,VN26_x20,efficientnet_b3,33,0.21336595233767583
VN26_x10,VN26_x20,efficientnet_b3,34,0.21522930766116655
VN26_x10,VN26_x20,efficientnet_b3,35,0.1822386838455422
VN26_x10,VN26_x20,efficientnet_b3,36,0.23607287913129912
VN26_x10,VN26_x20,efficientnet_b3,37,0.21781549611815768
VN26_x10,VN26_x20,efficientnet_b3,38,0.2535764647751474
VN26_x10,VN26_x20,efficientnet_b3,39,0.20977396594731368
VN26_x10,VN26_x20,efficientnet_b3,40,0.25407319992877336
VN26_x10,VN26_x20,efficientnet_b3,41,0.2267939007486589
VN26_x10,VN26_x20,efficientnet_b3,42,0.2208444833670131
VN26_x10,VN26_x20,efficientnet_b3,43,0.23449358801085063
VN26_x10,VN26_x20,efficientnet_b3,44,0.11578895687365397
VN26_x10,VN26_x20,efficientnet_b3,45,0.14609458807277872
VN26_x10,VN26_x20,efficientnet_b3,46,0.12003304160727042
VN26_x10,VN26_x20,efficientnet_b3,47,0.22129567117360002
VN26_x10,VN26_x20,efficientnet_b3,48,0.06800785451844316
VN26_x10,VN26_x20,efficientnet_b3,49,0.27012742849044385
