detector,deployable,auc_roc,avg_precision,best_f1,best_threshold,r_vs_drop,n
ref_mmd_rbf,True,0.9684888343592984,0.9672775378632006,0.9088043228507885,0.075576901435852,0.8830009486649623,4256
ref_centroid_cosine,True,0.9591679862695021,0.9579467209969816,0.8972680058221122,0.1285010576248169,0.8437684909176738,4256
ref_knn1_dist,True,0.958439415260729,0.9574555516008085,0.8921674978742795,0.1778617948293686,0.8397362154447332,4256
ref_knn5_dist,True,0.9415645175865662,0.9446252350680004,0.8715058606363294,0.232408806681633,0.8141147035890228,4256
ref_mahalanobis_delta,True,0.9158907578751401,0.9105880401978628,0.8501635763824033,1222.6001879464206,0.6505201986625924,4256
ref_mahalanobis,True,0.9150736978022233,0.9114094352015358,0.8505054845525617,1793.501038873343,0.6527053396077617,4256
paired_feature_drift_oracle,False,0.9762597429110981,0.9772189502123951,0.9194982891237422,0.26289495825767517,0.9063392959313826,4256
