heldout_dataset,train_n,test_n,train_datasets,train_slope,train_intercept,test_pearson_r,test_pearson_p,test_spearman_rho,test_spearman_p,test_rmse,test_mae,test_drop_mean,test_drift_mean
DTSR14,1064,532,"PCA11,WRD25",0.9973300362279723,-0.07100786198122473,0.8950854162761075,4.793613662240309e-188,0.9261772678915093,1.2236443967819722e-226,0.142666285427717,0.10076642542675482,0.2936943940676987,0.3239182524233829
PCA11,1064,532,"DTSR14,WRD25",1.1015120283487525,-0.07910581862866124,0.9118656964028452,4.257219466870933e-207,0.9426804959638609,8.742558781394802e-255,0.11826172514653835,0.08580921399603304,0.22771751054338019,0.30793058661810957
WRD25,1064,532,"DTSR14,PCA11",1.018645827053899,-0.061109139303694035,0.9313426771130048,1.1094474136018772e-234,0.9493691403308461,1.1325584991004647e-268,0.10960026893682011,0.07746594889376354,0.2483180295244341,0.31177526959756396
