seed,pair,direction,backbone,n_species,selected_species,accuracy,failure,chance_accuracy,mmd2
0,DTSR14<->WOODAUTH,WOODAUTH->DTSR14,swin_tiny,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.3576388888888889,0.6423611111111112,0.25,0.1645598411560058
0,DTSR14<->WOODAUTH,DTSR14->WOODAUTH,dinov2_b,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.2866847826086957,0.7133152173913043,0.25,0.2172583937644958
0,DTSR14<->WOODAUTH,WOODAUTH->DTSR14,dinov2_b,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.39861111111111114,0.6013888888888889,0.25,0.2172582745552063
0,DTSR14<->WOODAUTH,DTSR14->WOODAUTH,hrnet32,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.29008152173913043,0.7099184782608696,0.25,0.2268503308296203
0,DTSR14<->WOODAUTH,WOODAUTH->DTSR14,hrnet32,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.22361111111111112,0.7763888888888889,0.25,0.2268509268760681
0,DTSR14<->WOODAUTH,DTSR14->WOODAUTH,mobilenetv3,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.3685461956521739,0.6314538043478262,0.25,0.1914592981338501
0,DTSR14<->WOODAUTH,WOODAUTH->DTSR14,mobilenetv3,4,Alnus glutinosa (L.) Gaertn.|Fagus sylvatica L.|Picea abies (L.) H.Karst.|Pinus sylvestris L.,0.40208333333333335,0.5979166666666667,0.25,0.1914583444595337
1,BFS46<->FSDM41,BFS46->FSDM41,resnet50,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.21666666666666667,0.7833333333333333,0.25,0.1505259275436401
1,BFS46<->FSDM41,FSDM41->BFS46,resnet50,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.07407407407407407,0.9259259259259259,0.25,0.1505259275436401
1,BFS46<->FSDM41,BFS46->FSDM41,efficientnet_b3,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.22083333333333333,0.7791666666666667,0.25,0.1787807345390319
1,BFS46<->FSDM41,FSDM41->BFS46,efficientnet_b3,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.1574074074074074,0.8425925925925926,0.25,0.1787807345390319
1,BFS46<->FSDM41,BFS46->FSDM41,convnext_tiny,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.1375,0.8625,0.25,0.1478341817855835
1,BFS46<->FSDM41,FSDM41->BFS46,convnext_tiny,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.05092592592592592,0.9490740740740741,0.25,0.147834300994873
1,BFS46<->FSDM41,BFS46->FSDM41,swin_tiny,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.18333333333333332,0.8166666666666667,0.25,0.1557449698448181
1,BFS46<->FSDM41,FSDM41->BFS46,swin_tiny,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.26851851851851855,0.7314814814814814,0.25,0.1557450890541076
1,BFS46<->FSDM41,BFS46->FSDM41,dinov2_b,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.10833333333333334,0.8916666666666666,0.25,0.1846774220466613
1,BFS46<->FSDM41,FSDM41->BFS46,dinov2_b,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.30092592592592593,0.6990740740740741,0.25,0.1846774220466613
1,BFS46<->FSDM41,BFS46->FSDM41,hrnet32,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.1875,0.8125,0.25,0.1610261797904968
1,BFS46<->FSDM41,FSDM41->BFS46,hrnet32,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.08333333333333333,0.9166666666666666,0.25,0.1610262393951416
1,BFS46<->FSDM41,BFS46->FSDM41,mobilenetv3,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.15416666666666667,0.8458333333333333,0.25,0.1680828928947448
1,BFS46<->FSDM41,FSDM41->BFS46,mobilenetv3,4,Cedrelinga cateniformis (Ducke) Ducke|Erisma uncinatum Warm.|Melia azedarach L.|Ocotea porosa (Mez) Barroso,0.14351851851851852,0.8564814814814815,0.25,0.1680828928947448
2,BFS46<->FSDM41,BFS46->FSDM41,resnet50,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.06734006734006734,0.9326599326599326,0.25,0.2363718152046203
2,BFS46<->FSDM41,FSDM41->BFS46,resnet50,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.18840579710144928,0.8115942028985508,0.25,0.2363718748092651
2,BFS46<->FSDM41,BFS46->FSDM41,efficientnet_b3,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.1919191919191919,0.8080808080808081,0.25,0.2399203181266784
2,BFS46<->FSDM41,FSDM41->BFS46,efficientnet_b3,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.2608695652173913,0.7391304347826086,0.25,0.239920437335968
2,BFS46<->FSDM41,BFS46->FSDM41,convnext_tiny,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.07744107744107744,0.9225589225589226,0.25,0.215141475200653
2,BFS46<->FSDM41,FSDM41->BFS46,convnext_tiny,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.2536231884057971,0.7463768115942029,0.25,0.215141475200653
2,BFS46<->FSDM41,BFS46->FSDM41,swin_tiny,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.27946127946127947,0.7205387205387206,0.25,0.2190032601356506
2,BFS46<->FSDM41,FSDM41->BFS46,swin_tiny,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.2463768115942029,0.7536231884057971,0.25,0.2190032601356506
2,BFS46<->FSDM41,BFS46->FSDM41,dinov2_b,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.25925925925925924,0.7407407407407407,0.25,0.3525372147560119
2,BFS46<->FSDM41,FSDM41->BFS46,dinov2_b,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.2028985507246377,0.7971014492753623,0.25,0.3525370955467224
2,BFS46<->FSDM41,BFS46->FSDM41,hrnet32,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.1717171717171717,0.8282828282828283,0.25,0.2542129755020141
2,BFS46<->FSDM41,FSDM41->BFS46,hrnet32,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.21739130434782608,0.782608695652174,0.25,0.2542128562927246
2,BFS46<->FSDM41,BFS46->FSDM41,mobilenetv3,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.08417508417508418,0.9158249158249159,0.25,0.2282261848449707
2,BFS46<->FSDM41,FSDM41->BFS46,mobilenetv3,4,Aspidosperma polyneuron Müll.Arg.|Bertholletia excelsa Bonpl.|Cariniana estrellensis (Raddi) Kuntze|Melia azedarach L.,0.14492753623188406,0.855072463768116,0.25,0.2282261848449707
3,BFS46<->FSDM41,BFS46->FSDM41,resnet50,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.17037037037037037,0.8296296296296296,0.25,0.1826454401016235
3,BFS46<->FSDM41,FSDM41->BFS46,resnet50,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.15656565656565657,0.8434343434343434,0.25,0.1826454401016235
3,BFS46<->FSDM41,BFS46->FSDM41,efficientnet_b3,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.040740740740740744,0.9592592592592593,0.25,0.1410644054412841
3,BFS46<->FSDM41,FSDM41->BFS46,efficientnet_b3,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.05555555555555555,0.9444444444444444,0.25,0.1410644054412841
3,BFS46<->FSDM41,BFS46->FSDM41,convnext_tiny,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.05185185185185185,0.9481481481481482,0.25,0.1624913811683654
3,BFS46<->FSDM41,FSDM41->BFS46,convnext_tiny,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.04040404040404041,0.9595959595959596,0.25,0.1624912619590759
3,BFS46<->FSDM41,BFS46->FSDM41,swin_tiny,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.07777777777777778,0.9222222222222223,0.25,0.1278557181358337
3,BFS46<->FSDM41,FSDM41->BFS46,swin_tiny,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.09090909090909091,0.9090909090909091,0.25,0.1278557181358337
3,BFS46<->FSDM41,BFS46->FSDM41,dinov2_b,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.06666666666666667,0.9333333333333333,0.25,0.1992255449295044
3,BFS46<->FSDM41,FSDM41->BFS46,dinov2_b,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.005050505050505051,0.9949494949494949,0.25,0.1992255449295044
3,BFS46<->FSDM41,BFS46->FSDM41,hrnet32,4,Araucaria angustifolia (Bertol.) Kuntze|Balfourodendron riedelianum (Engl.) Engl.|Bertholletia excelsa Bonpl.|Melia azedarach L.,0.29259259259259257,0.7074074074074075,0.25,0.1817341446876526
