dataset,backbone,perturbation,severity,tag,n_flip,first_order_frac,switch_frac,switch_winner_in_top3,switch_winner_in_top5,median_clean_rank_switch
WRD25,convnext_tiny,scratch,mild,scratch_mild,116,0.6637931034482759,0.33620689655172414,0.41025641025641024,0.8717948717948718,4.0
WRD25,convnext_tiny,scratch,moderate,scratch_moderate,340,0.4235294117647059,0.5764705882352941,0.25,0.6173469387755102,5.0
WRD25,convnext_tiny,scratch,severe,scratch_severe,556,0.28776978417266186,0.7122302158273381,0.13131313131313133,0.42424242424242425,6.0
WRD25,convnext_tiny,rotation,45,rotation_45,1016,0.1486220472440945,0.8513779527559056,0.10289017341040463,0.24393063583815028,13.0
WRD25,convnext_tiny,rotation,90,rotation_90,131,0.6793893129770993,0.32061068702290074,0.4523809523809524,0.7380952380952381,4.0
WRD25,convnext_tiny,rotation,135,rotation_135,1011,0.152324431256182,0.847675568743818,0.08868144690781797,0.21120186697782964,14.0
WRD25,convnext_tiny,rotation,180,rotation_180,70,0.6285714285714286,0.37142857142857144,0.5769230769230769,0.9230769230769231,3.0
WRD25,convnext_tiny,compound,mild,compound_mild,1134,0.15873015873015872,0.8412698412698413,0.05555555555555555,0.20440251572327045,15.0
WRD25,convnext_tiny,compound,moderate,compound_moderate,1431,0.015373864430468204,0.9846261355695318,0.014194464158977998,0.0411639460610362,24.0
WRD25,convnext_tiny,compound,severe,compound_severe,1508,0.016578249336870028,0.98342175066313,0.011463250168577209,0.037761294672960216,25.0
WRD25,convnext_tiny,compound_optical,mild,compound_optical_mild,450,0.3111111111111111,0.6888888888888889,0.25161290322580643,0.5258064516129032,5.0
WRD25,convnext_tiny,compound_optical,moderate,compound_optical_moderate,1064,0.16165413533834586,0.8383458646616542,0.12556053811659193,0.3486547085201794,9.0
WRD25,convnext_tiny,compound_optical,severe,compound_optical_severe,1239,0.08797417271993543,0.9120258272800645,0.04070796460176991,0.1415929203539823,16.0
WRD25,convnext_tiny,compound_digital,mild,compound_digital_mild,515,0.23106796116504855,0.7689320388349514,0.13131313131313133,0.29292929292929293,11.0
WRD25,convnext_tiny,compound_digital,moderate,compound_digital_moderate,948,0.11181434599156118,0.8881856540084389,0.07363420427553444,0.19358669833729217,13.5
WRD25,convnext_tiny,compound_digital,severe,compound_digital_severe,1170,0.13333333333333333,0.8666666666666667,0.054240631163708086,0.15285996055226825,20.0
WRD25,convnext_tiny,compound_field,mild,compound_field_mild,597,0.22445561139028475,0.7755443886097152,0.17062634989200864,0.38228941684665224,8.0
WRD25,convnext_tiny,compound_field,moderate,compound_field_moderate,1073,0.17054986020503263,0.8294501397949674,0.1853932584269663,0.3887640449438202,8.0
WRD25,convnext_tiny,compound_field,severe,compound_field_severe,1197,0.12447786131996658,0.8755221386800334,0.22805343511450382,0.5,5.5
WRD25,swin_tiny,gaussian_blur,2,blur_2,301,0.42857142857142855,0.5714285714285714,0.18604651162790697,0.5174418604651163,5.0
WRD25,swin_tiny,gaussian_blur,4,blur_4,859,0.16530849825378346,0.8346915017462165,0.11297071129707113,0.33612273361227335,8.0
WRD25,swin_tiny,gaussian_blur,6,blur_6,1112,0.1591726618705036,0.8408273381294964,0.0748663101604278,0.23636363636363636,10.0
WRD25,swin_tiny,gaussian_blur,8,blur_8,1154,0.16291161178509533,0.8370883882149047,0.06418219461697723,0.1873706004140787,11.0
WRD25,swin_tiny,gaussian_blur,10,blur_10,1224,0.14705882352941177,0.8529411764705882,0.045019157088122604,0.14367816091954022,12.0
WRD25,swin_tiny,gaussian_blur,12,blur_12,1272,0.12657232704402516,0.8734276729559748,0.0369036903690369,0.12961296129612962,13.0
WRD25,swin_tiny,defocus_blur,3,defocus_3,292,0.4041095890410959,0.5958904109589042,0.2988505747126437,0.6494252873563219,4.0
WRD25,swin_tiny,defocus_blur,5,defocus_5,619,0.23747980613893377,0.7625201938610663,0.16101694915254236,0.4724576271186441,6.0
WRD25,swin_tiny,defocus_blur,8,defocus_8,871,0.18714121699196326,0.8128587830080367,0.11016949152542373,0.327683615819209,8.0
WRD25,swin_tiny,defocus_blur,11,defocus_11,1046,0.15487571701720843,0.8451242829827916,0.08257918552036199,0.23868778280542988,11.0
WRD25,swin_tiny,defocus_blur,15,defocus_15,1194,0.14656616415410384,0.8534338358458962,0.06182531894013739,0.16388616290480865,14.0
WRD25,swin_tiny,resize,1.33,resize_1_33,143,0.6503496503496503,0.34965034965034963,0.4,0.8,4.0
WRD25,swin_tiny,resize,1.67,resize_1_67,244,0.6024590163934426,0.3975409836065574,0.20618556701030927,0.5670103092783505,5.0
WRD25,swin_tiny,resize,2.0,resize_2_0,391,0.4629156010230179,0.5370843989769821,0.22380952380952382,0.580952380952381,5.0
WRD25,swin_tiny,illumination,0.7,brightness_0_7,33,0.9090909090909091,0.09090909090909091,0.6666666666666666,1.0,3.0
WRD25,swin_tiny,illumination,0.85,brightness_0_85,21,0.9523809523809523,0.047619047619047616,1.0,1.0,3.0
WRD25,swin_tiny,illumination,1.15,brightness_1_15,27,0.9259259259259259,0.07407407407407407,1.0,1.0,3.0
WRD25,swin_tiny,illumination,1.3,brightness_1_3,42,0.8809523809523809,0.11904761904761904,1.0,1.0,3.0
WRD25,swin_tiny,jpeg,10,jpeg_10,581,0.35972461273666095,0.6402753872633391,0.15591397849462366,0.3897849462365591,7.0
WRD25,swin_tiny,jpeg,20,jpeg_20,338,0.4526627218934911,0.5473372781065089,0.2702702702702703,0.5945945945945946,5.0
WRD25,swin_tiny,jpeg,30,jpeg_30,217,0.4838709677419355,0.5161290322580645,0.39285714285714285,0.6875,4.0
WRD25,swin_tiny,jpeg,50,jpeg_50,117,0.5811965811965812,0.4188034188034188,0.22448979591836735,0.5918367346938775,5.0
WRD25,swin_tiny,jpeg,70,jpeg_70,81,0.6049382716049383,0.3950617283950617,0.40625,0.71875,4.0
WRD25,swin_tiny,red_channel_shift,-45,color_shift_-45,102,0.7254901960784313,0.27450980392156865,0.8571428571428571,0.9642857142857143,3.0
WRD25,swin_tiny,red_channel_shift,-30,color_shift_-30,71,0.7323943661971831,0.2676056338028169,0.7894736842105263,1.0,3.0
WRD25,swin_tiny,red_channel_shift,30,color_shift_30,73,0.8493150684931506,0.1506849315068493,0.45454545454545453,1.0,4.0
WRD25,swin_tiny,red_channel_shift,45,color_shift_45,92,0.7608695652173914,0.2391304347826087,0.5454545454545454,1.0,3.0
WRD25,swin_tiny,green_channel_shift,-45,green_channel_shift_-45,149,0.6912751677852349,0.3087248322147651,0.391304347826087,0.8695652173913043,4.0
WRD25,swin_tiny,green_channel_shift,-30,green_channel_shift_-30,98,0.7346938775510204,0.2653061224489796,0.5384615384615384,0.9230769230769231,3.0
WRD25,swin_tiny,green_channel_shift,30,green_channel_shift_30,91,0.6923076923076923,0.3076923076923077,0.6428571428571429,0.9642857142857143,3.0
WRD25,swin_tiny,green_channel_shift,45,green_channel_shift_45,109,0.6513761467889908,0.3486238532110092,0.39473684210526316,0.9210526315789473,4.0
WRD25,swin_tiny,blue_channel_shift,-45,blue_channel_shift_-45,115,0.8,0.2,0.43478260869565216,0.8695652173913043,4.0
WRD25,swin_tiny,blue_channel_shift,-30,blue_channel_shift_-30,78,0.8589743589743589,0.14102564102564102,0.7272727272727273,1.0,3.0
WRD25,swin_tiny,blue_channel_shift,30,blue_channel_shift_30,58,0.7586206896551724,0.2413793103448276,0.5,0.7142857142857143,3.5
WRD25,swin_tiny,blue_channel_shift,45,blue_channel_shift_45,95,0.6631578947368421,0.3368421052631579,0.5,0.8125,3.5
WRD25,swin_tiny,gaussian_noise,0.02,gaussian_noise_0_02,117,0.7521367521367521,0.24786324786324787,0.4827586206896552,0.8275862068965517,4.0
WRD25,swin_tiny,gaussian_noise,0.05,gaussian_noise_0_05,142,0.6126760563380281,0.3873239436619718,0.5272727272727272,0.7818181818181819,3.0
WRD25,swin_tiny,gaussian_noise,0.1,gaussian_noise_0_1,252,0.5158730158730159,0.48412698412698413,0.39344262295081966,0.639344262295082,4.0
WRD25,swin_tiny,shot_noise,60,shot_noise_60,275,0.5272727272727272,0.4727272727272727,0.35384615384615387,0.6307692307692307,4.0
WRD25,swin_tiny,shot_noise,30,shot_noise_30,350,0.44857142857142857,0.5514285714285714,0.32124352331606215,0.6010362694300518,5.0
WRD25,swin_tiny,shot_noise,15,shot_noise_15,468,0.3162393162393162,0.6837606837606838,0.2,0.43125,7.0
WRD25,swin_tiny,impulse_noise,0.01,impulse_noise_0_01,90,0.7,0.3,0.37037037037037035,0.7777777777777778,4.0
WRD25,swin_tiny,impulse_noise,0.03,impulse_noise_0_03,182,0.532967032967033,0.46703296703296704,0.27058823529411763,0.6352941176470588,4.0
WRD25,swin_tiny,impulse_noise,0.05,impulse_noise_0_05,316,0.48417721518987344,0.5158227848101266,0.25153374233128833,0.44785276073619634,6.0
WRD25,swin_tiny,motion_blur,5,motion_blur_5,186,0.510752688172043,0.489247311827957,0.38461538461538464,0.7362637362637363,4.0
WRD25,swin_tiny,motion_blur,9,motion_blur_9,337,0.29376854599406527,0.7062314540059347,0.17647058823529413,0.4327731092436975,6.0
