perturbation,severity_control,n_global,n_spatial_cam,coverage_fraction
blue_channel_shift,-30,21,0,0.0
blue_channel_shift,-45,21,21,1.0
blue_channel_shift,30,21,0,0.0
blue_channel_shift,45,21,21,1.0
compound,mild,21,21,1.0
compound,moderate,21,0,0.0
compound,severe,21,21,1.0
compound_digital,mild,21,0,0.0
compound_digital,moderate,21,0,0.0
compound_digital,severe,21,21,1.0
compound_field,mild,21,0,0.0
compound_field,moderate,21,0,0.0
compound_field,severe,21,21,1.0
compound_optical,mild,21,0,0.0
compound_optical,moderate,21,0,0.0
compound_optical,severe,21,21,1.0
contrast,0.5,21,21,1.0
contrast,0.75,21,0,0.0
contrast,1.25,21,0,0.0
contrast,1.5,21,21,1.0
defocus_blur,11,21,21,1.0
defocus_blur,15,21,0,0.0
defocus_blur,3,21,0,0.0
defocus_blur,5,21,21,1.0
defocus_blur,8,21,0,0.0
gaussian_blur,10,21,0,0.0
gaussian_blur,12,21,21,1.0
gaussian_blur,2,21,0,0.0
gaussian_blur,4,21,21,1.0
gaussian_blur,6,21,0,0.0
gaussian_blur,8,21,21,1.0
gaussian_noise,0.02,21,0,0.0
gaussian_noise,0.05,21,0,0.0
gaussian_noise,0.1,21,21,1.0
green_channel_shift,-30,21,0,0.0
green_channel_shift,-45,21,21,1.0
green_channel_shift,30,21,0,0.0
green_channel_shift,45,21,21,1.0
illumination,0.7,21,0,0.0
illumination,0.85,21,0,0.0
illumination,1.15,21,0,0.0
illumination,1.3,21,0,0.0
impulse_noise,0.01,21,0,0.0
impulse_noise,0.03,21,0,0.0
impulse_noise,0.05,21,21,1.0
jpeg,10,21,21,1.0
jpeg,20,21,0,0.0
jpeg,30,21,0,0.0
jpeg,50,21,21,1.0
jpeg,70,21,0,0.0
motion_blur,15,21,21,1.0
motion_blur,5,21,0,0.0
motion_blur,9,21,0,0.0
pixelate,0.25,21,21,1.0
pixelate,0.33,21,0,0.0
pixelate,0.5,21,0,0.0
red_channel_shift,-30,21,0,0.0
red_channel_shift,-45,21,21,1.0
red_channel_shift,30,21,0,0.0
red_channel_shift,45,21,21,1.0
resize,1.33,21,0,0.0
resize,1.67,21,0,0.0
resize,2.0,21,21,1.0
rotation,135,21,0,0.0
rotation,180,21,21,1.0
rotation,45,21,21,1.0
rotation,90,21,0,0.0
scratch,mild,21,0,0.0
scratch,moderate,21,0,0.0
scratch,severe,21,21,1.0
shot_noise,15,21,21,1.0
shot_noise,30,21,0,0.0
shot_noise,60,21,0,0.0
zoom_blur,1.05,21,0,0.0
zoom_blur,1.1,21,0,0.0
zoom_blur,1.2,21,21,1.0
