backbone,drop,feature_drift,delta_fgcs,inter_collapse,spatial_instability,csi,csi_hungarian,csi_permutation_gap,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence,cam_entropy_clean,sgi_clean
resnet50,0.2974617734370184,0.3112401836898929,0.05423190335168492,0.048560379661227504,0.5744005808180297,0.42559941918197025,0.4936500582960348,0.06805063911406455,0.2719473037082004,0.2719473037082004,0.12475389341422673,1.1271134262079028,0.0034885868409863454
efficientnet_b3,0.22373610610540953,0.32444827970354245,0.06106477085104865,0.0416708471367887,0.5210715668382288,0.47892843316177125,0.5221054072700143,0.0431769741082431,0.22186216311062848,0.22186216311062848,0.08368910561310086,1.3474785075482745,0.009501122714710835
convnext_tiny,0.27156539270637226,0.35489347309135555,0.06733875362490888,0.04753906310846406,0.6472875592418018,0.3527124407581982,0.4761504354560608,0.12343799469786257,0.363365847997427,0.363365847997427,0.20628615770870506,0.9965543138355364,0.0006470556972788693
swin_tiny,0.2517962323940192,0.37242280780909615,0.06130158206102929,0.06910318028377857,0.5913913157011531,0.4086086842988469,0.5534562154554994,0.14484753115665244,0.2557721580116302,0.2557721580116302,0.11245166220177881,1.2408315331740376,0.0010350566007652584
dinov2_b,0.2025326617101634,0.26254732369597417,0.07890565991726174,0.006493517638821356,0.5324410337544748,0.4675589662455252,0.5676312662755912,0.100072300030066,0.1697144980545389,0.1697144980545389,0.04859687175966717,1.4011827834050417,0.0017396431228741006
hrnet32,0.2725110710702905,0.20622113464285796,0.062057225529398824,0.031148198436488153,0.579903292922131,0.4200967070778689,0.47961503673512446,0.059518329657255516,0.22781261836301475,0.22781261836301475,0.08156231231531648,1.3202894218976227,0.004937918526785664
mobilenetv3,0.2764332755595901,0.3700163841917457,0.04071907667885781,0.07601810869221622,0.5661605663235417,0.4338394336764582,0.5012033273241572,0.06736389364769901,0.2638141499624383,0.2638141499624383,0.11808347753232877,1.218434588597678,0.0055990247661564145
