pair,n_species,n_seeds,mean_mmd2,sd_mmd2,mean_accuracy,sd_accuracy,accuracy_ci_low,accuracy_ci_high,mean_failure,chance_accuracy
BFS46<->FSDM41,4,20,0.20878302880695884,0.04071740835350963,0.19483596129789,0.08448894272282818,0.08022725979301992,0.36038659214523205,0.8051640387021101,0.25
DTSR14<->WOODAUTH,4,20,0.19281722818102148,5.695323946259567e-17,0.31958300983436855,0.0,0.31958300983436855,0.31958300983436855,0.6804169901656316,0.25
