metric,r_raw,p_raw,r_partial,p_partial,n
feature_drift,0.907555223203288,0.0,0.7945807677525022,0.0,1596
delta_fgcs,0.34010622907905624,1.6509016007813462e-44,0.3594013649353239,7.419930716608066e-50,1596
inter_collapse,0.7134282013502634,1.7914532551201208e-248,0.6710126921438176,2.3999510729061352e-209,1596
delta_intra,-0.6526608500843823,2.2842459820479095e-194,-0.5686122367254567,2.2952498572785595e-137,1596
fsr_collapse,0.4196378962883875,4.2674012721870323e-69,0.41447188716859706,2.7609705974600736e-67,1596
csi,-0.6792562544716826,1.9514450790637563e-86,-0.44086561251800277,2.4184017280715756e-31,630
csi_hungarian,-0.6832654247506612,7.901515301177505e-88,-0.4778744376844808,2.942371271265491e-37,630
csi_permutation_gap,0.14302481700043634,0.0003166350994028691,-0.038511362135957836,0.3345118135070689,630
cam_shift_jsd,0.5887756586925557,4.8522662302645855e-60,0.3908788062044783,1.9806380667768598e-24,630
cam_shift_js_distance,0.5887756586925557,4.8522662302645855e-60,0.3908788062044783,1.9806380667768598e-24,630
cam_shift_js_divergence,0.45416406084153665,2.193202905772957e-33,0.3209778248430179,1.4563394839517783e-16,630
cam_entropy_clean,-0.043379359781686534,0.08319137506796408,-0.06980018287286612,0.005275147431760774,1596
sgi_clean,-0.052851865714949195,0.03475068088937313,-0.08504205480766525,0.0006715753180014867,1596
