metric,r_raw,p_raw,r_partial_no_severity,p_partial_no_severity,r_partial_severity,p_partial_severity,n
feature_drift,0.9075552232032883,0.0,0.8618450131139193,0.0,0.6227546227809363,4.4327914006041043e-172,1596
delta_fgcs,0.3401062290790563,1.650901600781211e-44,0.37257529077544665,1.0015758292418267e-53,0.16141291898679908,8.816673086539424e-11,1596
delta_intra,-0.6526608500843823,2.2842459820480552e-194,-0.5711773399804764,7.246604871696883e-139,-0.3685326543658114,1.6123842052669694e-52,1596
delta_fsr,-0.41963789628838755,4.267401272187296e-69,-0.46202113938290806,3.333517762373885e-85,-0.17801077602125587,7.879421552227873e-13,1596
inter_collapse,0.7134282013502635,1.7914532551201744e-248,0.6868505303063428,3.610793201264397e-223,0.41755007158028806,2.3219484243381736e-68,1596
fsr_collapse,0.41963789628838755,4.267401272187296e-69,0.46202113938290806,3.333517762373885e-85,0.17801077602125587,7.879421552227873e-13,1596
