dataset,backbone,perturbation,severity,tag,rule,protocol,n_splits,test_size,split_seed,accuracy,accuracy_std,acc_clean,drop
DTSR14,convnext_tiny,gaussian_blur,6,blur_6,linear_probe,split_disjoint_v1,5,0.2,42,0.4816395283548568,0.0129428676332163,0.966760247052218,0.4851207186973612
DTSR14,convnext_tiny,gaussian_blur,8,blur_8,linear_probe,split_disjoint_v1,5,0.2,42,0.4218978102189781,0.0041504140623416,0.966760247052218,0.5448624368332399
DTSR14,convnext_tiny,gaussian_noise,0.02,gaussian_noise_0_02,linear_probe,split_disjoint_v1,5,0.2,42,0.8642335766423358,0.0022571309648783,0.966760247052218,0.1025266704098821
DTSR14,convnext_tiny,gaussian_noise,0.05,gaussian_noise_0_05,linear_probe,split_disjoint_v1,5,0.2,42,0.7237507018528916,0.0040176403862994,0.966760247052218,0.2430095451993263
DTSR14,convnext_tiny,gaussian_noise,0.1,gaussian_noise_0_1,linear_probe,split_disjoint_v1,5,0.2,42,0.587085906793936,0.013815659965619,0.966760247052218,0.3796743402582819
DTSR14,convnext_tiny,green_channel_shift,-30,green_channel_shift_-30,linear_probe,split_disjoint_v1,5,0.2,42,0.9343065693430656,0.0015881118050231,0.966760247052218,0.0324536777091523
DTSR14,convnext_tiny,green_channel_shift,-45,green_channel_shift_-45,linear_probe,split_disjoint_v1,5,0.2,42,0.8969118472768107,0.0029412242231799,0.966760247052218,0.0698483997754072
DTSR14,convnext_tiny,green_channel_shift,30,green_channel_shift_30,linear_probe,split_disjoint_v1,5,0.2,42,0.925435148792813,0.0047298011653346,0.966760247052218,0.041325098259405
DTSR14,convnext_tiny,green_channel_shift,45,green_channel_shift_45,linear_probe,split_disjoint_v1,5,0.2,42,0.8763615946097698,0.0025459369003379,0.966760247052218,0.0903986524424481
DTSR14,convnext_tiny,illumination,0.7,brightness_0_7,linear_probe,split_disjoint_v1,5,0.2,42,0.9511510387422796,0.0034974534536546,0.966760247052218,0.0156092083099383
DTSR14,convnext_tiny,illumination,0.85,brightness_0_85,linear_probe,split_disjoint_v1,5,0.2,42,0.958113419427288,0.0037006753628936,0.966760247052218,0.00864682762493
DTSR14,convnext_tiny,illumination,1.15,brightness_1_15,linear_probe,split_disjoint_v1,5,0.2,42,0.9601347557551938,0.003515435338012,0.966760247052218,0.0066254912970241
DTSR14,convnext_tiny,illumination,1.3,brightness_1_3,linear_probe,split_disjoint_v1,5,0.2,42,0.940482874789444,0.0015881118050231,0.966760247052218,0.0262773722627738
DTSR14,convnext_tiny,impulse_noise,0.01,impulse_noise_0_01,linear_probe,split_disjoint_v1,5,0.2,42,0.8810780460415497,0.0073328816248464,0.966760247052218,0.0856822010106682
DTSR14,convnext_tiny,impulse_noise,0.03,impulse_noise_0_03,linear_probe,split_disjoint_v1,5,0.2,42,0.5925884334643459,0.0113724773957751,0.966760247052218,0.3741718135878721
DTSR14,convnext_tiny,impulse_noise,0.05,impulse_noise_0_05,linear_probe,split_disjoint_v1,5,0.2,42,0.4643458731049971,0.0126501853041113,0.966760247052218,0.5024143739472209
DTSR14,convnext_tiny,jpeg,10,jpeg_10,linear_probe,split_disjoint_v1,5,0.2,42,0.6336889387984279,0.0100478667976496,0.966760247052218,0.33307130825379
DTSR14,convnext_tiny,jpeg,20,jpeg_20,linear_probe,split_disjoint_v1,5,0.2,42,0.8236945536215611,0.0065190006844244,0.966760247052218,0.1430656934306569
DTSR14,convnext_tiny,jpeg,30,jpeg_30,linear_probe,split_disjoint_v1,5,0.2,42,0.8910724312184165,0.0030340833433141,0.966760247052218,0.0756878158338014
DTSR14,convnext_tiny,jpeg,50,jpeg_50,linear_probe,split_disjoint_v1,5,0.2,42,0.9386861313868614,0.0033388138680108,0.966760247052218,0.0280741156653565
DTSR14,convnext_tiny,jpeg,70,jpeg_70,linear_probe,split_disjoint_v1,5,0.2,42,0.9536215609208312,0.0025754845460257,0.966760247052218,0.0131386861313869
DTSR14,convnext_tiny,motion_blur,15,motion_blur_15,linear_probe,split_disjoint_v1,5,0.2,42,0.578663672094329,0.0072914915578879,0.966760247052218,0.3880965749578889
DTSR14,convnext_tiny,motion_blur,5,motion_blur_5,linear_probe,split_disjoint_v1,5,0.2,42,0.9000561482313308,0.0078687694739381,0.966760247052218,0.0667040988208871
DTSR14,convnext_tiny,motion_blur,9,motion_blur_9,linear_probe,split_disjoint_v1,5,0.2,42,0.7568781583380124,0.0069496904870368,0.966760247052218,0.2098820887142055
DTSR14,convnext_tiny,pixelate,0.25,pixelate_0_25,linear_probe,split_disjoint_v1,5,0.2,42,0.4145985401459854,0.0071075765967194,0.966760247052218,0.5521617069062326
DTSR14,convnext_tiny,pixelate,0.33,pixelate_0_33,linear_probe,split_disjoint_v1,5,0.2,42,0.4643458731049971,0.0148681534352957,0.966760247052218,0.5024143739472209
DTSR14,convnext_tiny,pixelate,0.5,pixelate_0_5,linear_probe,split_disjoint_v1,5,0.2,42,0.5249859629421674,0.0088422323121974,0.966760247052218,0.4417742841100506
DTSR14,convnext_tiny,red_channel_shift,-30,color_shift_-30,linear_probe,split_disjoint_v1,5,0.2,42,0.921729365524986,0.0048508952423256,0.966760247052218,0.045030881527232
DTSR14,convnext_tiny,red_channel_shift,-45,color_shift_-45,linear_probe,split_disjoint_v1,5,0.2,42,0.8789444132509827,0.008241366931795,0.966760247052218,0.0878158338012352
DTSR14,convnext_tiny,red_channel_shift,30,color_shift_30,linear_probe,split_disjoint_v1,5,0.2,42,0.92363840539023,0.0027506903343999,0.966760247052218,0.0431218416619879
DTSR14,convnext_tiny,red_channel_shift,45,color_shift_45,linear_probe,split_disjoint_v1,5,0.2,42,0.8934306569343065,0.0047563882278601,0.966760247052218,0.0733295901179115
DTSR14,convnext_tiny,resize,1.33,resize_1_33,linear_probe,split_disjoint_v1,5,0.2,42,0.9046603032004492,0.0067974153623454,0.966760247052218,0.0620999438517688
DTSR14,convnext_tiny,resize,1.67,resize_1_67,linear_probe,split_disjoint_v1,5,0.2,42,0.8391914654688376,0.0054275332840402,0.966760247052218,0.1275687815833803
DTSR14,convnext_tiny,resize,2.0,resize_2_0,linear_probe,split_disjoint_v1,5,0.2,42,0.7482313307130826,0.0106569283899995,0.966760247052218,0.2185289163391354
DTSR14,convnext_tiny,rotation,135,rotation_135,linear_probe,split_disjoint_v1,5,0.2,42,0.666704098820887,0.0053219519870063,0.966760247052218,0.300056148231331
DTSR14,convnext_tiny,rotation,180,rotation_180,linear_probe,split_disjoint_v1,5,0.2,42,0.953621560920831,0.0028541864182232,0.966760247052218,0.013138686131387
DTSR14,convnext_tiny,rotation,45,rotation_45,linear_probe,split_disjoint_v1,5,0.2,42,0.6832116788321168,0.0060826962667943,0.966760247052218,0.2835485682201012
DTSR14,convnext_tiny,rotation,90,rotation_90,linear_probe,split_disjoint_v1,5,0.2,42,0.8805165637282425,0.00676020974432,0.966760247052218,0.0862436833239754
DTSR14,convnext_tiny,scratch,mild,scratch_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.8707467714766984,0.0044552126726282,0.966760247052218,0.0960134755755195
DTSR14,convnext_tiny,scratch,moderate,scratch_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.7752947782144863,0.0103860569385934,0.966760247052218,0.1914654688377316
DTSR14,convnext_tiny,scratch,severe,scratch_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.6464907355418303,0.006639750926039,0.966760247052218,0.3202695115103876
DTSR14,convnext_tiny,shot_noise,15,shot_noise_15,linear_probe,split_disjoint_v1,5,0.2,42,0.3747332959011791,0.0176866037447733,0.966760247052218,0.5920269511510388
DTSR14,convnext_tiny,shot_noise,30,shot_noise_30,linear_probe,split_disjoint_v1,5,0.2,42,0.4442448062886018,0.0209076592884663,0.966760247052218,0.5225154407636161
DTSR14,convnext_tiny,shot_noise,60,shot_noise_60,linear_probe,split_disjoint_v1,5,0.2,42,0.568669286917462,0.0125772038180797,0.966760247052218,0.398090960134756
