model,term,estimate,se,p,ci_lo,ci_hi
crossed_dataset_backbone,C(severity)[T.20],-0.0010593751865624985,0.027402862306835748,0.9691620314147613,-0.05476799838127074,0.05264924800814575
crossed_dataset_backbone,C(severity)[T.3],-0.15575729430753518,0.03253593131211924,1.6909103532338857e-06,-0.2195265478827579,-0.09198804073231245
crossed_dataset_backbone,C(severity)[T.30],0.00029160565687832556,0.01404077315037431,0.9834303336461675,-0.027227804032952312,0.027811015346708965
crossed_dataset_backbone,C(severity)[T.4],0.005019079343824533,0.03232881945742311,0.8766234972585668,-0.058344242455422496,0.06838240114307156
crossed_dataset_backbone,C(severity)[T.45],-0.00795866045957961,0.014081955920091871,0.5719600025260934,-0.03555878689484028,0.019641465975681057
crossed_dataset_backbone,C(severity)[T.5],-0.0660342526289241,0.02924683301473265,0.023956525294566006,-0.1233569919996571,-0.00871151325819109
crossed_dataset_backbone,C(severity)[T.50],-0.009885143451313142,0.027460676511805497,0.7188661988900273,-0.06370708040555692,0.04393679350293063
crossed_dataset_backbone,C(severity)[T.6],0.05274172596884774,0.032195607092785794,0.10138721854513034,-0.010360504393414724,0.1158439563311102
crossed_dataset_backbone,C(severity)[T.60],-0.05066416353572027,0.02742163299837463,0.06466047041666013,-0.10440957660980965,0.0030812495383691005
crossed_dataset_backbone,C(severity)[T.70],-0.0014141337473311101,0.027537412261343108,0.959044090759882,-0.055386470006995286,0.05255820251233306
crossed_dataset_backbone,C(severity)[T.8],0.04985473876521323,0.027754382438488035,0.07244944330379163,-0.00454285122737428,0.10425232875780074
crossed_dataset_backbone,C(severity)[T.9],-0.03146487383727728,0.033360182882747696,0.34558552186622404,-0.09684963080513236,0.033919883130577796
crossed_dataset_backbone,C(severity)[T.90],-0.07391643588094482,0.028540691255227058,0.009601456831893573,-0.12985516283506712,-0.017977708926822517
crossed_dataset_backbone,C(severity)[T.mild],0.13106782268094141,,,,
crossed_dataset_backbone,C(severity)[T.moderate],0.23823986499464572,,,,
crossed_dataset_backbone,C(severity)[T.severe],0.3058465793968691,,,,
crossed_dataset_backbone,feature_drift,0.7373083724717762,0.023353140121338087,8.911804069739009e-219,0.6915370589080362,0.7830796860355161
