detector,mean_test_auc,min_test_auc,mean_test_ap,mean_test_f1,min_test_f1,mean_test_recall,mean_test_fpr,n_datasets
paired_feature_drift_oracle,0.979624297568198,0.9694420226678292,0.98006734008359,0.9169507147788364,0.8813559322033897,0.928845502629138,0.0928856112477903,8
ref_mmd_rbf,0.974148035668775,0.9639547444425494,0.9724996966296496,0.8951195783234464,0.8235294117647058,0.93188950377757,0.1431767571019425,8
ref_knn1_dist,0.9661351944314696,0.938630710085934,0.964874005844771,0.884375065356814,0.8271844660194175,0.933061704542538,0.1666502664576278,8
ref_centroid_cosine,0.9632175571325402,0.9506829410055216,0.9618726161192582,0.8938420948605769,0.8525252525252526,0.9161446632232174,0.1317600154882972,8
ref_knn5_dist,0.9531703366895607,0.9040451153324288,0.9551554734750448,0.8652897985351832,0.7664233576642336,0.8936558219545109,0.1610591378164061,8
ref_mahalanobis_delta,0.9351564270654348,0.8890644429814937,0.9306239687643096,0.8380255995514334,0.7353463587921847,0.8952635641328804,0.2315892678951334,8
ref_mahalanobis,0.9297388605906048,0.8906590593226538,0.9271024505424016,0.840937804509638,0.746268656716418,0.8988379146164454,0.2298048036875359,8
