detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_mmd_rbf,impulse_noise,0.05,0.1122515201568603,0.5714285714285714,0.6875,0.041666666666666664,0.9565217391304348,168,66,3,30,69
ref_mmd_rbf,impulse_noise,0.1,0.0828231573104858,0.5714285714285714,0.8229166666666666,0.09722222222222222,0.9186046511627907,168,79,7,17,65
ref_mmd_rbf,jpeg,0.05,0.1075929403305053,0.30357142857142855,0.6352941176470588,0.08717948717948718,0.7605633802816901,280,54,17,31,178
ref_mmd_rbf,jpeg,0.1,0.0781517028808593,0.30357142857142855,0.9058823529411765,0.24102564102564103,0.6209677419354839,280,77,47,8,148
ref_mmd_rbf,motion_blur,0.05,0.1137793064117431,0.6607142857142857,0.5225225225225225,0.0,1.0,168,58,0,53,57
ref_mmd_rbf,motion_blur,0.1,0.0833560824394226,0.6607142857142857,0.7297297297297297,0.017543859649122806,0.9878048780487805,168,81,1,30,56
ref_mmd_rbf,pixelate,0.05,0.1121578812599182,0.8869047619047619,0.8456375838926175,0.15789473684210525,0.9767441860465116,168,126,3,23,16
ref_mmd_rbf,pixelate,0.1,0.0827597975730896,0.8869047619047619,0.912751677852349,0.15789473684210525,0.9784172661870504,168,136,3,13,16
ref_mmd_rbf,red_channel_shift,0.05,0.1197606921195983,0.022321428571428572,0.0,0.0,,224,0,0,5,219
ref_mmd_rbf,red_channel_shift,0.1,0.0865938067436218,0.022321428571428572,0.0,0.0045662100456621,0.0,224,0,1,5,218
ref_mmd_rbf,resize,0.05,0.1152726411819458,0.19642857142857142,0.030303030303030304,0.007407407407407408,0.5,168,1,1,32,134
ref_mmd_rbf,resize,0.1,0.0833787322044372,0.19642857142857142,0.3333333333333333,0.05185185185185185,0.6111111111111112,168,11,7,22,128
ref_mmd_rbf,rotation,0.05,0.1122515201568603,0.42857142857142855,0.8958333333333334,0.046875,0.9347826086956522,224,86,6,10,122
ref_mmd_rbf,rotation,0.1,0.0826791524887085,0.42857142857142855,1.0,0.1171875,0.8648648648648649,224,96,15,0,113
ref_mmd_rbf,scratch,0.05,0.0909121632575988,0.4107142857142857,1.0,0.696969696969697,0.5,168,69,69,0,30
ref_mmd_rbf,scratch,0.1,0.070672333240509,0.4107142857142857,1.0,0.8181818181818182,0.46,168,69,81,0,18
ref_mmd_rbf,shot_noise,0.05,0.1134350895881652,0.8214285714285714,0.6304347826086957,0.0,1.0,168,87,0,51,30
ref_mmd_rbf,shot_noise,0.1,0.0827016234397888,0.8214285714285714,0.7753623188405797,0.16666666666666666,0.9553571428571429,168,107,5,31,25
ref_mmd_rbf,zoom_blur,0.05,0.1121578812599182,0.8690476190476191,0.9452054794520548,0.13636363636363635,0.9787234042553191,168,138,3,8,19
ref_mmd_rbf,zoom_blur,0.1,0.0815377235412597,0.8690476190476191,0.9657534246575342,0.5,0.9276315789473685,168,141,11,5,11
ref_centroid_cosine,blue_channel_shift,0.05,0.2196961641311645,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_centroid_cosine,blue_channel_shift,0.1,0.1620402336120605,0.008928571428571428,0.5,0.0,1.0,224,1,0,1,222
ref_centroid_cosine,compound,0.05,0.213672399520874,1.0,0.9523809523809523,,1.0,168,160,0,8,0
ref_centroid_cosine,compound,0.1,0.1522741317749023,1.0,0.9821428571428571,,1.0,168,165,0,3,0
ref_centroid_cosine,compound_digital,0.05,0.213672399520874,0.8630952380952381,0.7448275862068966,0.043478260869565216,0.9908256880733946,168,108,1,37,22
ref_centroid_cosine,compound_digital,0.1,0.1522741317749023,0.8630952380952381,0.9172413793103448,0.08695652173913043,0.9851851851851852,168,133,2,12,21
ref_centroid_cosine,compound_field,0.05,0.212090253829956,0.9583333333333334,0.84472049689441,0.14285714285714285,0.9927007299270073,168,136,1,25,6
ref_centroid_cosine,compound_field,0.1,0.1509614586830139,0.9583333333333334,0.9565217391304348,0.2857142857142857,0.9871794871794872,168,154,2,7,5
ref_centroid_cosine,compound_optical,0.05,0.2072054147720337,0.8928571428571429,0.8733333333333333,0.2222222222222222,0.9703703703703703,168,131,4,19,14
ref_centroid_cosine,compound_optical,0.1,0.1497853994369506,0.8928571428571429,0.9266666666666666,0.4444444444444444,0.9455782312925171,168,139,8,11,10
ref_centroid_cosine,contrast,0.05,0.2196961641311645,0.0,,0.0,,224,0,0,0,224
ref_centroid_cosine,contrast,0.1,0.1620402336120605,0.0,,0.0,,224,0,0,0,224
ref_centroid_cosine,defocus_blur,0.05,0.2120489478111267,0.8785714285714286,0.8292682926829268,0.08823529411764706,0.9855072463768116,280,204,3,42,31
ref_centroid_cosine,defocus_blur,0.1,0.150141954421997,0.8785714285714286,0.9186991869918699,0.23529411764705882,0.9658119658119658,280,226,8,20,26
