mag_pair,coarse_mag,fine_mag,mean_acc_coarse_to_fine,mean_acc_fine_to_coarse,signed_asymmetry,easier_direction,sign_agreement_fraction,sign_agreement_percent,n_backbones,ratio
x10<->x20,VN26_x10,VN26_x20,0.6193406593406594,0.5372527472527473,0.08208791208791208,coarse_to_fine_easier,1.0,100.0,7,2.0
x10<->x50,VN26_x10,VN26_x50,0.20175824175824172,0.283021978021978,-0.08126373626373627,fine_to_coarse_easier,0.8571428571428571,85.71428571428571,7,5.0
x20<->x50,VN26_x20,VN26_x50,0.16016483516483512,0.17879120879120874,-0.018626373626373646,near_symmetric,0.5714285714285714,57.14285714285714,7,2.5
