model,r2,delta_r2,n
M0: Perturbation type only,0.7819205942160623,0.7819205942160623,630
M1: + Feature drift,0.8708651741624316,0.08894457994636928,630
M2: + Full feature geometry,0.8883475806601419,0.017482406497710268,630
M3: + Spatial clustering,0.8927553670810564,0.00440778642091455,630
M4: + Attention drift,0.8938023880193786,0.0010470209383222073,630
