model,formula,optimizer,converged,error,n,aic,bic,loglike,feature_beta,feature_se,feature_z,feature_p,feature_ci_lo,feature_ci_hi
backbone_random_slope,drop ~ feature_drift,lbfgs,True,,1596,-3041.796289884056,-3009.5447552159976,1526.898144942028,1.1547786693879434,0.09135865401136055,12.640057823578983,1.2696055031170981e-36,0.975718997849621,1.3338383409262657
crossed_dataset_backbone,drop ~ feature_drift + C(perturbation) + C(severity),lbfgs,True,,1596,-3401.220218075443,-3024.95231361476,1770.6101090377215,0.7373083724717762,0.023353140121338087,31.572129856664855,8.911804069739009e-219,0.6915370589080362,0.7830796860355161
