backbone,r_feature_drift,p_feature_drift,r_delta_fgcs,p_delta_fgcs,n
convnext_tiny,0.9536514894561227,7.457464052683994e-120,0.2797686138645003,1.8100891614625782e-05,228
dinov2_b,0.9646730293292934,6.5721626168316765e-133,0.7123953260127349,1.2913738592423589e-36,228
efficientnet_b3,0.9509591519724953,3.776913124219438e-117,0.31185950390830824,1.5597380942253e-06,228
hrnet32,0.9607015510696915,8.883374659210465e-128,0.4142403648621768,7.241314596371506e-11,228
mobilenetv3,0.926210654750334,1.0284686904764915e-97,0.22250774492484354,0.0007147780672172086,228
resnet50,0.9301573595915419,2.5891853697527737e-100,0.22160856234732162,0.0007521690349059666,228
swin_tiny,0.9453297147077149,5.898357653520631e-112,0.33779298569551774,1.7230125109827825e-07,228
