seed,pair,mean_mmd2,mean_accuracy,mean_failure,n_cells
0,BFS46<->FSDM41,0.15404355525970453,0.16171319102353585,0.8382868089764642,14
0,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
1,BFS46<->FSDM41,0.1638103510652269,0.16335978835978837,0.8366402116402115,14
1,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
2,BFS46<->FSDM41,0.24934474485261096,0.18898613463830857,0.8110138653616915,14
2,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
3,BFS46<->FSDM41,0.16311287879943845,0.137012987012987,0.862987012987013,14
3,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
4,BFS46<->FSDM41,0.1668936099324907,0.2825815383624714,0.7174184616375285,14
4,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
5,BFS46<->FSDM41,0.21623017958232332,0.3025284629500086,0.6974715370499913,14
5,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
6,BFS46<->FSDM41,0.18650403193065093,0.18369063388933446,0.8163093661106656,14
6,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
7,BFS46<->FSDM41,0.22814645937510897,0.19301986726793158,0.8069801327320684,14
7,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
8,BFS46<->FSDM41,0.2857336401939392,0.36164197321056124,0.6383580267894386,14
8,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
9,BFS46<->FSDM41,0.16188468251909524,0.17129896313364057,0.8287010368663594,14
9,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
10,BFS46<->FSDM41,0.2350356919424874,0.17009752846535814,0.8299024715346419,14
10,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
11,BFS46<->FSDM41,0.2254259841782706,0.11263195731961104,0.887368042680389,14
11,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
12,BFS46<->FSDM41,0.18369106735501967,0.05867512625314252,0.9413248737468575,14
12,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
13,BFS46<->FSDM41,0.23647149120058325,0.1347753299689441,0.865224670031056,14
13,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
14,BFS46<->FSDM41,0.2725208231381007,0.3589990657046051,0.641000934295395,14
14,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
15,BFS46<->FSDM41,0.19718592933246065,0.231811105345096,0.768188894654904,14
15,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
16,BFS46<->FSDM41,0.187501779624394,0.10404803896867389,0.895951961031326,14
16,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
17,BFS46<->FSDM41,0.2604434447629111,0.2974147305189082,0.7025852694810918,14
17,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
18,BFS46<->FSDM41,0.23355574267251147,0.138690769780812,0.861309230219188,14
18,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
19,BFS46<->FSDM41,0.16812448842184885,0.14374203378408074,0.8562579662159192,14
19,DTSR14<->WOODAUTH,0.1928172281810215,0.31958300983436855,0.6804169901656315,14
