dataset,backbone,perturbation,severity,accuracy,acc_clean,drop
BFS46,resnet50,gaussian_blur,2,0.3950552340873224,0.9805774278215222,0.5855221937341998
BFS46,resnet50,gaussian_blur,4,0.2293529721199368,0.9805774278215222,0.7512244557015854
BFS46,resnet50,gaussian_blur,6,0.1415044713308784,0.9805774278215222,0.8390729564906437
BFS46,resnet50,gaussian_blur,8,0.0925828511309836,0.9805774278215222,0.8879945766905386
BFS46,resnet50,gaussian_blur,10,0.0620725933719095,0.9805774278215222,0.9185048344496128
BFS46,resnet50,gaussian_blur,12,0.0499736980536559,0.9805774278215222,0.9306037297678664
BFS46,resnet50,defocus_blur,3,0.5318253550762756,0.9805774278215222,0.4487520727452466
BFS46,resnet50,defocus_blur,5,0.2945817990531299,0.9805774278215222,0.6859956287683924
BFS46,resnet50,defocus_blur,8,0.2062072593371909,0.9805774278215222,0.7743701684843313
BFS46,resnet50,defocus_blur,11,0.1457127827459232,0.9805774278215222,0.834864645075599
BFS46,resnet50,defocus_blur,15,0.1088900578642819,0.9805774278215222,0.8716873699572403
BFS46,resnet50,resize,1.33,0.9763282482903736,0.9805774278215222,0.0042491795311487
BFS46,resnet50,resize,1.67,0.8863755917937928,0.9805774278215222,0.0942018360277294
BFS46,resnet50,resize,2.0,0.8311415044713308,0.9805774278215222,0.1494359233501914
BFS46,resnet50,illumination,0.7,0.9915833771699104,0.9805774278215222,-0.0110059493483882
BFS46,resnet50,illumination,0.85,0.9931614939505524,0.9805774278215222,-0.01258406612903
BFS46,resnet50,illumination,1.15,0.9921094160967912,0.9805774278215222,-0.0115319882752689
BFS46,resnet50,illumination,1.3,0.988427143608627,0.9805774278215222,-0.0078497157871048
BFS46,resnet50,jpeg,10,0.3198316675433982,0.9805774278215222,0.660745760278124
BFS46,resnet50,jpeg,20,0.6533403471856918,0.9805774278215222,0.3272370806358304
BFS46,resnet50,jpeg,30,0.8253550762756444,0.9805774278215222,0.1552223515458778
BFS46,resnet50,jpeg,50,0.920568122041031,0.9805774278215222,0.0600093057804912
BFS46,resnet50,jpeg,70,0.9579168858495528,0.9805774278215222,0.0226605419719694
BFS46,resnet50,red_channel_shift,-45,0.900052603892688,0.9805774278215222,0.0805248239288342
BFS46,resnet50,red_channel_shift,-30,0.941083640189374,0.9805774278215222,0.0394937876321482
BFS46,resnet50,red_channel_shift,30,0.976854287217254,0.9805774278215222,0.0037231406042681
BFS46,resnet50,red_channel_shift,45,0.952656496580747,0.9805774278215222,0.0279209312407752
BFS46,resnet50,green_channel_shift,-45,0.8537611783271962,0.9805774278215222,0.126816249494326
BFS46,resnet50,green_channel_shift,-30,0.9316149395055234,0.9805774278215222,0.0489624883159988
BFS46,resnet50,green_channel_shift,30,0.93740136770121,0.9805774278215222,0.0431760601203123
BFS46,resnet50,green_channel_shift,45,0.8653340347185692,0.9805774278215222,0.115243393102953
BFS46,resnet50,blue_channel_shift,-45,0.9652814308258812,0.9805774278215222,0.0152959969956411
BFS46,resnet50,blue_channel_shift,-30,0.9805365597054182,0.9805774278215222,4.086811610404251e-05
BFS46,resnet50,blue_channel_shift,30,0.9510783798001052,0.9805774278215222,0.029499048021417
BFS46,resnet50,blue_channel_shift,45,0.923198316675434,0.9805774278215222,0.0573791111460882
BFS46,resnet50,gaussian_noise,0.02,0.9810625986322988,0.9805774278215222,-0.0004851708107765
BFS46,resnet50,gaussian_noise,0.05,0.9016307206733298,0.9805774278215222,0.0789467071481924
BFS46,resnet50,gaussian_noise,0.1,0.7243556023145713,0.9805774278215222,0.2562218255069509
BFS46,resnet50,shot_noise,60,0.8090478695423461,0.9805774278215222,0.1715295582791761
BFS46,resnet50,shot_noise,30,0.5665439242503946,0.9805774278215222,0.4140335035711276
BFS46,resnet50,shot_noise,15,0.2993161493950552,0.9805774278215222,0.681261278426467
BFS46,resnet50,impulse_noise,0.01,0.5891635981062598,0.9805774278215222,0.3914138297152624
BFS46,resnet50,impulse_noise,0.03,0.2409258285113098,0.9805774278215222,0.7396515993102124
BFS46,resnet50,impulse_noise,0.05,0.1657022619673855,0.9805774278215222,0.8148751658541367
BFS46,resnet50,motion_blur,5,0.746449237243556,0.9805774278215222,0.2341281905779662
BFS46,resnet50,motion_blur,9,0.3782219884271436,0.9805774278215222,0.6023554393943786
BFS46,resnet50,motion_blur,15,0.1846396633350868,0.9805774278215222,0.7959377644864354
BFS46,resnet50,zoom_blur,1.05,0.5891635981062598,0.9805774278215222,0.3914138297152624
BFS46,resnet50,zoom_blur,1.1,0.3387690689110994,0.9805774278215222,0.6418083589104229
BFS46,resnet50,zoom_blur,1.2,0.2025249868490268,0.9805774278215222,0.7780524409724954
BFS46,resnet50,contrast,0.5,0.987375065754866,0.9805774278215222,-0.0067976379333436
BFS46,resnet50,contrast,0.75,0.9915833771699104,0.9805774278215222,-0.0110059493483882
BFS46,resnet50,contrast,1.25,0.9931614939505524,0.9805774278215222,-0.01258406612903
BFS46,resnet50,contrast,1.5,0.9915833771699104,0.9805774278215222,-0.0110059493483882
BFS46,resnet50,pixelate,0.5,0.162546028406102,0.9805774278215222,0.8180313994154202
BFS46,resnet50,pixelate,0.33,0.1767490794318779,0.9805774278215222,0.8038283483896442
BFS46,resnet50,pixelate,0.25,0.04471330878485,0.9805774278215222,0.935864119036672
BFS46,resnet50,scratch,mild,0.969489742240926,0.9805774278215222,0.0110876855805963
BFS46,resnet50,scratch,moderate,0.8016833245660179,0.9805774278215222,0.1788941032555043
BFS46,resnet50,scratch,severe,0.3845344555497106,0.9805774278215222,0.5960429722718116
BFS46,resnet50,rotation,45,0.4497632824829037,0.9805774278215222,0.5308141453386185
BFS46,resnet50,rotation,90,0.9305628616517624,0.9805774278215222,0.0500145661697599
BFS46,resnet50,rotation,135,0.4260915307732772,0.9805774278215222,0.554485897048245
BFS46,resnet50,rotation,180,0.9926354550236718,0.9805774278215222,-0.0120580272021495
BFS46,resnet50,compound,mild,0.1551814834297738,0.9805774278215222,0.8253959443917485
BFS46,resnet50,compound,moderate,0.0557601262493424,0.9805774278215222,0.9248173015721798
BFS46,resnet50,compound,severe,0.0315623356128353,0.9805774278215222,0.9490150922086869
BFS46,resnet50,compound_optical,mild,0.4013677012098895,0.9805774278215222,0.5792097266116327
BFS46,resnet50,compound_optical,moderate,0.1977906365071015,0.9805774278215222,0.7827867913144207
BFS46,resnet50,compound_optical,severe,0.0841662283008942,0.9805774278215222,0.896411199520628
BFS46,resnet50,compound_digital,mild,0.4166228300894266,0.9805774278215222,0.5639545977320957
BFS46,resnet50,compound_digital,moderate,0.218832193582325,0.9805774278215222,0.7617452342391972
BFS46,resnet50,compound_digital,severe,0.0720673329826407,0.9805774278215222,0.9085100948388816
BFS46,resnet50,compound_field,mild,0.4602840610205155,0.9805774278215222,0.5202933668010068
BFS46,resnet50,compound_field,moderate,0.1767490794318779,0.9805774278215222,0.8038283483896442
BFS46,resnet50,compound_field,severe,0.0889005786428195,0.9805774278215222,0.8916768491787027
BFS46,efficientnet_b3,gaussian_blur,2,0.6391372961599159,0.9863517060367452,0.3472144098768294
BFS46,efficientnet_b3,gaussian_blur,4,0.31246712256707,0.9863517060367452,0.6738845834696753
BFS46,efficientnet_b3,gaussian_blur,6,0.2051551814834297,0.9863517060367452,0.7811965245533155
BFS46,efficientnet_b3,gaussian_blur,8,0.1756970015781167,0.9863517060367452,0.8106547044586285
BFS46,efficientnet_b3,gaussian_blur,10,0.1388742766964755,0.9863517060367452,0.8474774293402697
BFS46,efficientnet_b3,gaussian_blur,12,0.144660704892162,0.9863517060367452,0.8416910011445833
BFS46,efficientnet_b3,defocus_blur,3,0.7611783271962125,0.9863517060367452,0.2251733788405328
BFS46,efficientnet_b3,defocus_blur,5,0.4134665965281431,0.9863517060367452,0.5728851095086022
BFS46,efficientnet_b3,defocus_blur,8,0.2498684902682798,0.9863517060367452,0.7364832157684654
BFS46,efficientnet_b3,defocus_blur,11,0.174118884797475,0.9863517060367452,0.8122328212392702
BFS46,efficientnet_b3,defocus_blur,15,0.1257233035244608,0.9863517060367452,0.8606284025122845
BFS46,efficientnet_b3,resize,1.33,0.9815886375591794,0.9863517060367452,0.0047630684775659
BFS46,efficientnet_b3,resize,1.67,0.9689637033140452,0.9863517060367452,0.0173880027227
BFS46,efficientnet_b3,resize,2.0,0.9316149395055234,0.9863517060367452,0.0547367665312218
BFS46,efficientnet_b3,illumination,0.7,0.9926354550236718,0.9863517060367452,-0.0062837489869265
BFS46,efficientnet_b3,illumination,0.85,0.994739610731194,0.9863517060367452,-0.0083879046944488
BFS46,efficientnet_b3,illumination,1.15,0.9926354550236718,0.9863517060367452,-0.0062837489869265
BFS46,efficientnet_b3,illumination,1.3,0.9905312993161494,0.9863517060367452,-0.004179593279404
BFS46,efficientnet_b3,jpeg,10,0.6422935297211994,0.9863517060367452,0.3440581763155459
BFS46,efficientnet_b3,jpeg,20,0.8516570226196739,0.9863517060367452,0.1346946834170713
BFS46,efficientnet_b3,jpeg,30,0.9221462388216728,0.9863517060367452,0.0642054672150724
BFS46,efficientnet_b3,jpeg,50,0.9594950026301946,0.9863517060367452,0.0268567034065506
BFS46,efficientnet_b3,jpeg,70,0.9758022093634928,0.9863517060367452,0.0105494966732523
BFS46,efficientnet_b3,red_channel_shift,-45,0.9637033140452392,0.9863517060367452,0.0226483919915059
BFS46,efficientnet_b3,red_channel_shift,-30,0.985796948974224,0.9863517060367452,0.0005547570625211
BFS46,efficientnet_b3,red_channel_shift,30,0.9805365597054182,0.9863517060367452,0.005815146331327
BFS46,efficientnet_b3,red_channel_shift,45,0.9700157811678064,0.9863517060367452,0.0163359248689388
BFS46,efficientnet_b3,green_channel_shift,-45,0.9505523408732246,0.9863517060367452,0.0357993651635206
BFS46,efficientnet_b3,green_channel_shift,-30,0.9710678590215676,0.9863517060367452,0.0152838470151777
