backbone,backbone_label,condition,condition_label,severity_rank,reference_dataset,target_dataset,target_tag,n_reference,n_target,ref_centroid_cosine,ref_mmd_rbf
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,shot_noise_30,1901,1901,0.0779607892036438,0.06175339221954346
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,shot_noise_15,1901,1901,0.12530434131622314,0.0934000015258789
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,impulse_noise_0_01,1901,1901,0.10407280921936035,0.07019877433776855
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,impulse_noise_0_03,1901,1901,0.1879032850265503,0.14059185981750488
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,impulse_noise_0_05,1901,1901,0.19719350337982178,0.15283799171447754
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,motion_blur_5,1901,1901,0.06624162197113037,0.0392950177192688
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,motion_blur_9,1901,1901,0.15211904048919678,0.0813603401184082
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,motion_blur_15,1901,1901,0.3078436851501465,0.15500867366790771
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,zoom_blur_1_05,1901,1901,0.22879719734191895,0.11310374736785889
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,zoom_blur_1_1,1901,1901,0.391951322555542,0.2047768235206604
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,zoom_blur_1_2,1901,1901,0.4128156900405884,0.25009685754776
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,contrast_0_5,1901,1901,0.008941709995269775,0.007794022560119629
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,contrast_0_75,1901,1901,0.0014696121215820312,0.001982390880584717
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,contrast_1_25,1901,1901,0.0012425780296325684,0.0012624263763427734
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,contrast_1_5,1901,1901,0.004539012908935547,0.004590809345245361
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,pixelate_0_5,1901,1901,0.30855119228363037,0.22043782472610474
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,pixelate_0_33,1901,1901,0.24675166606903076,0.17542797327041626
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,pixelate_0_25,1901,1901,0.42392975091934204,0.35815638303756714
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,scratch_mild,1901,1901,0.20294010639190674,0.11567032337188721
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,scratch_moderate,1901,1901,0.48552030324935913,0.3015722632408142
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,scratch_severe,1901,1901,0.6211867928504944,0.38737910985946655
