detector,auc_roc,avg_precision,best_f1,best_threshold,n
feature_drift,0.9747127348908073,0.9705990056288478,0.9028340075977351,0.2809585928916931,1596
inter_collapse,0.8409805104113763,0.8477176961123623,0.7918781720895711,0.0340862274169921,1596
1 - csi_bo,0.7619810182833927,0.663946231768989,0.6707317068709735,0.4806981001776005,1596
1 - csi_hungarian,0.724850812595226,0.6339354420708155,0.671052631132434,0.39043595932858266,1596
delta_fgcs,0.7051152234636872,0.7088667396996892,0.6759735483624922,0.0345550645777847,1596
cam_shift_js_distance,0.6683802056881666,0.662738517192959,0.6193771622021945,0.0,1596
cam_shift_js_divergence,0.6599146140172677,0.641469485280011,0.6193771622021945,0.0,1596
csi_permutation_gap,0.632689499746064,0.5646710521664512,0.6193771622021945,0.0,1596
