bootstrap_id,slope,intercept,r,r_squared,n
0,1.0232337747292308,-0.07229396817714273,0.9166364774221386,0.8402224317408669,1580
1,1.0023755522870883,-0.06111679663767072,0.9153368883255117,0.8378416191294303,1610
2,1.0054119387922325,-0.06420837912483857,0.89946811678701,0.8090428931163702,1591
3,1.031863817882581,-0.06717839673508619,0.9104754499486615,0.8289655449592176,1593
4,1.0574543831498593,-0.07505568430215415,0.9011319667966762,0.8120388215828459,1579
5,1.0509002298716537,-0.07694831357025045,0.924945393533938,0.8555239810196514,1591
6,1.0306559873987446,-0.06719444092785454,0.8999381600300027,0.8098886918781868,1572
7,1.0477307885751763,-0.06488646207274829,0.9077863331990507,0.8240760267429779,1589
8,1.0300715798855313,-0.06924160425105036,0.9168695271655659,0.8406497298448085,1592
9,1.0337183150909133,-0.06990739969588189,0.9032411003448103,0.8158444853521037,1562
10,1.0330788822138521,-0.07679028024408396,0.9163987804268655,0.8397867247678464,1586
11,1.0428646961413715,-0.06776648021673054,0.9090672599069654,0.8264032830347581,1589
12,1.0636659595747802,-0.07306785437044794,0.9093693892721878,0.8269526861452718,1608
13,1.062100691077989,-0.06792808541014761,0.9046541239848961,0.8183990840428798,1620
14,1.071051022846574,-0.07163447015191277,0.8930659945335366,0.7975668705921749,1585
15,1.0465260409586155,-0.07238806165046968,0.8991480606528045,0.8084672349756994,1578
16,1.0236603148788566,-0.07086110275267166,0.9051054449405617,0.8192158664610522,1579
17,1.0600613314618783,-0.07363438241460457,0.9039378923199131,0.8171037131717668,1568
18,1.05163292088633,-0.07072003720649617,0.9033034634347324,0.815957147053183,1564
19,1.0430880250140409,-0.06630697735541796,0.9014997212787529,0.8127017474656691,1607
20,1.0574136399893002,-0.08307737670167148,0.9166364422232449,0.8402223672116882,1605
21,1.01459389180539,-0.06678776862108407,0.9026915107851903,0.8148519636436493,1641
22,1.072145188744105,-0.07370210309897968,0.8914592328684099,0.7946995638663339,1579
23,1.0320498641103164,-0.0715462434697981,0.919956647188309,0.8463202327059549,1588
24,1.0535242111183643,-0.07194946300682209,0.9015017111362021,0.8127053351815005,1614
25,1.0531096358032819,-0.07824024894023524,0.9162730865778299,0.8395563691868634,1569
26,1.020330779432456,-0.06492534904279212,0.8970737396140204,0.8047412943050832,1590
27,1.0234141017701737,-0.06653847501614046,0.9113777900699324,0.8306094762327537,1607
28,1.026154660327606,-0.06467015433030279,0.9029109974333237,0.8152482692860394,1553
29,1.0612168846700707,-0.07147648545817448,0.9070423937494222,0.8227259040586818,1600
30,1.0552253104569664,-0.07100582513565035,0.9034544346464044,0.8162299154822542,1573
31,1.0061320661038202,-0.06681164834120931,0.9083593545484181,0.8251167169956187,1586
