backbone,dataset,blur_tag,blur_radius,n_test,acc_clean,acc_blur,acc_deblur,drift_blur,drift_deblur,drift_reduction_pct,acc_recovery_pct
efficientnet_b3,WRD25,blur_6,6,75,0.9066666666666666,0.3733333333333333,0.1733333333333333,0.6194890141487122,0.7826632261276245,-26.34013005107809,-37.50000000000002
efficientnet_b3,WRD25,blur_8,8,75,0.9066666666666666,0.2533333333333333,0.08,0.7202565670013428,0.819927990436554,-13.838322064896266,-26.53061224489796
efficientnet_b3,WRD25,blur_10,10,75,0.9066666666666666,0.2,0.08,0.7825497388839722,0.8497819304466248,-8.591427256564586,-16.981132075471717
efficientnet_b3,WRD25,blur_12,12,75,0.9066666666666666,0.1733333333333333,0.0266666666666666,0.8160030841827393,0.8629845976829529,-5.757516657828266,-20.00000000000001
efficientnet_b3,DTSR14,blur_2,2,42,0.9523809523809524,0.8571428571428571,0.4047619047619047,0.0843322426080703,0.5110218524932861,-505.9626030203336,-475.0
efficientnet_b3,DTSR14,blur_4,4,42,0.9523809523809524,0.5952380952380952,0.3095238095238095,0.2804762423038482,0.7238177061080933,-158.0673857302894,-80.0
efficientnet_b3,DTSR14,blur_6,6,42,0.9523809523809524,0.4047619047619047,0.238095238095238,0.4458577632904053,0.7420856952667236,-66.44000763610637,-30.43478260869565
efficientnet_b3,DTSR14,blur_8,8,42,0.9523809523809524,0.3095238095238095,0.1666666666666666,0.5444773435592651,0.7620518803596497,-39.96025534838476,-22.222222222222232
efficientnet_b3,DTSR14,blur_10,10,42,0.9523809523809524,0.2142857142857142,0.1666666666666666,0.6201087236404419,0.7742727994918823,-24.860813914436964,-6.451612903225815
efficientnet_b3,DTSR14,blur_12,12,42,0.9523809523809524,0.1904761904761904,0.119047619047619,0.6812320947647095,0.783105194568634,-14.954242553576467,-9.374999999999996
efficientnet_b3,PCA11,blur_2,2,33,0.8787878787878788,0.7878787878787878,0.4848484848484848,0.2816453874111175,0.4404693841934204,-56.391478036339215,-333.33333333333314
efficientnet_b3,PCA11,blur_4,4,33,0.8787878787878788,0.696969696969697,0.303030303030303,0.4608941376209259,0.6779702305793762,-47.09890520173855,-216.66666666666669
efficientnet_b3,PCA11,blur_6,6,33,0.8787878787878788,0.6060606060606061,0.2121212121212121,0.5922520160675049,0.775306224822998,-30.90816135518712,-144.44444444444443
efficientnet_b3,PCA11,blur_8,8,33,0.8787878787878788,0.3333333333333333,0.1212121212121212,0.6760538816452026,0.8256336450576782,-22.12542039526015,-38.8888888888889
efficientnet_b3,PCA11,blur_10,10,33,0.8787878787878788,0.3636363636363636,0.1515151515151515,0.722652792930603,0.8626621961593628,-19.374366860325,-41.1764705882353
efficientnet_b3,PCA11,blur_12,12,33,0.8787878787878788,0.3939393939393939,0.1515151515151515,0.766484797000885,0.8828655481338501,-15.183699870935694,-50.0
convnext_tiny,WRD25,blur_2,2,75,0.9333333333333332,0.8933333333333333,0.84,0.2674795687198639,0.3471797108650207,-29.796721494129606,-133.33333333333323
convnext_tiny,WRD25,blur_4,4,75,0.9333333333333332,0.6133333333333333,0.4666666666666667,0.4583181142807007,0.5570055842399597,-21.53252661945128,-45.83333333333331
convnext_tiny,WRD25,blur_6,6,75,0.9333333333333332,0.4,0.32,0.5869397521018982,0.701694667339325,-19.551396003844744,-14.999999999999996
convnext_tiny,WRD25,blur_8,8,75,0.9333333333333332,0.2666666666666666,0.16,0.6642744541168213,0.7917864918708801,-19.195685904193176,-15.999999999999984
convnext_tiny,WRD25,blur_10,10,75,0.9333333333333332,0.2266666666666666,0.1333333333333333,0.7226002216339111,0.8260377645492554,-14.314629281659494,-13.207547169811326
convnext_tiny,WRD25,blur_12,12,75,0.9333333333333332,0.2,0.0933333333333333,0.75694340467453,0.8291926980018616,-9.54487388107929,-14.54545454545453
convnext_tiny,DTSR14,blur_2,2,42,0.9285714285714286,0.7380952380952381,0.5,0.2130414843559265,0.4214833080768585,-97.84095541349596,-125.00000000000004
convnext_tiny,DTSR14,blur_4,4,42,0.9285714285714286,0.4523809523809524,0.3571428571428571,0.3604187667369842,0.5900206565856934,-63.70419940320732,-19.999999999999982
convnext_tiny,DTSR14,blur_6,6,42,0.9285714285714286,0.3571428571428571,0.0952380952380952,0.4555442333221435,0.6627286076545715,-45.48062716577406,-45.83333333333335
convnext_tiny,DTSR14,blur_8,8,42,0.9285714285714286,0.3571428571428571,0.1904761904761904,0.5282338261604309,0.6889040470123291,-30.4164960467906,-29.16666666666668
convnext_tiny,DTSR14,blur_10,10,42,0.9285714285714286,0.3333333333333333,0.119047619047619,0.5765268802642822,0.7149680256843567,-24.012955884487557,-35.99999999999998
convnext_tiny,DTSR14,blur_12,12,42,0.9285714285714286,0.3333333333333333,0.1428571428571428,0.6032357215881348,0.7235339283943176,-19.94215569487075,-32.0
convnext_tiny,PCA11,blur_2,2,33,0.8787878787878788,0.7575757575757576,0.7878787878787878,0.3611884713172912,0.3988587558269501,-10.429536793428491,24.99999999999998
convnext_tiny,PCA11,blur_4,4,33,0.8787878787878788,0.6666666666666666,0.6666666666666666,0.5218220353126526,0.5790652632713318,-10.969875567707984,0.0
convnext_tiny,PCA11,blur_6,6,33,0.8787878787878788,0.5757575757575758,0.3333333333333333,0.6285779476165771,0.7404689192771912,-17.80065178628662,-80.00000000000001
convnext_tiny,PCA11,blur_8,8,33,0.8787878787878788,0.5151515151515151,0.2727272727272727,0.6838027238845825,0.8050020337104797,-17.724309306254558,-66.66666666666666
convnext_tiny,PCA11,blur_10,10,33,0.8787878787878788,0.3939393939393939,0.2424242424242424,0.7276326417922974,0.8468795418739319,-16.388338459900144,-31.249999999999996
convnext_tiny,PCA11,blur_12,12,33,0.8787878787878788,0.3636363636363636,0.1515151515151515,0.7626724243164062,0.8710414171218872,-14.209113814835192,-41.1764705882353
swin_tiny,WRD25,blur_2,2,75,0.9733333333333334,0.9066666666666666,0.8133333333333334,0.2481991350650787,0.4723248779773712,-90.30077516326794,-139.99999999999972
swin_tiny,WRD25,blur_4,4,75,0.9733333333333334,0.7466666666666667,0.6133333333333333,0.4493720531463623,0.5697194933891296,-26.781247164823064,-58.82352941176474
swin_tiny,WRD25,blur_6,6,75,0.9733333333333334,0.44,0.1733333333333333,0.5968878269195557,0.8109323382377625,-35.86008989710125,-49.99999999999998
swin_tiny,WRD25,blur_8,8,75,0.9733333333333334,0.4,0.12,0.6944165825843811,0.8576967120170593,-23.51328201653904,-48.83720930232558
swin_tiny,WRD25,blur_10,10,75,0.9733333333333334,0.3333333333333333,0.1066666666666666,0.7599281072616577,0.879042387008667,-15.674414277980636,-35.41666666666664
swin_tiny,WRD25,blur_12,12,75,0.9733333333333334,0.28,0.08,0.7994859218597412,0.8885068893432617,-11.134776116687895,-28.84615384615385
swin_tiny,DTSR14,blur_2,2,42,0.9523809523809524,0.8333333333333334,0.3809523809523809,0.143541932106018,0.5115543603897095,-256.37973718500774,-380.00000000000034
swin_tiny,DTSR14,blur_4,4,42,0.9523809523809524,0.5,0.4285714285714285,0.3591998517513275,0.5460059642791748,-52.00617751289395,-15.78947368421052
swin_tiny,DTSR14,blur_6,6,42,0.9523809523809524,0.3571428571428571,0.2619047619047619,0.4957703053951263,0.6968632340431213,-40.56171304728003,-16.00000000000002
swin_tiny,DTSR14,blur_8,8,42,0.9523809523809524,0.3095238095238095,0.2142857142857142,0.5767117738723755,0.716162383556366,-24.180295253491817,-14.814814814814817
swin_tiny,DTSR14,blur_10,10,42,0.9523809523809524,0.238095238095238,0.2142857142857142,0.6272940635681152,0.7237629294395447,-15.378571466578894,-3.333333333333337
swin_tiny,DTSR14,blur_12,12,42,0.9523809523809524,0.1428571428571428,0.238095238095238,0.6631543040275574,0.7230437994003296,-9.031004550380406,11.764705882352953
swin_tiny,PCA11,blur_2,2,33,0.9090909090909092,0.8787878787878788,0.696969696969697,0.3975485861301422,0.5387263894081116,-35.51208788144278,-600.0000000000003
swin_tiny,PCA11,blur_4,4,33,0.9090909090909092,0.7272727272727273,0.7575757575757576,0.5430294275283813,0.6019031405448914,-10.841716863204985,16.666666666666657
swin_tiny,PCA11,blur_6,6,33,0.9090909090909092,0.6363636363636364,0.2727272727272727,0.6421908736228943,0.7965670228004456,-24.03898210303805,-133.33333333333334
swin_tiny,PCA11,blur_8,8,33,0.9090909090909092,0.5454545454545454,0.2727272727272727,0.7252801060676575,0.8644396066665649,-19.18700091657085,-74.99999999999999
swin_tiny,PCA11,blur_10,10,33,0.9090909090909092,0.3939393939393939,0.2121212121212121,0.7833701968193054,0.8940223455429077,-14.125141494133924,-35.29411764705881
swin_tiny,PCA11,blur_12,12,33,0.9090909090909092,0.303030303030303,0.1818181818181818,0.8218767046928406,0.9030962586402892,-9.882206599078977,-20.000000000000025
dinov2_b,WRD25,blur_2,2,75,0.9866666666666668,0.9333333333333332,0.72,0.1043568924069404,0.3197209537029266,-206.37262793929557,-400.0
dinov2_b,WRD25,blur_4,4,75,0.9866666666666668,0.7066666666666667,0.4,0.2804635763168335,0.518958568572998,-85.03599482976786,-109.52380952380952
dinov2_b,WRD25,blur_6,6,75,0.9866666666666668,0.5466666666666666,0.1733333333333333,0.4439659118652344,0.69670170545578,-56.92684659701159,-84.84848484848483
dinov2_b,WRD25,blur_8,8,75,0.9866666666666668,0.3866666666666666,0.1333333333333333,0.5368165373802185,0.7751725912094116,-44.40177178453229,-42.22222222222221
dinov2_b,WRD25,blur_10,10,75,0.9866666666666668,0.2666666666666666,0.12,0.6076443195343018,0.8449087142944336,-39.04659142407044,-20.370370370370377
dinov2_b,WRD25,blur_12,12,75,0.9866666666666668,0.2266666666666666,0.1466666666666666,0.6622684001922607,0.8839142918586731,-33.46768343500417,-10.526315789473694
dinov2_b,DTSR14,blur_2,2,42,0.9761904761904762,0.9047619047619048,0.5952380952380952,0.0584332607686519,0.4244804978370666,-626.4364374900506,-433.3333333333336
dinov2_b,DTSR14,blur_4,4,42,0.9761904761904762,0.8095238095238095,0.4047619047619047,0.2047927528619766,0.5340163707733154,-160.7594083825927,-242.8571428571429
dinov2_b,DTSR14,blur_6,6,42,0.9761904761904762,0.5952380952380952,0.2142857142857142,0.3348304033279419,0.6445077657699585,-92.48782648292254,-100.0
dinov2_b,DTSR14,blur_8,8,42,0.9761904761904762,0.5476190476190477,0.1666666666666666,0.4128671884536743,0.693522036075592,-67.97702880508959,-88.88888888888893
dinov2_b,DTSR14,blur_10,10,42,0.9761904761904762,0.3333333333333333,0.1904761904761904,0.4522406160831451,0.7239199876785278,-60.07407604128905,-22.222222222222232
dinov2_b,DTSR14,blur_12,12,42,0.9761904761904762,0.238095238095238,0.1428571428571428,0.4935323596000671,0.7559294700622559,-53.16715416083794,-12.903225806451596
dinov2_b,PCA11,blur_2,2,33,0.9393939393939394,0.9696969696969696,0.6666666666666666,0.1007821336388588,0.2722805440425873,-170.1674733522445,0.0
dinov2_b,PCA11,blur_4,4,33,0.9393939393939394,0.7575757575757576,0.3939393939393939,0.2620214819908142,0.4592217803001404,-75.26111859646664,-199.99999999999997
dinov2_b,PCA11,blur_6,6,33,0.9393939393939394,0.6060606060606061,0.3333333333333333,0.4235616326332092,0.6563515663146973,-54.960108694046106,-81.81818181818184
dinov2_b,PCA11,blur_8,8,33,0.9393939393939394,0.5757575757575758,0.2424242424242424,0.5187467932701111,0.7553203105926514,-45.60481537268157,-91.66666666666669
dinov2_b,PCA11,blur_10,10,33,0.9393939393939394,0.4545454545454545,0.2424242424242424,0.5874394774436951,0.8259574174880981,-40.60298110749027,-43.74999999999999
dinov2_b,PCA11,blur_12,12,33,0.9393939393939394,0.3636363636363636,0.2121212121212121,0.6532598733901978,0.8766735196113586,-34.19981164030781,-26.315789473684205
hrnet32,WRD25,blur_2,2,75,0.9866666666666668,0.9466666666666668,0.7066666666666667,0.1040025949478149,0.1999965459108352,-92.29957292045157,-599.9999999999994
hrnet32,WRD25,blur_4,4,75,0.9866666666666668,0.72,0.4,0.2521232366561889,0.320146769285202,-26.980271049659027,-119.99999999999996
hrnet32,WRD25,blur_6,6,75,0.9866666666666668,0.5066666666666667,0.2,0.3673744797706604,0.3669016659259796,0.128700786449823,-63.888888888888886
hrnet32,WRD25,blur_8,8,75,0.9866666666666668,0.3466666666666667,0.16,0.4532414376735687,0.4043510854244232,10.786823133404027,-29.166666666666664
hrnet32,WRD25,blur_10,10,75,0.9866666666666668,0.2266666666666666,0.1866666666666666,0.5105816125869751,0.4311865866184234,15.549918761523571,-5.263157894736847
hrnet32,WRD25,blur_12,12,75,0.9866666666666668,0.1733333333333333,0.0933333333333333,0.5517056584358215,0.4478701651096344,18.820813551301654,-9.836065573770489
hrnet32,DTSR14,blur_2,2,42,0.9523809523809524,0.9047619047619048,0.2857142857142857,0.0341316275298595,0.3472211956977844,-917.3004360662942,-1300.0000000000016
hrnet32,DTSR14,blur_4,4,42,0.9523809523809524,0.5,0.2857142857142857,0.1496227234601974,0.3927540481090545,-162.49625660204933,-47.36842105263159
hrnet32,DTSR14,blur_6,6,42,0.9523809523809524,0.3333333333333333,0.2857142857142857,0.2483710050582885,0.3872169852256775,-55.90265262034272,-7.692307692307683
hrnet32,DTSR14,blur_8,8,42,0.9523809523809524,0.238095238095238,0.2857142857142857,0.3267515301704407,0.3598239421844482,-10.121578312657412,6.66666666666666
hrnet32,DTSR14,blur_10,10,42,0.9523809523809524,0.1904761904761904,0.2619047619047619,0.3902246952056885,0.3585032820701599,8.129012214054807,9.374999999999996
hrnet32,DTSR14,blur_12,12,42,0.9523809523809524,0.2142857142857142,0.2857142857142857,0.4347679615020752,0.368273377418518,15.29426958091063,9.677419354838706
hrnet32,PCA11,blur_2,2,33,0.9696969696969696,0.9393939393939394,0.6363636363636364,0.1564399749040603,0.1922926306724548,-22.917835284991423,-1000.000000000001
hrnet32,PCA11,blur_4,4,33,0.9696969696969696,0.696969696969697,0.5757575757575758,0.251426488161087,0.3047052323818207,-21.19058521256454,-44.44444444444445
hrnet32,PCA11,blur_6,6,33,0.9696969696969696,0.5151515151515151,0.4242424242424242,0.3532231748104095,0.3482716083526611,1.4018237790898451,-19.999999999999982
hrnet32,PCA11,blur_8,8,33,0.9696969696969696,0.3939393939393939,0.3636363636363636,0.4238118827342987,0.3917741477489471,7.559423482573056,-5.263157894736837
hrnet32,PCA11,blur_10,10,33,0.9696969696969696,0.303030303030303,0.2424242424242424,0.4623138308525085,0.4333418011665344,6.266745174495339,-9.09090909090908
hrnet32,PCA11,blur_12,12,33,0.9696969696969696,0.303030303030303,0.3333333333333333,0.4893974661827087,0.4570377767086029,6.612148960743671,4.5454545454545405
mobilenetv3,WRD25,blur_2,2,75,0.96,0.8666666666666667,0.64,0.2263587415218353,0.4609046280384063,-103.61688925273776,-242.85714285714303
mobilenetv3,WRD25,blur_4,4,75,0.96,0.5466666666666666,0.2666666666666666,0.488408088684082,0.6897363066673279,-41.22131116331109,-67.74193548387098
mobilenetv3,WRD25,blur_6,6,75,0.96,0.3466666666666667,0.1866666666666666,0.6409199833869934,0.7755371928215027,-21.003746633567854,-26.086956521739136
mobilenetv3,WRD25,blur_8,8,75,0.96,0.3466666666666667,0.0933333333333333,0.7472728490829468,0.8044514656066895,-7.651638433526961,-41.30434782608695
mobilenetv3,WRD25,blur_10,10,75,0.96,0.2266666666666666,0.1066666666666666,0.8235874176025391,0.8247562050819397,-0.1419141981069808,-16.363636363636363
mobilenetv3,WRD25,blur_12,12,75,0.96,0.1466666666666666,0.1066666666666666,0.8709525465965271,0.837036669254303,3.8941131149750015,-4.9180327868852505
mobilenetv3,DTSR14,blur_2,2,42,0.9761904761904762,0.8571428571428571,0.3095238095238095,0.0908940285444259,0.4856206476688385,-434.271233705395,-459.9999999999999
mobilenetv3,DTSR14,blur_4,4,42,0.9761904761904762,0.4761904761904761,0.3571428571428571,0.2830742299556732,0.7113322615623474,-151.2882439612166,-23.809523809523814
mobilenetv3,DTSR14,blur_6,6,42,0.9761904761904762,0.2857142857142857,0.2142857142857142,0.4386688470840454,0.7403068542480469,-68.7621218532097,-10.344827586206891
mobilenetv3,DTSR14,blur_8,8,42,0.9761904761904762,0.238095238095238,0.2142857142857142,0.5360116362571716,0.6965582370758057,-29.95207379072752,-3.2258064516128915
mobilenetv3,DTSR14,blur_10,10,42,0.9761904761904762,0.0952380952380952,0.2857142857142857,0.6090919971466064,0.6979426145553589,-14.587388740122684,21.62162162162162
mobilenetv3,DTSR14,blur_12,12,42,0.9761904761904762,0.119047619047619,0.2142857142857142,0.68195641040802,0.6909573674201965,-1.3198727770285448,11.11111111111111
mobilenetv3,PCA11,blur_2,2,33,0.8787878787878788,0.8787878787878788,0.6666666666666666,0.2675729095935821,0.4824999868869781,-80.32467771862623,0.0
mobilenetv3,PCA11,blur_4,4,33,0.8787878787878788,0.7272727272727273,0.3939393939393939,0.4883545339107513,0.6910921335220337,-41.51442968856176,-220.00000000000009
mobilenetv3,PCA11,blur_6,6,33,0.8787878787878788,0.6666666666666666,0.303030303030303,0.6153925061225891,0.7805254459381104,-26.833758645514926,-171.42857142857136
mobilenetv3,PCA11,blur_8,8,33,0.8787878787878788,0.4545454545454545,0.1818181818181818,0.6993802785873413,0.843949556350708,-20.671054387661336,-64.28571428571429
mobilenetv3,PCA11,blur_10,10,33,0.8787878787878788,0.3939393939393939,0.1515151515151515,0.7557289600372314,0.8766114115715027,-15.9954769403459,-50.0
mobilenetv3,PCA11,blur_12,12,33,0.8787878787878788,0.3636363636363636,0.1818181818181818,0.8012231588363647,0.8864552974700928,-10.637752752617969,-35.29411764705884
