backbone,dataset,blur_tag,blur_radius,n_test,acc_clean,acc_blur,acc_deblur,drift_blur,drift_deblur,drift_reduction_pct,acc_recovery_pct
resnet50,WRD25,blur_2,2,75,0.9466666666666668,0.8266666666666667,0.68,0.2500812411308288,0.3785560727119446,-51.37323815259885,-122.2222222222222
resnet50,WRD25,blur_4,4,75,0.9466666666666668,0.5466666666666666,0.3066666666666666,0.4272301793098449,0.5915960073471069,-38.472429148797815,-60.0
resnet50,WRD25,blur_6,6,75,0.9466666666666668,0.32,0.1066666666666666,0.5318893790245056,0.6749799847602844,-26.902324313790487,-34.04255319148935
resnet50,WRD25,blur_8,8,75,0.9466666666666668,0.28,0.0666666666666666,0.6057162880897522,0.6973667144775391,-15.130916600711677,-32.00000000000001
resnet50,WRD25,blur_10,10,75,0.9466666666666668,0.2,0.0933333333333333,0.6621414422988892,0.71324223279953,-7.717503728995426,-14.28571428571429
resnet50,WRD25,blur_12,12,75,0.9466666666666668,0.2,0.08,0.697872519493103,0.7251359820365906,-3.906653691320338,-16.071428571428587
resnet50,DTSR14,blur_2,2,42,0.9761904761904762,0.7142857142857143,0.3571428571428571,0.0986860245466232,0.4170747101306915,-322.62793748840164,-136.36363636363643
resnet50,DTSR14,blur_4,4,42,0.9761904761904762,0.4047619047619047,0.4047619047619047,0.2212759852409362,0.5500145554542542,-148.56495604589492,0.0
resnet50,DTSR14,blur_6,6,42,0.9761904761904762,0.2619047619047619,0.2619047619047619,0.3178820013999939,0.551574170589447,-73.51538248791762,0.0
resnet50,DTSR14,blur_8,8,42,0.9761904761904762,0.2142857142857142,0.3095238095238095,0.3850833475589752,0.5361911654472351,-39.24028884814808,12.5
resnet50,DTSR14,blur_10,10,42,0.9761904761904762,0.1666666666666666,0.3095238095238095,0.4235127866268158,0.531464695930481,-25.48964581765709,17.64705882352942
resnet50,DTSR14,blur_12,12,42,0.9761904761904762,0.1666666666666666,0.2142857142857142,0.4532158672809601,0.5383483171463013,-18.78408414429264,5.882352941176476
resnet50,PCA11,blur_2,2,33,0.8787878787878788,0.7878787878787878,0.6363636363636364,0.3389230668544769,0.4403940141201019,-29.93922727283519,-166.66666666666657
resnet50,PCA11,blur_4,4,33,0.8787878787878788,0.5454545454545454,0.2727272727272727,0.4658460915088653,0.5877370834350586,-26.16550705220923,-81.8181818181818
resnet50,PCA11,blur_6,6,33,0.8787878787878788,0.3939393939393939,0.2121212121212121,0.5418044328689575,0.7039384841918945,-29.924829234859963,-37.49999999999999
resnet50,PCA11,blur_8,8,33,0.8787878787878788,0.3636363636363636,0.2424242424242424,0.5995925068855286,0.7327795028686523,-22.21291868287994,-23.529411764705884
resnet50,PCA11,blur_10,10,33,0.8787878787878788,0.3636363636363636,0.2121212121212121,0.6460240483283997,0.755068838596344,-16.87937013337196,-29.411764705882348
resnet50,PCA11,blur_12,12,33,0.8787878787878788,0.2424242424242424,0.2727272727272727,0.6888481378555298,0.76303631067276,-10.76988798259472,4.761904761904757
efficientnet_b3,WRD25,blur_2,2,75,0.9066666666666666,0.72,0.5733333333333334,0.2532005310058594,0.4301977157592773,-69.90395480225988,-78.57142857142854
efficientnet_b3,WRD25,blur_4,4,75,0.9066666666666666,0.4933333333333333,0.2933333333333333,0.4693979918956756,0.6878096461296082,-46.53016374268486,-48.38709677419356
