backbone,train_mag,test_mag,accuracy,accuracy_std,protocol,n_train,n_test
dinov2_b,VN26_x20,VN26_x10,0.5684615384615385,0.0,cross_gallery_query,2600,2600
dinov2_b,VN26_x20,VN26_x20,0.9992307692307693,0.0009421114395319882,within_cv,2600,2600
dinov2_b,VN26_x20,VN26_x50,0.1673076923076923,0.0,cross_gallery_query,2600,2600
dinov2_b,VN26_x50,VN26_x10,0.5223076923076924,0.0,cross_gallery_query,2600,2600
dinov2_b,VN26_x50,VN26_x20,0.2734615384615385,0.0,cross_gallery_query,2600,2600
dinov2_b,VN26_x50,VN26_x50,0.9957692307692309,0.0014390989949130493,within_cv,2600,2600
hrnet32,VN26_x10,VN26_x10,0.9969230769230769,0.0009421114395319882,within_cv,2600,2600
hrnet32,VN26_x10,VN26_x20,0.5869230769230769,0.0,cross_gallery_query,2600,2600
hrnet32,VN26_x10,VN26_x50,0.15423076923076923,0.0,cross_gallery_query,2600,2600
hrnet32,VN26_x20,VN26_x10,0.5415384615384615,0.0,cross_gallery_query,2600,2600
hrnet32,VN26_x20,VN26_x20,1.0,0.0,within_cv,2600,2600
hrnet32,VN26_x20,VN26_x50,0.10115384615384615,0.0,cross_gallery_query,2600,2600
hrnet32,VN26_x50,VN26_x10,0.27115384615384613,0.0,cross_gallery_query,2600,2600
hrnet32,VN26_x50,VN26_x20,0.12538461538461537,0.0,cross_gallery_query,2600,2600
hrnet32,VN26_x50,VN26_x50,0.9973076923076925,0.0015384615384615328,within_cv,2600,2600
mobilenetv3,VN26_x10,VN26_x10,0.9946153846153847,0.002242673805709723,within_cv,2600,2600
mobilenetv3,VN26_x10,VN26_x20,0.615,0.0,cross_gallery_query,2600,2600
mobilenetv3,VN26_x10,VN26_x50,0.19846153846153847,0.0,cross_gallery_query,2600,2600
mobilenetv3,VN26_x20,VN26_x10,0.5626923076923077,0.0,cross_gallery_query,2600,2600
mobilenetv3,VN26_x20,VN26_x20,1.0,0.0,within_cv,2600,2600
mobilenetv3,VN26_x20,VN26_x50,0.14846153846153845,0.0,cross_gallery_query,2600,2600
mobilenetv3,VN26_x50,VN26_x10,0.15884615384615386,0.0,cross_gallery_query,2600,2600
mobilenetv3,VN26_x50,VN26_x20,0.1473076923076923,0.0,cross_gallery_query,2600,2600
mobilenetv3,VN26_x50,VN26_x50,0.9915384615384616,0.001538461538461533,within_cv,2600,2600
