mag_pair,ratio,mean_bidirectional_accuracy,mean_abs_asymmetry
x10<->x20,2.0,0.5782967032967034,0.08208791208791208
x20<->x50,2.5,0.16947802197802192,0.030604395604395606
x10<->x50,5.0,0.2423901098901098,0.09258241758241759
