pair,acc_a_to_b,acc_b_to_a,signed_asymmetry,n_backbones,n_species
BFS46<->FSDM41,0.007863695937090433,0.013130252100840336,-0.005266556163749903,7,24
DTSR14<->WOODAUTH,0.3156541149068323,0.3235119047619048,-0.007857789855072461,7,4
