backbone,seed,mean_sgi,std_sgi,n_images
resnet50,0,0.08884682905420233,0.06516821837506794,465
resnet50,1,0.09040761465876675,0.06455127412935367,465
resnet50,2,0.09101108185209568,0.06475110069708019,465
resnet50,3,0.0897822032038622,0.0655529827658106,465
resnet50,4,0.09081084046521835,0.06642392094572737,465
resnet50,5,0.0914252797893351,0.0638875363716221,465
resnet50,6,0.08980963353083168,0.0650096344100091,465
resnet50,7,0.09294766293614219,0.06528706464686626,465
resnet50,8,0.0918943383805135,0.06396165646255753,465
resnet50,9,0.09004004827737547,0.06511809239311948,465
efficientnet_b3,0,0.18274062551479353,0.07639631381290074,465
efficientnet_b3,1,0.18401366622960505,0.07583188112325014,465
efficientnet_b3,2,0.18412122198535388,0.07560605077178353,465
efficientnet_b3,3,0.18357023713783607,0.0764167584057991,465
efficientnet_b3,4,0.184187974179932,0.07635665431089148,465
efficientnet_b3,5,0.18370733558368393,0.07551085432936039,465
efficientnet_b3,6,0.1836611371382616,0.07586950243109658,465
efficientnet_b3,7,0.18349786970457918,0.07517278098588846,465
efficientnet_b3,8,0.18305640100736925,0.07678680343791541,465
efficientnet_b3,9,0.18379419322013496,0.07625012746283323,465
convnext_tiny,0,0.17421549264867237,0.05786057851920088,465
convnext_tiny,1,0.17428132543339916,0.05687115236493259,465
convnext_tiny,2,0.17428132543339914,0.05743435617559419,465
convnext_tiny,3,0.17482993197278912,0.057024850197848746,465
convnext_tiny,4,0.17442396313364056,0.057080675290651896,465
convnext_tiny,5,0.17423743691024796,0.057401811425890355,465
convnext_tiny,6,0.17442396313364056,0.05713654908354792,465
convnext_tiny,7,0.17407285494843097,0.057459824326426,465
convnext_tiny,8,0.17493965328066713,0.0580515044442488,465
convnext_tiny,9,0.17458854509545751,0.05763644323977416,465
swin_tiny,0,0.04500768049155146,0.01668029499654369,465
swin_tiny,1,0.0445139346061005,0.01542228902441656,465
swin_tiny,2,0.04467851656791749,0.015771826418574497,465
swin_tiny,3,0.04443712969058591,0.016206435169674314,465
swin_tiny,4,0.044832126398946674,0.016810235396608832,465
swin_tiny,5,0.04448101821373711,0.015633781000797976,465
swin_tiny,6,0.04475532148343208,0.016575341996659988,465
swin_tiny,7,0.0445468509984639,0.015273899681317996,465
swin_tiny,8,0.043307000219442615,0.014013889621950056,465
swin_tiny,9,0.044470046082949306,0.01620077375078496,465
dinov2_b,0,0.10459509408602151,0.08068364319743776,465
dinov2_b,1,0.10466229838709677,0.0828379712372653,465
dinov2_b,2,0.1067288306451613,0.08403190525328774,465
dinov2_b,3,0.10641801075268817,0.08246384506243368,465
dinov2_b,4,0.10310819892473118,0.07833121126074855,465
dinov2_b,5,0.10806451612903226,0.0850797369229602,465
dinov2_b,6,0.10661962365591397,0.0804127071682027,465
dinov2_b,7,0.10971102150537634,0.08764317187671324,465
dinov2_b,8,0.10816532258064517,0.08583040401350647,465
dinov2_b,9,0.10806451612903226,0.08643240629434301,465
hrnet32,0,0.07713133640552995,0.059797245460408016,465
hrnet32,1,0.07857691463682247,0.06067551334280882,465
hrnet32,2,0.07881830151415405,0.06067040959294488,465
hrnet32,3,0.07906517445687952,0.06121191405904942,465
hrnet32,4,0.07856868553873161,0.06053651776614034,465
hrnet32,5,0.07777320605661621,0.060109689453360905,465
hrnet32,6,0.07726848804037745,0.05990806482214078,465
hrnet32,7,0.07783355277594908,0.059103497333179066,465
hrnet32,8,0.07813528637261356,0.060421777513535634,465
hrnet32,9,0.07793778801843318,0.06026255901550433,465
mobilenetv3,0,0.13810895325872283,0.0941726492225942,465
mobilenetv3,1,0.1428790871187185,0.09507596883656137,465
mobilenetv3,2,0.14898507790212862,0.09896949567831015,465
mobilenetv3,3,0.14025126179504058,0.09496792385872861,465
mobilenetv3,4,0.14554257186745667,0.10028114065862996,465
mobilenetv3,5,0.15131116962914198,0.10040385593835488,465
mobilenetv3,6,0.1404542462146149,0.09602208925870157,465
mobilenetv3,7,0.14896861970594688,0.10020258967138672,465
mobilenetv3,8,0.15075159095896423,0.0996829104714633,465
mobilenetv3,9,0.13915130568356374,0.09671799575400845,465
