backbone,n,slope,intercept,r,r_squared,p,se
convnext_tiny,228,1.0411171099242005,-0.09792027432946177,0.9536514894561222,0.9094511633418804,7.457464052690044e-120,0.021852297797479433
dinov2_b,228,1.1177368827840752,-0.09092616546107635,0.9646730293292938,0.9305940535153565,6.57216261682712e-133,0.02030502676613357
efficientnet_b3,228,0.9612856032562489,-0.08815135417486245,0.9509591519724954,0.9043233087202476,3.7769131242174494e-117,0.020798855139523755
hrnet32,228,1.70695815236597,-0.07949977589849627,0.9607015510696927,0.9229474702277133,8.883374659179825e-128,0.032807535968923426
mobilenetv3,228,1.0036127456928285,-0.09491988373042032,0.9262106547503334,0.8578661769730412,1.0284686904776351e-97,0.02717383254009447
resnet50,228,1.2594630919004037,-0.09453375063670372,0.9301573595915421,0.8651927136023094,2.5891853697513915e-100,0.03306979344423602
swin_tiny,228,1.002602079641326,-0.12159564922124244,0.945329714707715,0.8936482695093698,5.898357653519189e-112,0.02300717800518684
