magnification,backbone,image_idx,sgi
VN26_x10,resnet50,0,0.021783322704081634
VN26_x10,resnet50,1,0.0034080038265306123
VN26_x10,resnet50,2,0.014508928571428572
VN26_x10,resnet50,3,0.012615593112244899
VN26_x10,resnet50,4,0.0030293367346938774
VN26_x10,resnet50,5,0.008410395408163265
VN26_x10,resnet50,6,0.006357621173469388
VN26_x10,resnet50,7,0.007932079081632654
VN26_x10,resnet50,8,0.009984853316326531
VN26_x10,resnet50,9,0.00763313137755102
VN26_x10,resnet50,10,0.012555803571428572
VN26_x10,resnet50,11,0.007314253826530612
VN26_x10,resnet50,12,0.008191167091836735
VN26_x10,resnet50,13,0.00466358418367347
VN26_x10,resnet50,14,0.011778539540816327
VN26_x10,resnet50,15,0.011479591836734694
VN26_x10,resnet50,16,0.013333067602040817
VN26_x10,resnet50,17,0.01034359056122449
VN26_x10,resnet50,18,0.010522959183673469
VN26_x10,resnet50,19,0.02268016581632653
VN26_x10,resnet50,20,0.010064572704081632
VN26_x10,resnet50,21,0.00045838647959183676
VN26_x10,resnet50,22,0.0028300382653061226
VN26_x10,resnet50,23,0.0018933354591836734
VN26_x10,resnet50,24,0.0018734056122448979
VN26_x10,resnet50,25,0.0006776147959183673
VN26_x10,resnet50,26,0.0006776147959183673
VN26_x10,resnet50,27,0.0062380420918367345
VN26_x10,resnet50,28,0.0015345982142857143
VN26_x10,resnet50,29,0.00047831632653061223
VN26_x10,resnet50,30,0.0074936224489795915
VN26_x10,resnet50,31,0.008948501275510204
VN26_x10,resnet50,32,0.009466677295918368
VN26_x10,resnet50,33,0.004962531887755102
VN26_x10,resnet50,34,0.004902742346938775
VN26_x10,resnet50,35,0.011399872448979591
VN26_x10,resnet50,36,0.011658960459183673
VN26_x10,resnet50,37,0.004065688775510204
VN26_x10,resnet50,38,0.00029894770408163266
VN26_x10,resnet50,39,0.007334183673469388
VN26_x10,resnet50,40,0.003009406887755102
VN26_x10,resnet50,41,0.0049824617346938774
VN26_x10,resnet50,42,0.004065688775510204
VN26_x10,resnet50,43,0.004185267857142857
VN26_x10,resnet50,44,0.0016741071428571428
VN26_x10,resnet50,45,0.0011957908163265306
VN26_x10,resnet50,46,0.0012755102040816326
VN26_x10,resnet50,47,0.0013153698979591836
VN26_x10,resnet50,48,0.000896843112244898
VN26_x10,resnet50,49,0.0012555803571428572
VN26_x10,resnet50,50,0.0024115114795918366
VN26_x10,resnet50,51,0.000896843112244898
VN26_x10,resnet50,52,0.0024115114795918366
VN26_x10,resnet50,53,0.00390625
VN26_x10,resnet50,54,0.001096141581632653
VN26_x10,resnet50,55,0.0005181760204081633
VN26_x10,resnet50,56,0.0005779655612244898
VN26_x10,resnet50,57,0.0008370535714285714
VN26_x10,resnet50,58,0.0009765625
VN26_x10,resnet50,59,0.00047831632653061223
VN26_x10,resnet50,60,0.000896843112244898
VN26_x10,resnet50,61,0.00253109056122449
VN26_x10,resnet50,62,0.004623724489795918
VN26_x10,resnet50,63,0.005361128826530612
VN26_x10,resnet50,64,0.000896843112244898
VN26_x10,resnet50,65,0.0017338966836734694
