backbone,magnification,image_idx,sgi,species_label
resnet50,VN26_x20,5,7.971938775510203e-05,1
resnet50,VN26_x20,6,0.0001992984693877551,1
resnet50,VN26_x20,7,0.0001793686224489796,1
resnet50,VN26_x20,8,0.00015943877551020407,1
resnet50,VN26_x20,9,7.971938775510203e-05,1
resnet50,VN26_x20,10,0.00015943877551020407,2
resnet50,VN26_x20,11,0.0001992984693877551,2
resnet50,VN26_x20,12,0.00011957908163265306,2
resnet50,VN26_x20,13,0.0002192283163265306,2
resnet50,VN26_x20,14,0.00011957908163265306,2
resnet50,VN26_x20,15,9.964923469387755e-05,2
resnet50,VN26_x20,16,0.00011957908163265306,2
resnet50,VN26_x20,17,0.00011957908163265306,2
resnet50,VN26_x20,18,0.00015943877551020407,2
resnet50,VN26_x20,19,0.00011957908163265306,2
resnet50,VN26_x20,20,0.00015943877551020407,2
resnet50,VN26_x20,21,0.0001793686224489796,3
resnet50,VN26_x20,22,0.00015943877551020407,3
resnet50,VN26_x20,23,0.00011957908163265306,3
resnet50,VN26_x20,24,0.0001793686224489796,3
resnet50,VN26_x20,25,0.00023915816326530612,3
resnet50,VN26_x20,26,0.00031887755102040814,3
resnet50,VN26_x20,27,0.0001992984693877551,3
resnet50,VN26_x20,28,0.0001992984693877551,3
resnet50,VN26_x20,29,0.00025908801020408165,3
resnet50,VN26_x20,30,9.964923469387755e-05,4
resnet50,VN26_x20,31,0.00011957908163265306,4
resnet50,VN26_x20,32,0.00011957908163265306,4
resnet50,VN26_x20,33,0.0001793686224489796,4
resnet50,VN26_x20,34,0.00013950892857142856,4
resnet50,VN26_x20,35,9.964923469387755e-05,4
resnet50,VN26_x20,36,0.00015943877551020407,4
resnet50,VN26_x20,37,0.00033880739795918367,4
resnet50,VN26_x20,38,0.00023915816326530612,5
resnet50,VN26_x20,39,0.00013950892857142856,5
resnet50,VN26_x20,40,0.00015943877551020407,5
resnet50,VN26_x20,41,0.0001992984693877551,5
resnet50,VN26_x20,42,0.00023915816326530612,5
resnet50,VN26_x20,43,0.0002192283163265306,5
resnet50,VN26_x20,44,0.0001992984693877551,6
resnet50,VN26_x20,45,0.00013950892857142856,6
resnet50,VN26_x20,46,0.0001793686224489796,6
resnet50,VN26_x20,47,0.00015943877551020407,7
resnet50,VN26_x20,48,0.00011957908163265306,7
resnet50,VN26_x20,49,0.00013950892857142856,7
resnet50,VN26_x20,50,9.964923469387755e-05,7
resnet50,VN26_x20,51,7.971938775510203e-05,7
resnet50,VN26_x20,52,0.00011957908163265306,7
resnet50,VN26_x20,53,0.00015943877551020407,7
resnet50,VN26_x20,54,0.0001992984693877551,8
resnet50,VN26_x20,55,0.00013950892857142856,8
resnet50,VN26_x20,56,9.964923469387755e-05,8
resnet50,VN26_x20,57,0.00011957908163265306,8
resnet50,VN26_x20,58,0.0002192283163265306,8
resnet50,VN26_x20,59,0.00013950892857142856,8
resnet50,VN26_x20,60,0.00023915816326530612,8
resnet50,VN26_x20,61,0.0002192283163265306,8
resnet50,VN26_x20,62,0.0001992984693877551,8
resnet50,VN26_x20,63,0.0002192283163265306,8
resnet50,VN26_x20,64,0.00011957908163265306,9
resnet50,VN26_x20,65,0.00015943877551020407,9
resnet50,VN26_x20,66,0.0002192283163265306,9
resnet50,VN26_x20,67,0.0002192283163265306,9
resnet50,VN26_x20,68,0.00013950892857142856,9
resnet50,VN26_x20,69,7.971938775510203e-05,9
resnet50,VN26_x20,70,7.971938775510203e-05,10
resnet50,VN26_x20,71,9.964923469387755e-05,10
resnet50,VN26_x20,72,7.971938775510203e-05,10
resnet50,VN26_x20,73,0.00025908801020408165,10
resnet50,VN26_x20,74,0.00011957908163265306,10
resnet50,VN26_x20,75,0.00025908801020408165,10
resnet50,VN26_x20,76,0.00013950892857142856,10
resnet50,VN26_x20,77,9.964923469387755e-05,10
resnet50,VN26_x20,78,0.00015943877551020407,10
resnet50,VN26_x20,79,7.971938775510203e-05,10
resnet50,VN26_x20,80,0.00013950892857142856,10
resnet50,VN26_x20,81,0.00013950892857142856,10
resnet50,VN26_x20,82,0.0002192283163265306,11
resnet50,VN26_x20,83,0.00029894770408163266,11
resnet50,VN26_x20,84,0.00011957908163265306,11
resnet50,VN26_x20,85,5.978954081632653e-05,11
resnet50,VN26_x20,86,0.00013950892857142856,11
resnet50,VN26_x20,87,5.978954081632653e-05,11
resnet50,VN26_x20,88,0.00015943877551020407,11
resnet50,VN26_x20,89,0.0001992984693877551,11
resnet50,VN26_x20,90,0.00013950892857142856,11
resnet50,VN26_x20,91,0.0001793686224489796,12
resnet50,VN26_x20,92,0.00011957908163265306,12
resnet50,VN26_x20,93,7.971938775510203e-05,12
resnet50,VN26_x20,94,0.00015943877551020407,12
resnet50,VN26_x20,95,0.0002192283163265306,12
resnet50,VN26_x20,96,0.0001793686224489796,12
resnet50,VN26_x20,97,0.00023915816326530612,12
resnet50,VN26_x20,98,0.00013950892857142856,12
