train_mag,test_mag,mean_accuracy,std_accuracy,n_backbones
VN26_x10,VN26_x10,0.9955494505494507,0.0012920852765169505,7
VN26_x10,VN26_x20,0.6193406593406594,0.06965599972803596,7
VN26_x10,VN26_x50,0.20175824175824175,0.045095153147749596,7
VN26_x20,VN26_x10,0.5372527472527473,0.053630257920935835,7
VN26_x20,VN26_x20,0.9997252747252746,0.000365842204312052,7
VN26_x20,VN26_x50,0.16016483516483518,0.03881749205564415,7
VN26_x50,VN26_x10,0.28302197802197804,0.11774601350710778,7
VN26_x50,VN26_x20,0.17879120879120877,0.051091357905565064,7
VN26_x50,VN26_x50,0.9947252747252747,0.002753107314888402,7
