detector,mean_test_auc,mean_test_ap,mean_test_f1,mean_test_recall,mean_test_fpr,n_families
ref_mmd_rbf,0.9459331496403868,0.8326536784096882,0.6748506000001805,0.7067883436742074,0.1990991542842394,21
paired_feature_drift_oracle,0.9385531564590096,0.8579872807240927,0.6994970104531009,0.7109958890673839,0.1886754184010171,21
ref_centroid_cosine,0.9196080149266396,0.8404964558441063,0.6897150418150192,0.7309116535884838,0.2139493889988683,21
ref_knn1_dist,0.901625930758286,0.8108869273011401,0.6734983953919285,0.7311924758884721,0.2973512992980134,21
ref_knn5_dist,0.8506500186713533,0.7670031437047586,0.6443358715271775,0.6819365553658872,0.2715583238329313,21
ref_mahalanobis_delta,0.8155442132734732,0.7114625010452498,0.6218487276886917,0.6917711490656465,0.3325104115998213,21
ref_mahalanobis,0.81040803991552,0.7168517417279066,0.6295226497949383,0.6948291377746492,0.3584388901874821,21
