metric,rho,p,n
feature_drift,0.9367593173936543,0.0,1596
delta_fgcs,0.41650924898468206,5.37859431724998e-68,1596
inter_collapse,0.6567002561889235,1.419335956305162e-197,1596
csi,-0.6194448876622528,5.0324182771798385e-68,630
csi_hungarian,-0.6436209563553701,5.692850690880507e-75,630
csi_permutation_gap,0.15677574287913762,7.760233762829135e-05,630
cam_shift_jsd,0.5947725430005362,1.5560977929352275e-61,630
cam_shift_js_distance,0.5947725430005362,1.5560977929352275e-61,630
cam_shift_js_divergence,0.49694712413751174,1.336318995592725e-40,630
