dataset,backbone,perturbation,severity,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap,csi_c0,csi_c1,csi_c2
WRD25,resnet50,gaussian_blur,4,0,0.5505759196768855,0.5505759196768855,0.5505759196768855,0.0,0.640525632706035,0.3983646685068486,0.6128374578177728
WRD25,resnet50,gaussian_blur,4,1,0.4620507645723313,0.4620507645723313,0.4620507645723313,0.0,0.6524097262667443,0.2333062989997296,0.5004362684505199
WRD25,resnet50,gaussian_blur,4,2,0.4731590350058521,0.4731590350058521,0.4731590350058521,0.0,0.490566037735849,0.4060815620868504,0.5228295051948569
WRD25,resnet50,gaussian_blur,4,3,0.1942522238919641,0.1942522238919641,0.3509989790252009,0.1567467551332368,0.0,0.1620550094986371,0.4207016621772551
WRD25,resnet50,gaussian_blur,4,4,0.1375474994450764,0.1375474994450764,0.3523504907422268,0.2148029912971503,0.0,0.0940871008324634,0.3185553975027659
WRD25,resnet50,gaussian_blur,4,5,0.2576779432041908,0.2576779432041908,0.4612161075103104,0.2035381643061196,0.0,0.1109644297763109,0.6620693998362617
WRD25,resnet50,gaussian_blur,4,6,0.593830927787466,0.593830927787466,0.593830927787466,0.0,0.7578154604016673,0.3498582677165354,0.6738190552441954
WRD25,resnet50,gaussian_blur,4,7,0.5376071574454301,0.5376071574454301,0.5376071574454301,0.0,0.6532297762949187,0.3458602177018174,0.6137314783395543
WRD25,resnet50,gaussian_blur,4,8,0.3558452241140569,0.3558452241140569,0.4922696897040577,0.1364244655900008,0.8162296013639685,0.0,0.2513060709782021
WRD25,resnet50,gaussian_blur,4,9,0.5089145083740495,0.5089145083740495,0.5089145083740495,0.0,0.6240632999767279,0.1885193195767814,0.7141609055686393
WRD25,resnet50,gaussian_blur,4,10,0.589901798129644,0.589901798129644,0.589901798129644,0.0,0.6147039152132531,0.7337492381054821,0.4212522410701972
WRD25,resnet50,gaussian_blur,4,11,0.6791139044844189,0.6791139044844189,0.6791139044844189,0.0,0.7742592882897006,0.5626257357871992,0.700456689376357
WRD25,resnet50,gaussian_blur,4,12,0.5623899287787554,0.5623899287787554,0.5623899287787554,0.0,0.7199151111754208,0.3193955478524616,0.6478591273083837
WRD25,resnet50,gaussian_blur,4,13,0.4358454825567117,0.4358454825567117,0.4358454825567117,0.0,0.4521076492717276,0.2232859412555505,0.6321428571428571
WRD25,resnet50,gaussian_blur,4,14,0.7193831305921242,0.7193831305921242,0.7193831305921242,0.0,0.8220635083752954,0.5664981138133076,0.7695877695877695
WRD25,resnet50,gaussian_blur,4,15,0.3287136077985911,0.3287136077985911,0.3997003168508148,0.0709867090522237,0.6516805099478462,0.0,0.3344603134479272
WRD25,resnet50,gaussian_blur,4,16,0.5084413119049948,0.5084413119049948,0.5084413119049948,0.0,0.797236518755506,0.054981634527089,0.6731057824323893
WRD25,resnet50,gaussian_blur,4,17,0.2586677217203969,0.2586677217203969,0.3350555262113796,0.0763878044909827,0.0,0.2450930083386786,0.5309101568225121
WRD25,resnet50,gaussian_blur,4,18,0.1889226154169258,0.1889226154169258,0.2127869313022762,0.0238643158853503,0.3874006551049945,0.1700241254523522,0.0093430656934306
WRD25,resnet50,gaussian_blur,4,19,0.1865533040084948,0.1865533040084948,0.2220875576615919,0.035534253653097,0.2621576800681278,0.2564126394052045,0.0410895925521521
WRD25,resnet50,gaussian_blur,4,20,0.1085391478680091,0.1085391478680091,0.2026552036053638,0.0941160557373546,0.0,0.1320047827819848,0.1936126608220426
WRD25,resnet50,gaussian_blur,4,21,0.0578927634086576,0.0578927634086576,0.4913012206889776,0.4334084572803199,0.0005964807634953,0.1328368400836498,0.0402449693788276
WRD25,resnet50,gaussian_blur,4,22,0.7409217806536463,0.7409217806536463,0.7409217806536463,0.0,0.6501172791243158,0.7753933602438422,0.7972547025927809
WRD25,resnet50,gaussian_blur,4,23,0.6324304495926083,0.6324304495926083,0.6324304495926083,0.0,0.6156378600823045,0.6403978833143547,0.6412556053811659
WRD25,resnet50,gaussian_blur,4,24,0.7419776954741337,0.7419776954741337,0.7419776954741337,0.0,0.8633776091081594,0.69870357734672,0.6638518999675219
WRD25,resnet50,gaussian_blur,4,25,0.2630117726539097,0.2630117726539097,0.5051941620709525,0.2421823894170428,0.0010077874484654,0.0645054031587697,0.723522127354494
WRD25,resnet50,gaussian_blur,4,26,0.1567982532961279,0.1567982532961279,0.243394424277775,0.086596170981647,0.1012801560091844,0.3178450726291994,0.05126953125
WRD25,resnet50,gaussian_blur,4,27,0.0745560458351184,0.0745560458351184,0.2531297725621809,0.1785737267270624,0.1506962599370431,0.0390853258601156,0.0338865517081965
WRD25,resnet50,gaussian_blur,4,28,0.3123056144718947,0.3123056144718947,0.3123056144718947,0.0,0.2019284405131883,0.501508226691042,0.2334801762114537
WRD25,resnet50,gaussian_blur,4,29,0.0985462888091135,0.0985462888091135,0.2686035932041562,0.1700573043950426,0.0,0.1370566522227571,0.1585822142045834
WRD25,resnet50,gaussian_blur,4,30,0.3058288679331469,0.3058288679331469,0.3058288679331469,0.0,0.4062684976914881,0.4339060852304447,0.0773120208775077
WRD25,resnet50,gaussian_blur,4,31,0.6678875856590968,0.6678875856590968,0.6678875856590968,0.0,0.6071657069737684,0.9260781641535148,0.4704188858500072
WRD25,resnet50,gaussian_blur,4,32,0.4179386114614253,0.4179386114614253,0.4179386114614253,0.0,0.5858237547892721,0.62131115921219,0.046680920382814
WRD25,resnet50,gaussian_blur,4,33,0.391120736426315,0.391120736426315,0.391120736426315,0.0,0.3100367840252233,0.6153530002739976,0.2479724249797242
WRD25,resnet50,gaussian_blur,4,34,0.1224685277070453,0.1224685277070453,0.2095748804723026,0.0871063527652573,0.2490400438837081,0.1043173862310385,0.0140481530063893
WRD25,resnet50,gaussian_blur,4,35,0.2675355332086889,0.2675355332086889,0.2675355332086889,0.0,0.2914783253056687,0.5058784860054107,0.0052497883149872
WRD25,resnet50,gaussian_blur,4,36,0.3298224674453294,0.3298224674453294,0.3298224674453294,0.0,0.0274874177313201,0.4219784306433618,0.5400015539613063
