group,r,p,n
convnext_tiny,0.9536514894561227,7.457464052683994e-120,228
dinov2_b,0.9646730293292934,6.5721626168316765e-133,228
efficientnet_b3,0.9509591519724953,3.776913124219438e-117,228
hrnet32,0.9607015510696915,8.883374659210465e-128,228
mobilenetv3,0.926210654750334,1.0284686904764915e-97,228
resnet50,0.9301573595915419,2.5891853697527737e-100,228
swin_tiny,0.9453297147077149,5.898357653520631e-112,228
