backbone,source_mag,target_mag,cross_accuracy,accuracy_std,protocol,n_train,n_test,is_cross,within_accuracy,accuracy_drop,direction,mag_pair,centroid_drift
resnet50,VN26_x10,VN26_x20,0.5307692307692308,0.0,cross_gallery_query,2600,2600,True,0.9969230769230768,0.46615384615384603,coarse_to_fine,x10<->x20,0.2546132504940033
resnet50,VN26_x10,VN26_x50,0.2103846153846154,0.0,cross_gallery_query,2600,2600,True,0.9969230769230768,0.7865384615384614,coarse_to_fine,x10<->x50,0.35147497057914734
resnet50,VN26_x20,VN26_x10,0.4769230769230769,0.0,cross_gallery_query,2600,2600,True,0.9992307692307691,0.5223076923076923,fine_to_coarse,x10<->x20,0.2546132504940033
resnet50,VN26_x20,VN26_x50,0.1573076923076923,0.0,cross_gallery_query,2600,2600,True,0.9992307692307691,0.8419230769230769,coarse_to_fine,x20<->x50,0.4195430874824524
resnet50,VN26_x50,VN26_x10,0.2138461538461538,0.0,cross_gallery_query,2600,2600,True,0.9930769230769232,0.7792307692307694,fine_to_coarse,x10<->x50,0.35147497057914734
resnet50,VN26_x50,VN26_x20,0.1719230769230769,0.0,cross_gallery_query,2600,2600,True,0.9930769230769232,0.8211538461538463,fine_to_coarse,x20<->x50,0.4195430874824524
efficientnet_b3,VN26_x10,VN26_x20,0.5953846153846154,0.0,cross_gallery_query,2600,2600,True,0.9946153846153848,0.3992307692307694,coarse_to_fine,x10<->x20,0.34458214044570923
efficientnet_b3,VN26_x10,VN26_x50,0.1511538461538461,0.0,cross_gallery_query,2600,2600,True,0.9946153846153848,0.8434615384615387,coarse_to_fine,x10<->x50,0.49438998103141785
efficientnet_b3,VN26_x20,VN26_x10,0.4688461538461538,0.0,cross_gallery_query,2600,2600,True,1.0,0.5311538461538462,fine_to_coarse,x10<->x20,0.34458214044570923
efficientnet_b3,VN26_x20,VN26_x50,0.1453846153846154,0.0,cross_gallery_query,2600,2600,True,1.0,0.8546153846153846,coarse_to_fine,x20<->x50,0.5660159587860107
efficientnet_b3,VN26_x50,VN26_x10,0.2234615384615384,0.0,cross_gallery_query,2600,2600,True,0.9911538461538464,0.767692307692308,fine_to_coarse,x10<->x50,0.49438998103141785
efficientnet_b3,VN26_x50,VN26_x20,0.1346153846153846,0.0,cross_gallery_query,2600,2600,True,0.9911538461538464,0.8565384615384618,fine_to_coarse,x20<->x50,0.5660159587860107
convnext_tiny,VN26_x10,VN26_x20,0.6703846153846154,0.0,cross_gallery_query,2600,2600,True,0.9946153846153848,0.32423076923076943,coarse_to_fine,x10<->x20,0.2986587882041931
convnext_tiny,VN26_x10,VN26_x50,0.2288461538461538,0.0,cross_gallery_query,2600,2600,True,0.9946153846153848,0.765769230769231,coarse_to_fine,x10<->x50,0.38579797744750977
convnext_tiny,VN26_x20,VN26_x10,0.6211538461538462,0.0,cross_gallery_query,2600,2600,True,1.0,0.37884615384615383,fine_to_coarse,x10<->x20,0.2986587882041931
convnext_tiny,VN26_x20,VN26_x50,0.2311538461538461,0.0,cross_gallery_query,2600,2600,True,1.0,0.768846153846154,coarse_to_fine,x20<->x50,0.4443775415420532
convnext_tiny,VN26_x50,VN26_x10,0.325,0.0,cross_gallery_query,2600,2600,True,0.9965384615384616,0.6715384615384616,fine_to_coarse,x10<->x50,0.38579797744750977
convnext_tiny,VN26_x50,VN26_x20,0.2011538461538461,0.0,cross_gallery_query,2600,2600,True,0.9965384615384616,0.7953846153846155,fine_to_coarse,x20<->x50,0.4443775415420532
swin_tiny,VN26_x10,VN26_x20,0.5903846153846154,0.0,cross_gallery_query,2600,2600,True,0.9942307692307694,0.40384615384615397,coarse_to_fine,x10<->x20,0.36811450123786926
swin_tiny,VN26_x10,VN26_x50,0.1876923076923076,0.0,cross_gallery_query,2600,2600,True,0.9942307692307694,0.8065384615384618,coarse_to_fine,x10<->x50,0.5401579141616821
swin_tiny,VN26_x20,VN26_x10,0.5211538461538462,0.0,cross_gallery_query,2600,2600,True,0.9996153846153846,0.4784615384615384,fine_to_coarse,x10<->x20,0.36811450123786926
swin_tiny,VN26_x20,VN26_x50,0.1703846153846153,0.0,cross_gallery_query,2600,2600,True,0.9996153846153846,0.8292307692307692,coarse_to_fine,x20<->x50,0.6053797006607056
swin_tiny,VN26_x50,VN26_x10,0.2665384615384615,0.0,cross_gallery_query,2600,2600,True,0.9976923076923075,0.731153846153846,fine_to_coarse,x10<->x50,0.5401579141616821
swin_tiny,VN26_x50,VN26_x20,0.1976923076923077,0.0,cross_gallery_query,2600,2600,True,0.9976923076923075,0.7999999999999998,fine_to_coarse,x20<->x50,0.6053797006607056
dinov2_b,VN26_x10,VN26_x20,0.7465384615384615,0.0,cross_gallery_query,2600,2600,True,0.9969230769230768,0.2503846153846153,coarse_to_fine,x10<->x20,0.21010802686214447
dinov2_b,VN26_x10,VN26_x50,0.2815384615384615,0.0,cross_gallery_query,2600,2600,True,0.9969230769230768,0.7153846153846153,coarse_to_fine,x10<->x50,0.22088931500911713
dinov2_b,VN26_x20,VN26_x10,0.5684615384615385,0.0,cross_gallery_query,2600,2600,True,0.9992307692307691,0.4307692307692307,fine_to_coarse,x10<->x20,0.21010802686214447
dinov2_b,VN26_x20,VN26_x50,0.1673076923076923,0.0,cross_gallery_query,2600,2600,True,0.9992307692307691,0.8319230769230769,coarse_to_fine,x20<->x50,0.3359380066394806
dinov2_b,VN26_x50,VN26_x10,0.5223076923076924,0.0,cross_gallery_query,2600,2600,True,0.9957692307692309,0.4734615384615385,fine_to_coarse,x10<->x50,0.22088931500911713
dinov2_b,VN26_x50,VN26_x20,0.2734615384615385,0.0,cross_gallery_query,2600,2600,True,0.9957692307692309,0.7223076923076923,fine_to_coarse,x20<->x50,0.3359380066394806
hrnet32,VN26_x10,VN26_x20,0.5869230769230769,0.0,cross_gallery_query,2600,2600,True,0.9969230769230768,0.4099999999999999,coarse_to_fine,x10<->x20,0.20038369297981262
hrnet32,VN26_x10,VN26_x50,0.1542307692307692,0.0,cross_gallery_query,2600,2600,True,0.9969230769230768,0.8426923076923076,coarse_to_fine,x10<->x50,0.22425875067710876
hrnet32,VN26_x20,VN26_x10,0.5415384615384615,0.0,cross_gallery_query,2600,2600,True,1.0,0.4584615384615385,fine_to_coarse,x10<->x20,0.20038369297981262
hrnet32,VN26_x20,VN26_x50,0.1011538461538461,0.0,cross_gallery_query,2600,2600,True,1.0,0.8988461538461539,coarse_to_fine,x20<->x50,0.2862405478954315
hrnet32,VN26_x50,VN26_x10,0.2711538461538461,0.0,cross_gallery_query,2600,2600,True,0.9973076923076925,0.7261538461538464,fine_to_coarse,x10<->x50,0.22425875067710876
hrnet32,VN26_x50,VN26_x20,0.1253846153846153,0.0,cross_gallery_query,2600,2600,True,0.9973076923076925,0.8719230769230771,fine_to_coarse,x20<->x50,0.2862405478954315
mobilenetv3,VN26_x10,VN26_x20,0.615,0.0,cross_gallery_query,2600,2600,True,0.9946153846153848,0.3796153846153848,coarse_to_fine,x10<->x20,0.3677771985530853
mobilenetv3,VN26_x10,VN26_x50,0.1984615384615384,0.0,cross_gallery_query,2600,2600,True,0.9946153846153848,0.7961538461538464,coarse_to_fine,x10<->x50,0.5409324169158936
mobilenetv3,VN26_x20,VN26_x10,0.5626923076923077,0.0,cross_gallery_query,2600,2600,True,1.0,0.4373076923076923,fine_to_coarse,x10<->x20,0.3677771985530853
mobilenetv3,VN26_x20,VN26_x50,0.1484615384615384,0.0,cross_gallery_query,2600,2600,True,1.0,0.8515384615384616,coarse_to_fine,x20<->x50,0.630504846572876
mobilenetv3,VN26_x50,VN26_x10,0.1588461538461538,0.0,cross_gallery_query,2600,2600,True,0.9915384615384616,0.8326923076923078,fine_to_coarse,x10<->x50,0.5409324169158936
mobilenetv3,VN26_x50,VN26_x20,0.1473076923076923,0.0,cross_gallery_query,2600,2600,True,0.9915384615384616,0.8442307692307693,fine_to_coarse,x20<->x50,0.630504846572876
