dataset,backbone,perturbation,severity,tag,n_pairs,n_flip,flip_rate,frac_necessary,coverage_certified_safe,flip_rate_in_certified,frac_preserved_certified,mean_drift,mean_gate
WRD25,convnext_tiny,gaussian_blur,2,blur_2,1553,438,0.28203477141017386,1.0,0.0,,0.0,0.3770608607154988,0.0026660283637341036
WRD25,convnext_tiny,gaussian_blur,4,blur_4,1553,1022,0.6580811332904056,1.0,0.0,,0.0,0.6363752830780233,0.0026660283637341036
WRD25,convnext_tiny,gaussian_blur,6,blur_6,1553,1214,0.7817128139085641,1.0,0.0,,0.0,0.7623049909609539,0.0026660283637341036
WRD25,convnext_tiny,gaussian_blur,8,blur_8,1553,1252,0.8061815840309079,1.0,0.0,,0.0,0.8188497193739764,0.0026660283637341036
WRD25,convnext_tiny,gaussian_blur,10,blur_10,1553,1294,0.8332260141661301,1.0,0.0,,0.0,0.8383676273559879,0.0026660283637341036
WRD25,convnext_tiny,gaussian_blur,12,blur_12,1553,1336,0.8602704443013522,1.0,0.0,,0.0,0.8445008468339161,0.0026660283637341036
WRD25,convnext_tiny,defocus_blur,3,defocus_3,1553,291,0.18737926593689633,1.0,0.0,,0.0,0.2988284279129632,0.0026660283637341036
WRD25,convnext_tiny,defocus_blur,5,defocus_5,1553,701,0.4513844172569221,1.0,0.0,,0.0,0.46356368431363254,0.0026660283637341036
WRD25,convnext_tiny,defocus_blur,8,defocus_8,1553,976,0.6284610431423052,1.0,0.0,,0.0,0.5961875953854487,0.0026660283637341036
WRD25,convnext_tiny,defocus_blur,11,defocus_11,1553,1097,0.7063747585318738,1.0,0.0,,0.0,0.6835376477032105,0.0026660283637341036
WRD25,convnext_tiny,defocus_blur,15,defocus_15,1553,1231,0.7926593689632968,1.0,0.0,,0.0,0.7618057712127417,0.0026660283637341036
WRD25,convnext_tiny,resize,1.33,resize_1_33,1553,134,0.08628461043142305,1.0,0.0,,0.0,0.1441453982238838,0.0026660283637341036
WRD25,convnext_tiny,resize,1.67,resize_1_67,1553,270,0.17385705086928527,1.0,0.0,,0.0,0.2287341713916626,0.0026660283637341036
WRD25,convnext_tiny,resize,2.0,resize_2_0,1553,416,0.2678686413393432,1.0,0.0,,0.0,0.31869783585707545,0.0026660283637341036
WRD25,convnext_tiny,illumination,0.7,brightness_0_7,1553,44,0.028332260141661302,1.0,0.044430135222150675,0.0,0.04572564612326044,0.016888779612473953,0.0026660283637341036
WRD25,convnext_tiny,illumination,0.85,brightness_0_85,1553,28,0.0180296200901481,1.0,0.2768834513844173,0.0,0.2819672131147541,0.006087251664722859,0.0026660283637341036
WRD25,convnext_tiny,illumination,1.15,brightness_1_15,1553,15,0.009658725048293626,1.0,0.26915647134578236,0.0,0.2717815344603381,0.006506314923773569,0.0026660283637341036
WRD25,convnext_tiny,illumination,1.3,brightness_1_3,1553,36,0.0231809401159047,1.0,0.03670315518351577,0.0,0.037574159525379035,0.02148668236684982,0.0026660283637341036
WRD25,convnext_tiny,jpeg,10,jpeg_10,1553,676,0.4352865421764327,1.0,0.0,,0.0,0.39724693900223573,0.0026660283637341036
WRD25,convnext_tiny,jpeg,20,jpeg_20,1553,423,0.27237604636188023,1.0,0.0,,0.0,0.2800645808962619,0.0026660283637341036
WRD25,convnext_tiny,jpeg,30,jpeg_30,1553,318,0.20476497102382485,1.0,0.0,,0.0,0.2251030143328781,0.0026660283637341036
WRD25,convnext_tiny,jpeg,50,jpeg_50,1553,238,0.15325177076625884,1.0,0.0,,0.0,0.16591550535794714,0.0026660283637341036
WRD25,convnext_tiny,jpeg,70,jpeg_70,1553,165,0.10624597553122987,1.0,0.0,,0.0,0.1185601973276189,0.0026660283637341036
WRD25,convnext_tiny,red_channel_shift,-45,color_shift_-45,1553,149,0.09594333547971667,1.0,0.0,,0.0,0.0853841411723568,0.0026660283637341036
WRD25,convnext_tiny,red_channel_shift,-30,color_shift_-30,1553,107,0.06889890534449453,1.0,0.0019317450096587251,0.0,0.002074688796680498,0.0570779567009113,0.0026660283637341036
WRD25,convnext_tiny,red_channel_shift,30,color_shift_30,1553,86,0.05537669027688345,1.0,0.0,,0.0,0.05114255883686892,0.0026660283637341036
WRD25,convnext_tiny,red_channel_shift,45,color_shift_45,1553,142,0.09143593045717965,1.0,0.0,,0.0,0.08041660313421918,0.0026660283637341036
WRD25,convnext_tiny,green_channel_shift,-45,green_channel_shift_-45,1553,164,0.1056020605280103,1.0,0.0,,0.0,0.11831524053499869,0.0026660283637341036
WRD25,convnext_tiny,green_channel_shift,-30,green_channel_shift_-30,1553,116,0.0746941403734707,1.0,0.0,,0.0,0.07579837679685168,0.0026660283637341036
WRD25,convnext_tiny,green_channel_shift,30,green_channel_shift_30,1553,110,0.07083065035415326,1.0,0.0,,0.0,0.07848874116567894,0.0026660283637341036
WRD25,convnext_tiny,green_channel_shift,45,green_channel_shift_45,1553,151,0.09723116548615583,1.0,0.0,,0.0,0.11742640320772403,0.0026660283637341036
WRD25,convnext_tiny,blue_channel_shift,-45,blue_channel_shift_-45,1553,109,0.07018673535093367,1.0,0.0,,0.0,0.0669871000647315,0.0026660283637341036
WRD25,convnext_tiny,blue_channel_shift,-30,blue_channel_shift_-30,1553,89,0.05730843528654218,1.0,0.0103026400515132,0.0,0.01092896174863388,0.03820879102774826,0.0026660283637341036
WRD25,convnext_tiny,blue_channel_shift,30,blue_channel_shift_30,1553,76,0.0489375402446877,1.0,0.0,,0.0,0.04390417793172857,0.0026660283637341036
WRD25,convnext_tiny,blue_channel_shift,45,blue_channel_shift_45,1553,148,0.0952994204764971,1.0,0.0,,0.0,0.07447686413426516,0.0026660283637341036
WRD25,convnext_tiny,gaussian_noise,0.02,gaussian_noise_0_02,1553,70,0.04507405022537025,1.0,0.0,,0.0,0.0632735900233509,0.0026660283637341036
WRD25,convnext_tiny,gaussian_noise,0.05,gaussian_noise_0_05,1553,180,0.1159047005795235,1.0,0.0,,0.0,0.16813930193521062,0.0026660283637341036
WRD25,convnext_tiny,gaussian_noise,0.1,gaussian_noise_0_1,1553,401,0.25820991629104956,1.0,0.0,,0.0,0.32522087018965296,0.0026660283637341036
WRD25,convnext_tiny,shot_noise,60,shot_noise_60,1553,370,0.23824855119124275,1.0,0.0,,0.0,0.28008518924241765,0.0026660283637341036
WRD25,convnext_tiny,shot_noise,30,shot_noise_30,1553,555,0.3573728267868641,1.0,0.0,,0.0,0.3800792989213475,0.0026660283637341036
WRD25,convnext_tiny,shot_noise,15,shot_noise_15,1553,911,0.5866065679330328,1.0,0.0,,0.0,0.48489069769252974,0.0026660283637341036
WRD25,convnext_tiny,impulse_noise,0.01,impulse_noise_0_01,1553,95,0.061171925305859624,1.0,0.0,,0.0,0.10327434115103196,0.0026660283637341036
WRD25,convnext_tiny,impulse_noise,0.03,impulse_noise_0_03,1553,236,0.1519639407598197,1.0,0.0,,0.0,0.23173846440002036,0.0026660283637341036
