condition,mmd,failure,compactness
clean_TierA,0.0271254777908325,0.0,0.5292771458625793
clean_TierA,0.0375047326087951,0.0,0.43652427196502686
clean_TierA,0.0314608216285705,0.0,0.46940386295318604
clean_TierA,0.028683066368103,0.0,0.623189389705658
clean_TierA,0.028132677078247,0.0,0.5720657110214233
clean_TierA,0.0283760428428649,0.0,0.5354280471801758
clean_TierA,0.0223728418350219,0.0,0.5689406394958496
clean_TierA,0.0295460820198059,0.0,0.5593965649604797
clean_TierA,0.042268693447113,0.0,0.4604454040527344
clean_TierA,0.0289034247398376,0.0,0.6487576961517334
clean_TierA,0.0378205180168151,0.0,0.6352789402008057
clean_TierA,0.0380330681800842,0.0,0.5628755688667297
clean_TierA,0.0328567624092102,0.0,0.4303567409515381
clean_TierA,0.0296892523765563,0.0,0.5143235921859741
clean_TierA,0.027854561805725,0.0,0.36207085847854614
clean_TierA,0.0318104028701782,0.0,0.34960252046585083
clean_TierA,0.0427886843681335,0.0,0.32361769676208496
clean_TierA,0.0412728190422058,0.0,0.29219383001327515
clean_TierA,0.0315445065498352,0.0,0.6649324297904968
clean_TierA,0.0410404801368713,0.0,0.5644681453704834
clean_TierA,0.027637243270874,0.0,0.589669942855835
TierB_synth_severe,0.1355403661727905,0.5960021041557075,0.47766733169555664
TierB_synth_severe,0.2188160419464111,0.7617043661230931,0.42498779296875
TierB_synth_severe,0.2871845364570617,0.8495528669121515,0.36150306463241577
TierB_synth_severe,0.3100306987762451,0.8984744871120462,0.3548088073730469
TierB_synth_severe,0.3059772849082947,0.9289847448711204,0.3680875301361084
TierB_synth_severe,0.3185392618179321,0.941083640189374,0.35067445039749146
TierB_synth_severe,0.0923425555229187,0.4592319831667544,0.5095952749252319
TierB_synth_severe,0.1308687329292297,0.6964755391899,0.4968482255935669
TierB_synth_severe,0.1854065656661987,0.784850078905839,0.46741825342178345
TierB_synth_severe,0.2212744355201721,0.8453445554971069,0.43848639726638794
TierB_synth_severe,0.2665334343910217,0.882167280378748,0.39156317710876465
TierB_synth_mild,0.0182527899742126,0.0147290899526565,0.5161874890327454
TierB_synth_mild,0.0415130257606506,0.1046817464492372,0.5065170526504517
TierB_synth_mild,0.0672053694725036,0.1599158337716991,0.5173739790916443
TierB_synth_mild,0.0021421313285827,-0.0005260389268805,0.5173600912094116
TierB_synth_mild,0.0016117691993713,-0.0021041557075223,0.5025364756584167
TierB_synth_mild,0.0013365745544433,-0.0010520778537611,0.5058326721191406
TierB_synth_mild,0.0019227266311645,0.0026301946344029,0.5139186382293701
TierB_synth_severe,0.1768327355384826,0.6712256706996318,0.3913649916648865
TierB_synth_severe,0.101395308971405,0.3377169910573382,0.4532327651977539
TierB_synth_mild,0.0766878724098205,0.1657022619673855,0.476385235786438
TierB_synth_mild,0.0546619892120361,0.070489216201999,0.4815026521682739
TierB_synth_mild,0.0419086217880249,0.0331404523934771,0.4859795570373535
TierB_synth_mild,0.0176959633827209,0.0910047343503419,0.5131922960281372
TierB_synth_mild,0.0119073987007141,0.049973698053656,0.5126235485076904
TierB_synth_mild,0.0087061524391174,0.0142030510257759,0.49323761463165283
TierB_synth_mild,0.01755291223526,0.0384008416622829,0.4716307520866394
TierB_synth_mild,0.030993103981018,0.1372961599158337,0.4567529559135437
TierB_synth_mild,0.0213013887405395,0.0594423987375065,0.4865381717681885
TierB_synth_mild,0.0206016898155212,0.0536559705418201,0.50953209400177
TierB_synth_mild,0.0378327965736389,0.1257233035244608,0.4943561553955078
TierB_synth_mild,0.016140341758728,0.0257759074171488,0.5057708024978638
TierB_synth_mild,0.0089824199676513,0.0105207785376117,0.5137494802474976
TierB_synth_mild,0.0089433789253234,0.0399789584429247,0.4758008122444153
TierB_synth_mild,0.0137773156166076,0.067859021567596,0.47824031114578247
TierB_synth_mild,0.0076885223388671,0.0099947396107311,0.49415063858032227
TierB_synth_mild,0.0196788907051086,0.0894266175697001,0.4564017653465271
TierB_synth_severe,0.0419250726699829,0.2667017359284587,0.4182130694389343
TierB_synth_mild,0.0350126028060913,0.1820094687006839,0.4303250312805176
TierB_synth_severe,0.0617533922195434,0.4245134139926354,0.40234196186065674
TierB_synth_severe,0.0934000015258789,0.6917411888479748,0.39522236585617065
TierB_synth_severe,0.0701987743377685,0.4018937401367701,0.456207811832428
TierB_synth_severe,0.1405918598175048,0.7501315097317202,0.38033145666122437
TierB_synth_severe,0.1528379917144775,0.8253550762756444,0.33040666580200195
TierB_synth_severe,0.0392950177192688,0.2446081009994739,0.5140981078147888
TierB_synth_severe,0.0813603401184082,0.6128353498158864,0.5221476554870605
TierB_synth_severe,0.1550086736679077,0.8064176749079432,0.5250428915023804
TierB_synth_severe,0.1131037473678588,0.4018937401367701,0.539647102355957
TierB_synth_severe,0.2047768235206604,0.6522882693319305,0.4621185064315796
TierB_synth_severe,0.25009685754776,0.7885323513940031,0.3858623504638672
TierB_synth_mild,0.0077940225601196,0.0036822724881641,0.5104812383651733
TierB_synth_mild,0.0019823908805847,-0.0005260389268805,0.4982112646102905
TierB_synth_mild,0.0012624263763427,-0.0021041557075223,0.515095591545105
TierB_synth_mild,0.0045908093452453,-0.0005260389268805,0.516218364238739
TierB_synth_severe,0.2204378247261047,0.8285113098369279,0.3220943808555603
TierB_synth_severe,0.1754279732704162,0.8143082588111521,0.361288845539093
TierB_synth_severe,0.3581563830375671,0.94634402945818,0.1859513521194458
TierB_synth_mild,0.1156703233718872,0.0215675960021041,0.4705459475517273
TierB_synth_mild,0.3015722632408142,0.1893740136770121,0.34157794713974
TierB_synth_severe,0.3873791098594665,0.6065228826933193,0.2616342306137085
TierB_synth_severe,0.249656081199646,0.5412940557601262,0.359758198261261
TierB_synth_mild,0.0182682871818542,0.0604944765912677,0.5186477899551392
TierB_synth_severe,0.2544105648994446,0.5649658074697528,0.3512424826622009
TierB_synth_mild,0.001425564289093,-0.0015781167806417,0.513423502445221
TierB_synth_severe,0.3095675706863403,0.8358758548132562,0.3200504183769226
TierB_synth_severe,0.41370689868927,0.9352972119936876,0.1996699571609497
TierB_synth_severe,0.46273934841156,0.9594950026301946,0.10728901624679565
TierB_synth_severe,0.1283069252967834,0.5896896370331405,0.49087321758270264
TierB_synth_severe,0.2198348641395568,0.7932667017359285,0.44048190116882324
TierB_synth_severe,0.3271380066871643,0.9068911099421356,0.34438687562942505
TierB_synth_severe,0.1515813469886779,0.5744345081536033,0.38388967514038086
TierB_synth_severe,0.2286968231201172,0.7722251446607049,0.3174249529838562
TierB_synth_severe,0.3332021832466125,0.9189900052603892,0.2041311264038086
TierB_synth_severe,0.1423182487487793,0.5307732772225144,0.5005968809127808
TierB_synth_severe,0.2945906519889831,0.8143082588111521,0.3762534260749817
TierB_synth_severe,0.2952185273170471,0.9021567596002104,0.3504388928413391
TierB_synth_severe,0.1586801409721374,0.730455472467709,0.3654710650444031
TierB_synth_severe,0.3195614218711853,0.8803535010197145,0.27206993103027344
TierB_synth_severe,0.4093466401100158,0.8898708361658736,0.1999959945678711
TierB_synth_severe,0.4445728063583374,0.8908905506458192,0.16774624586105347
TierB_synth_severe,0.4604002833366394,0.8970088375254929,0.16570192575454712
TierB_synth_severe,0.4680264592170715,0.919782460910945,0.1440262794494629
TierB_synth_severe,0.1039606928825378,0.6400407885791979,0.4216116666793823
TierB_synth_severe,0.1871452927589416,0.7987763426240653,0.3338722586631775
TierB_synth_severe,0.2618404626846313,0.8830727396329028,0.30581408739089966
TierB_synth_severe,0.3131585121154785,0.8704962610469069,0.2851044535636902
TierB_synth_severe,0.3537316918373108,0.8823929299796057,0.26210910081863403
TierB_synth_mild,0.0158234238624572,0.0424881033310673,0.4440290331840515
TierB_synth_mild,0.0356608033180236,0.1614547926580557,0.4191652536392212
TierB_synth_severe,0.0600550770759582,0.282800815771584,0.427471399307251
TierB_synth_mild,0.0066214799880981,0.0040788579197824,0.4505748152732849
TierB_synth_mild,0.0034478902816772,0.0010197144799456,0.4519844651222229
TierB_synth_mild,0.0027412176132202,0.0033990482664854,0.4465618133544922
TierB_synth_mild,0.0063126683235168,0.0081577158395649,0.45595091581344604
TierB_synth_severe,0.2028641104698181,0.7722637661454793,0.31643247604370117
TierB_synth_severe,0.1084510684013366,0.4408565601631543,0.4009776711463928
TierB_synth_severe,0.0738705992698669,0.2865397688647179,0.4081798791885376
TierB_synth_mild,0.0546692013740539,0.1750509857239973,0.42764604091644287
TierB_synth_mild,0.0380584001541137,0.0982324949014276,0.4443073868751526
TierB_synth_mild,0.0222067236900329,0.0129163834126444,0.4660305380821228
TierB_synth_mild,0.0096776485443115,0.0047586675730795,0.46727830171585083
TierB_synth_mild,0.0089890360832214,0.0129163834126444,0.4362263083457947
TierB_synth_mild,0.0169260501861572,0.0244731475186947,0.41976284980773926
TierB_synth_mild,0.0268899202346801,0.0329707681849082,0.4172017574310303
TierB_synth_mild,0.0168420076370239,0.0146159075458871,0.4440968632698059
TierB_synth_mild,0.0202355980873107,0.0149558123725357,0.43598103523254395
TierB_synth_mild,0.044377326965332,0.0424881033310673,0.4263869524002075
TierB_synth_mild,0.0176560878753662,0.0248130523453433,0.4118250608444214
TierB_synth_mild,0.0095039010047912,0.0108769544527532,0.4198533296585083
TierB_synth_mild,0.0137150883674621,0.0078178110129164,0.4444476366043091
TierB_synth_mild,0.0215725302696228,0.013256288239293,0.44081252813339233
TierB_synth_mild,0.0095220804214477,0.026512576478586,0.4265972375869751
TierB_synth_severe,0.0352264642715454,0.2477906186267845,0.3789764642715454
TierB_synth_severe,0.0955275893211364,0.5067980965329708,0.3206239342689514
TierB_synth_severe,0.0667681694030761,0.4411964649898029,0.35073035955429077
TierB_synth_severe,0.1191345453262329,0.6254248810333107,0.3123125433921814
TierB_synth_severe,0.1899005770683288,0.809993201903467,0.26766443252563477
TierB_synth_severe,0.0694058537483215,0.5465669612508498,0.40176159143447876
TierB_synth_severe,0.1698969602584839,0.7811012916383413,0.3029177784919739
TierB_synth_severe,0.2137002348899841,0.8174711080897349,0.2614401578903198
TierB_synth_severe,0.0517559647560119,0.4031271244051666,0.41178959608078003
TierB_synth_severe,0.149698793888092,0.7532290958531611,0.3648177981376648
TierB_synth_severe,0.2404021620750427,0.8436437797416724,0.34743010997772217
TierB_synth_severe,0.1920081377029419,0.614208021753909,0.40676039457321167
TierB_synth_severe,0.3066645264625549,0.7114208021753909,0.3196665644645691
TierB_synth_severe,0.3119047880172729,0.7522093813732156,0.28100770711898804
TierB_synth_mild,0.0282026529312133,0.0819170632222977,0.4014282822608948
TierB_synth_mild,0.0065963864326477,0.0125764785859959,0.4307219386100769
TierB_synth_mild,0.0042280554771423,0.0013596193065942,0.4595598578453064
TierB_synth_mild,0.0099774599075317,0.0074779061862678,0.4744439125061035
TierB_synth_severe,0.1942442059516906,0.7396329027872196,0.28668397665023804
TierB_synth_severe,0.2142903804779052,0.8803535010197145,0.2992895841598511
TierB_synth_severe,0.376724898815155,0.9146838885112168,0.13868653774261475
TierB_synth_mild,0.2240535616874694,0.114887831407206,0.36540359258651733
TierB_synth_severe,0.3696911931037903,0.2963970088375255,0.2837781310081482
TierB_synth_severe,0.43616783618927,0.6291638341264446,0.21921145915985107
TierB_synth_severe,0.3087489008903503,0.5900747790618628,0.2933259606361389
TierB_synth_mild,0.0095123052597045,0.0870156356220258,0.4587986469268799
TierB_synth_severe,0.3088166713714599,0.6023113528212101,0.29912251234054565
TierB_synth_mild,0.0018761157989501,0.0037389530931339,0.4436231255531311
TierB_synth_severe,0.3304147124290466,0.9177430319510538,0.23847633600234985
TierB_synth_severe,0.4440783262252807,0.9231815091774304,0.13281744718551636
TierB_synth_severe,0.5330405235290527,0.9391570360299116,0.03236037492752075
TierB_synth_severe,0.1599920392036438,0.7311352821210062,0.36990177631378174
TierB_synth_severe,0.312349796295166,0.8912304554724677,0.27274441719055176
TierB_synth_severe,0.4091029763221741,0.8973487423521415,0.21623051166534424
TierB_synth_severe,0.1367424130439758,0.6111488783140722,0.29190826416015625
TierB_synth_severe,0.2582967281341553,0.8290278721957852,0.22826898097991943
TierB_synth_severe,0.3192009925842285,0.8885112168592795,0.18315088748931885
TierB_synth_severe,0.2201550006866455,0.6917063222297757,0.40034782886505127
TierB_synth_severe,0.3626238703727722,0.8334466349422163,0.2964833378791809
TierB_synth_severe,0.2722985744476318,0.9106050305914344,0.37726837396621704
TierB_synth_severe,0.1801847219467163,0.6605374823196606,0.49136650562286377
TierB_synth_severe,0.2728448510169983,0.8104667609618105,0.4266629219055176
TierB_synth_severe,0.3429663181304931,0.8628005657708628,0.35024821758270264
TierB_synth_severe,0.3649116158485412,0.8991041961338991,0.3360438942909241
TierB_synth_severe,0.3668175935745239,0.918906176331919,0.3209429383277893
TierB_synth_severe,0.3814101815223694,0.9434229137199436,0.2932077646255493
TierB_synth_severe,0.1049637794494628,0.438000942951438,0.5089042782783508
TierB_synth_severe,0.1573322415351867,0.7340876944837341,0.49393749237060547
TierB_synth_severe,0.1995829939842224,0.8406412069778406,0.46610814332962036
TierB_synth_severe,0.2464393973350525,0.876001885902876,0.44561105966567993
TierB_synth_severe,0.2959551215171814,0.9014615747289014,0.4062298536300659
TierB_synth_mild,0.0330831408500671,0.0136727958510136,0.5202755331993103
TierB_synth_mild,0.059815227985382,0.082979726544083,0.5357286334037781
TierB_synth_mild,0.0921127796173095,0.1626591230551627,0.5464179515838623
TierB_synth_mild,0.0024948716163635,0.0004714757190005,0.4866463541984558
TierB_synth_mild,0.0016454458236694,-0.0004714757190004,0.4844169616699219
TierB_synth_mild,0.0017770528793334,0.0004714757190005,0.4807840585708618
TierB_synth_mild,0.0017656683921813,0.0018859028760018,0.4766809344291687
TierB_synth_severe,0.2302526235580444,0.711928335690712,0.4083770513534546
TierB_synth_severe,0.158799409866333,0.4106553512494106,0.4802911877632141
TierB_synth_severe,0.1335670948028564,0.3088165959453088,0.5047784447669983
TierB_synth_mild,0.1083484292030334,0.1749174917491749,0.515034556388855
TierB_synth_mild,0.0763525962829589,0.091937765205092,0.5154068470001221
TierB_synth_mild,0.0168510675430297,0.016973125884017,0.47623181343078613
TierB_synth_mild,0.0100198984146118,0.0066006600660065,0.4913709759712219
TierB_synth_mild,0.0098822712898254,0.0042432814710042,0.48410677909851074
TierB_synth_mild,0.0163957476615905,0.0113154172560113,0.48407500982284546
TierB_synth_mild,0.0311465859413146,0.033946251768034,0.4632149934768677
TierB_synth_mild,0.0165237188339233,0.0127298444130127,0.48185038566589355
TierB_synth_mild,0.0172939896583557,0.0103724658180104,0.4820307493209839
TierB_synth_mild,0.0314494371414184,0.0231023102310231,0.4720544219017029
TierB_synth_mild,0.0267565846443176,0.0084865629420084,0.471484899520874
TierB_synth_mild,0.0149810314178466,0.0023573785950024,0.48340386152267456
TierB_synth_mild,0.0068602561950683,0.0047147571900046,0.48773038387298584
TierB_synth_mild,0.0105242729187011,0.008015087223008,0.48312652111053467
TierB_synth_mild,0.0100392699241638,0.016973125884017,0.4499109387397766
TierB_synth_mild,0.0261167883872985,0.106082036775106,0.46372169256210327
TierB_synth_severe,0.0753589272499084,0.4846770391324847,0.4532831311225891
TierB_synth_severe,0.0629245042800903,0.3635077793493635,0.461453914642334
TierB_synth_severe,0.0931610465049743,0.5695426685525695,0.4454386234283447
TierB_synth_severe,0.1336820125579834,0.7237152286657238,0.422885537147522
TierB_synth_mild,0.0433539152145385,0.1857614332861857,0.4574844241142273
TierB_synth_severe,0.1164628863334655,0.5563413484205564,0.3931041955947876
TierB_synth_severe,0.1559159755706787,0.6313059877416314,0.3767074942588806
TierB_synth_severe,0.0533322691917419,0.2409240924092409,0.5136616230010986
TierB_synth_severe,0.1146765947341919,0.5855728429985856,0.508415699005127
TierB_synth_severe,0.1997599601745605,0.7755775577557755,0.4704233407974243
TierB_synth_severe,0.127094030380249,0.4431871758604432,0.5383480787277222
TierB_synth_severe,0.2148504853248596,0.7831211692597831,0.4704030752182007
TierB_synth_severe,0.2440945506095886,0.8420556341348421,0.41589802503585815
TierB_synth_mild,0.005343735218048,0.0014144271570014,0.5014263391494751
TierB_synth_mild,0.0027577877044677,0.0004714757190005,0.4906345009803772
TierB_synth_mild,0.0016223192214965,0.0004714757190005,0.4820774793624878
TierB_synth_mild,0.0038574934005737,0.0018859028760018,0.48301106691360474
TierB_synth_severe,0.2114653587341308,0.6798679867986799,0.37519675493240356
TierB_synth_severe,0.3470159769058227,0.8741159830268741,0.24209213256835938
TierB_synth_severe,0.4557265639305115,0.974068835454974,0.1446305513381958
TierB_synth_mild,0.0316877961158752,0.0108439415370108,0.48490118980407715
TierB_synth_mild,0.1582798957824707,0.0476190476190476,0.45790958404541016
TierB_synth_severe,0.3066818118095398,0.272984441301273,0.36988985538482666
TierB_synth_severe,0.2301651239395141,0.3630363036303631,0.3854689598083496
TierB_synth_mild,0.0078176259994506,0.0174446016030174,0.4881918430328369
TierB_synth_severe,0.231124460697174,0.3620933521923621,0.3929555416107178
TierB_synth_mild,0.0013784766197204,0.0033003300330033,0.4901807904243469
TierB_synth_severe,0.3663257956504822,0.9273927392739274,0.24890053272247314
TierB_synth_severe,0.4454628229141235,0.967939651107968,0.17758852243423462
TierB_synth_severe,0.5210509300231934,0.9632248939179632,0.08491712808609009
TierB_synth_severe,0.1564885377883911,0.6426214049976426,0.514977216720581
TierB_synth_severe,0.2448005080223083,0.8297972654408299,0.4477274417877197
TierB_synth_severe,0.3624548316001892,0.9184347006129184,0.3518068790435791
