policy,condition_spearman,record_spearman,worst_pair_mmd,milder_pair_mmd,worst_below_milder,n_conditions,n_records
global_median,0.48571428571428577,0.6192755586756096,0.09683216469628471,0.18420545543943131,True,6,91
global_median_x0.5,0.48571428571428577,0.6197402757464232,0.05952249254499163,0.11375520059040614,True,6,91
global_median_x2.0,0.48571428571428577,0.6199005230122211,0.12967383861541748,0.24441252861704146,True,6,91
per_pair_median,0.48571428571428577,0.6140114359941518,0.10114572729383196,0.19427265439714705,True,6,91
