condition,mmd,failure,within_batch_spread
clean_TierA,0.0333196776253836,0.0,0.5098351836204529
TierB_synth_mild,0.0351239034026074,0.0480899233220599,0.5072220599146293
TierB_synth_severe,0.2295633642871469,0.6231915315066858,0.4162157858577157
TierD_xmag_x10x20,0.0682379731110163,0.4193406593406593,0.5343698348317828
TierD_xmag_x10x50,0.1102308801242283,0.7527472527472528,0.5012152791023254
TierD_xmag_x20x50,0.1401618804250444,0.8277472527472528,0.5028409957885742
TierC_DTSR14_WOODAUTH,0.1928172281810215,0.6804169901656315,0.4736734798976353
TierC_BFS46_FSDM41,0.1017678465162004,0.9895030259810346,0.5207174803529467
