backbone,dataset,k,n_images,sgi_mean,sgi_std,sil_mean,sil_std
resnet50,WRD25,2,96,0.05200361394557823,0.027682709649390964,0.09893818944692612,0.03275846317410469
resnet50,WRD25,3,96,0.13092580782312926,0.062030216317195304,0.05797849968075752,0.01606115885078907
resnet50,WRD25,4,96,0.20622076955782312,0.11164198538847994,0.0500507652759552,0.013222575187683105
resnet50,WRD25,5,96,0.25223214285714285,0.11386220924326067,0.04567192867398262,0.012312437407672405
resnet50,WRD25,6,96,0.2915869472789116,0.12007288618897634,0.04229635000228882,0.012098175473511219
resnet50,WRD25,7,96,0.31584821428571425,0.12237176168807531,0.04107861593365669,0.01099366508424282
resnet50,WRD25,8,96,0.3430458120748299,0.1344096137322906,0.04040726646780968,0.01077473908662796
resnet50,DTSR14,2,89,0.021497362990139872,0.019307701253058286,0.0765308290719986,0.030188610777258873
resnet50,DTSR14,3,89,0.04442788351295575,0.033496855943914425,0.058939602226018906,0.02159261144697666
resnet50,DTSR14,4,89,0.060249942673698695,0.03676451059800307,0.05433359742164612,0.01559093501418829
resnet50,DTSR14,5,89,0.08719330428800733,0.04181853976973881,0.0497441440820694,0.012655789032578468
resnet50,DTSR14,6,89,0.1161717495987159,0.05849287054024624,0.047243572771549225,0.011942954733967781
resnet50,DTSR14,7,89,0.14357372162348084,0.06736785611376246,0.04621719568967819,0.012175050564110279
resnet50,DTSR14,8,89,0.15902315982572804,0.06968173454357075,0.04487476870417595,0.011940951459109783
resnet50,PCA11,2,99,0.05426716141001856,0.03503616787522657,0.09993046522140503,0.041675493121147156
resnet50,PCA11,3,99,0.13257575757575757,0.08187604195515256,0.05535423383116722,0.020942863076925278
resnet50,PCA11,4,99,0.19158420944135227,0.10492878722246285,0.045587264001369476,0.017449423670768738
resnet50,PCA11,5,99,0.24333900226757366,0.12167437284696431,0.03784240037202835,0.013608133420348167
resnet50,PCA11,6,99,0.2863584827870542,0.12030658482441584,0.035679299384355545,0.011067486368119717
resnet50,PCA11,7,99,0.31843949701092555,0.11440043904950298,0.033713582903146744,0.01043419074267149
resnet50,PCA11,8,99,0.3526334776334777,0.1229857496735798,0.032215941697359085,0.009066603146493435
efficientnet_b3,WRD25,2,96,0.0830015004616805,0.03287346519767649,0.10722919553518295,0.02282688394188881
efficientnet_b3,WRD25,3,96,0.22667792012927057,0.061222150788524846,0.08521423488855362,0.020544961094856262
