dataset,backbone,perturbation,severity,tag,feature_drift,intra_clean,intra_shift,delta_intra,inter_clean,inter_shift,delta_inter,fgcs_clean,fgcs_shift,delta_fgcs,fsr_clean,fsr_shift,delta_fsr,accuracy,acc_clean,drop
PCA11,mobilenetv3,gaussian_blur,2,blur_2,0.3378310203552246,0.2625063359737396,0.24249152839183807,-0.02001480758190155,0.36046290397644043,0.3833501935005188,0.02288728952407837,0.7282478531851834,0.6325587739438819,-0.09568907924130143,1.373158871153876,1.580880767434768,0.207721896280892,0.7740620657711904,0.9178323297823068,0.1437702640111162
PCA11,mobilenetv3,gaussian_blur,4,blur_4,0.6496468186378479,0.2625063359737396,0.18316875398159027,-0.07933758199214935,0.36046290397644043,0.2999774217605591,-0.06048548221588135,0.7282478531851834,0.6106084681526296,-0.11763938503255378,1.373158871153876,1.637710664291077,0.264551793137201,0.5647058823529412,0.9178323297823068,0.3531264474293655
PCA11,mobilenetv3,gaussian_blur,6,blur_6,0.7642439603805542,0.2625063359737396,0.14791223406791687,-0.11459410190582275,0.36046290397644043,0.22576841711997986,-0.13469448685646057,0.7282478531851834,0.6551502462335643,-0.07309760695161904,1.373158871153876,1.5263674336519977,0.15320856249812165,0.4194534506716072,0.9178323297823068,0.4983788791106994
PCA11,mobilenetv3,gaussian_blur,8,blur_8,0.8319564461708069,0.2625063359737396,0.12317988276481628,-0.13932645320892334,0.36046290397644043,0.17711500823497772,-0.1833478957414627,0.7282478531851834,0.6954796433817402,-0.03276820980344319,1.373158871153876,1.4378566066111476,0.06469773545727153,0.3245947197776748,0.9178323297823068,0.5932376100046318
PCA11,mobilenetv3,gaussian_blur,10,blur_10,0.8735893964767456,0.2625063359737396,0.11029964685440063,-0.152206689119339,0.36046290397644043,0.1724981963634491,-0.18796470761299133,0.7282478531851834,0.6394249283743363,-0.08882292481084708,1.373158871153876,1.563905246144194,0.190746374990318,0.2536359425660028,0.9178323297823068,0.6641963872163039
PCA11,mobilenetv3,gaussian_blur,12,blur_12,0.8971960544586182,0.2625063359737396,0.10043748468160629,-0.16206885129213333,0.36046290397644043,0.1641731709241867,-0.19628973305225372,0.7282478531851834,0.6117776986106164,-0.116470154574567,1.373158871153876,1.6345806692055949,0.26142179805171883,0.2016674386289949,0.9178323297823068,0.7161648911533117
PCA11,mobilenetv3,defocus_blur,3,defocus_3,0.25680747628211975,0.2625063359737396,0.2509605586528778,-0.011545777320861816,0.36046290397644043,0.3871000409126282,0.026637136936187744,0.7282478531851834,0.6483093054219589,-0.07993854776322451,1.373158871153876,1.5424736181276,0.16931474697372395,0.8346456692913385,0.9178323297823068,0.0831866604909681
PCA11,mobilenetv3,defocus_blur,5,defocus_5,0.4483150243759155,0.2625063359737396,0.23162809014320374,-0.03087824583053589,0.36046290397644043,0.3724495768547058,0.01198667287826538,0.7282478531851834,0.6219045598045151,-0.10634329338066828,1.373158871153876,1.607963769093979,0.23480489794010295,0.687169986104678,0.9178323297823068,0.2306623436776286
PCA11,mobilenetv3,defocus_blur,8,defocus_8,0.5992333889007568,0.2625063359737396,0.20869402587413788,-0.053812310099601746,0.36046290397644043,0.34217530488967896,-0.018287599086761475,0.7282478531851834,0.6099038209125673,-0.11834403227261603,1.373158871153876,1.6396027795066968,0.2664439083528207,0.5535896248263085,0.9178323297823068,0.3642427049559982
PCA11,mobilenetv3,defocus_blur,11,defocus_11,0.7139224410057068,0.2625063359737396,0.19279040396213531,-0.06971593201160431,0.36046290397644043,0.3011998236179352,-0.05926308035850525,0.7282478531851834,0.6400747571707922,-0.08817309601439116,1.373158871153876,1.5623175086924546,0.18915863753857853,0.4498378879110699,0.9178323297823068,0.4679944418712367
