dataset,backbone,perturbation,severity,tag,feature_drift,intra_clean,intra_shift,delta_intra,inter_clean,inter_shift,delta_inter,fgcs_clean,fgcs_shift,delta_fgcs,fsr_clean,fsr_shift,delta_fsr,accuracy,acc_clean,drop
WRD25,convnext_tiny,gaussian_blur,2,blur_2,0.37075865268707275,0.20824477076530457,0.1981709748506546,-0.010073795914649963,0.3522644340991974,0.3551868796348572,0.00292244553565979,0.5911603630886648,0.5579343895089265,-0.03322597357973833,1.6915883784481938,1.7923254396993946,0.10073706125120085,0.696014828544949,0.925,0.228985171455051
WRD25,convnext_tiny,gaussian_blur,4,blur_4,0.6344682574272156,0.20824477076530457,0.2040824145078659,-0.00416235625743866,0.3522644340991974,0.308176726102829,-0.04408770799636841,0.5911603630886648,0.6622252662901285,0.07106490320146364,1.6915883784481938,1.510060172729635,-0.18152820571855877,0.3021316033364226,0.925,0.6228683966635774
WRD25,convnext_tiny,gaussian_blur,6,blur_6,0.7562933564186096,0.20824477076530457,0.1793580949306488,-0.02888667583465576,0.3522644340991974,0.23898009955883026,-0.11328433454036713,0.5911603630886648,0.7505147719904428,0.159354408901778,1.6915883784481938,1.3324188108221995,-0.3591695676259943,0.2182576459684893,0.925,0.7067423540315108
WRD25,convnext_tiny,gaussian_blur,8,blur_8,0.8118929266929626,0.20824477076530457,0.152578666806221,-0.05566610395908356,0.3522644340991974,0.18884721398353577,-0.16341722011566162,0.5911603630886648,0.8079476714944984,0.2167873084058336,1.6915883784481938,1.2377039197974955,-0.45388445865069826,0.206672845227062,0.925,0.718327154772938
WRD25,convnext_tiny,gaussian_blur,10,blur_10,0.833528459072113,0.20824477076530457,0.13723766803741455,-0.07100710272789001,0.3522644340991974,0.16920040547847748,-0.1830640286207199,0.5911603630886648,0.8110953850809263,0.21993502199226145,1.6915883784481938,1.2329006161220188,-0.4586877623261749,0.1788693234476367,0.925,0.7461306765523633
WRD25,convnext_tiny,gaussian_blur,12,blur_12,0.841485857963562,0.20824477076530457,0.13559812307357788,-0.07264664769172668,0.3522644340991974,0.18244358897209167,-0.1698208451271057,0.5911603630886648,0.7432331485998134,0.15207278551114856,1.6915883784481938,1.3454728195101537,-0.34611555893804,0.1492122335495829,0.925,0.7757877664504171
WRD25,convnext_tiny,defocus_blur,3,defocus_3,0.2918625771999359,0.20824477076530457,0.20031023025512695,-0.007934540510177612,0.3522644340991974,0.3639538884162903,0.011689454317092896,0.5911603630886648,0.5503725516624024,-0.04078781142626242,1.6915883784481938,1.8169510761019898,0.12536269765379604,0.773401297497683,0.925,0.151598702502317
WRD25,convnext_tiny,defocus_blur,5,defocus_5,0.46136680245399475,0.20824477076530457,0.20224228501319885,-0.006002485752105713,0.3522644340991974,0.31644558906555176,-0.03581884503364563,0.5911603630886648,0.6391060327635166,0.04794566967485181,1.6915883784481938,1.5646855900827055,-0.1269027883654883,0.5398517145505097,0.925,0.3851482854494903
WRD25,convnext_tiny,defocus_blur,8,defocus_8,0.594594419002533,0.20824477076530457,0.19974994659423828,-0.008494824171066284,0.3522644340991974,0.2908121347427368,-0.06145229935646057,0.5911603630886648,0.6868693659256843,0.09570900283701944,1.6915883784481938,1.4558809136178523,-0.23570746483034144,0.3475440222428174,0.925,0.5774559777571826
WRD25,convnext_tiny,defocus_blur,11,defocus_11,0.6817410588264465,0.20824477076530457,0.19753485918045044,-0.010709911584854126,0.3522644340991974,0.25724995136260986,-0.09501448273658752,0.5911603630886648,0.7678713178919623,0.17671095480329746,1.6915883784481938,1.3023015402441398,-0.38928683820405396,0.2636700648748841,0.925,0.6613299351251158
WRD25,convnext_tiny,defocus_blur,15,defocus_15,0.7561191320419312,0.20824477076530457,0.1937904953956604,-0.014454275369644165,0.3522644340991974,0.22779889404773712,-0.12446554005146027,0.5911603630886648,0.8507086753241656,0.2595483122355008,1.6915883784481938,1.1754905398360331,-0.5160978386121606,0.2154772937905468,0.925,0.7095227062094532
WRD25,convnext_tiny,resize,1.33,resize_1_33,0.14557959139347076,0.20824477076530457,0.22653888165950775,0.018294110894203186,0.3522644340991974,0.36262086033821106,0.010356426239013672,0.5911603630886648,0.6247265572317553,0.03356619414309048,1.6915883784481938,1.6007003198825582,-0.09088805856563553,0.9467099165894348,0.925,-0.0217099165894346
