dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,resnet50,0,5-Cassia_siamea080.jpg,resize_1_33,resize,1.33,0.000347137451171875,0.17446009922093916,0.0025568008422851562,1.5713617091607972,-0.01282888576314889,0.038256965577602386,0.001463595415205854
WRD25,resnet50,0,01201.jpg,resize_1_33,resize,1.33,0.002776336669921875,0.19669879567460247,0.00574493408203125,1.5657710809411916,0.01788766055147195,0.10038228332996368,0.010076602806537105
WRD25,resnet50,0,5-Cassia_siamea097.jpg,resize_1_33,resize,1.33,0.00018157958984375,0.20332452572056128,0.0027660727500915527,1.5584620547543357,-0.01933050504829925,0.032516978681087494,0.0010573539025462986
WRD25,resnet50,0,5-Cassia_siamea038.jpg,resize_1_33,resize,1.33,0.000432586669921875,0.17707724350425172,0.003078162670135498,1.580790487024052,-0.0004565863896204281,0.02641783095896244,0.0006979017925763144
WRD25,resnet50,0,5-Cassia_siamea010.jpg,resize_1_33,resize,1.33,0.00042572021484375,0.20097094935405688,0.00295180082321167,1.5682701090820106,-0.012224743224282575,0.02745828405022621,0.0007539573629829072
WRD25,resnet50,0,5-Cassia_siamea095.jpg,resize_1_33,resize,1.33,0.000386810302734375,0.19971484530918834,0.002728104591369629,1.5837048366747077,-0.0008504688618380385,0.00992542877793312,9.851413642582296e-05
WRD25,resnet50,0,20180108110717.jpg,resize_1_33,resize,1.33,0.001160430908203125,0.17818185306429515,0.0031129121780395508,1.561944834233386,0.09212717752289845,0.20346441864967346,0.04139776965644959
WRD25,resnet50,0,01105.jpg,resize_1_33,resize,1.33,0.002652740478515625,0.20519395588516595,0.005167841911315918,1.530243663342103,0.11801733554669003,0.13067175447940826,0.017075107418726754
WRD25,resnet50,0,5-Cassia_siamea054.jpg,resize_1_33,resize,1.33,0.00038604736328125,0.20134450362322623,0.0031375885009765625,1.5800291802534607,0.0050695882764384415,0.01686212234199047,0.0002843311698762542
WRD25,resnet50,0,5-Cassia_siamea053.jpg,resize_1_33,resize,1.33,0.000443267822265625,0.22880746004035782,0.00305938720703125,1.5779473155538888,0.0008448592743288685,0.008172046393156052,6.678234225189483e-05
WRD25,resnet50,1,20180115180251.jpg,resize_1_33,resize,1.33,0.00064697265625,0.21814271216472317,0.0034781694412231445,1.4931460387068167,-0.012981689589599998,0.037775881588459015,0.0014270172297852768
