dataset,backbone,condition,image_idx,label,cam_pct_c0,cam_pct_c1,cam_pct_c2,entropy
DTSR14,dinov2_b,clean,0,0,0.2830844223499298,0.31330394744873047,0.4036117196083069,1.5683074068114387
DTSR14,dinov2_b,clean,1,0,0.38956019282341003,0.4250507950782776,0.18538899719715118,1.505220597287423
DTSR14,dinov2_b,clean,2,0,0.2358250617980957,0.1834009289741516,0.5807740092277527,1.395576395106651
DTSR14,dinov2_b,clean,3,0,0.3646661341190338,0.46323785185813904,0.17209596931934357,1.4818951837430974
DTSR14,dinov2_b,clean,4,0,0.3262946605682373,0.19680273532867432,0.476902574300766,1.4981922135099803
DTSR14,dinov2_b,clean,5,0,0.26428887248039246,0.2087315320968628,0.5269795656204224,1.466201210118005
DTSR14,dinov2_b,clean,6,0,0.3215743899345398,0.12574243545532227,0.5526832342147827,1.3753049620885127
DTSR14,dinov2_b,clean,7,1,0.12444382160902023,0.5887481570243835,0.2868080139160156,1.3408819590125347
DTSR14,dinov2_b,clean,8,1,0.26975470781326294,0.28560158610343933,0.44464364647865295,1.5461701816426405
DTSR14,dinov2_b,clean,9,1,0.29560181498527527,0.46330514550209045,0.24109302461147308,1.5288057783319404
DTSR14,dinov2_b,clean,10,1,0.45960208773612976,0.28173792362213135,0.2586599588394165,1.5349726887364945
DTSR14,dinov2_b,clean,11,1,0.4833666980266571,0.2438267022371292,0.27280667424201965,1.5146616582206769
DTSR14,dinov2_b,clean,12,1,0.31436190009117126,0.464419960975647,0.22121815383434296,1.5201796316492469
DTSR14,dinov2_b,clean,13,1,0.2608078718185425,0.19167102873325348,0.5475211143493652,1.43830298794908
DTSR14,dinov2_b,clean,14,2,0.16548629105091095,0.680945634841919,0.15356795489788055,1.2220831170043798
DTSR14,dinov2_b,clean,15,2,0.13265004754066467,0.6769197583198547,0.19043011963367462,1.2232855737229988
DTSR14,dinov2_b,clean,16,2,0.6882568001747131,0.19545991718769073,0.11628326773643494,1.1922526983176625
DTSR14,dinov2_b,clean,17,2,0.5483057498931885,0.34742555022239685,0.10426881164312363,1.3453394596396029
DTSR14,dinov2_b,clean,18,2,0.4717612862586975,0.2073480635881424,0.3208906054496765,1.5081936380641596
DTSR14,dinov2_b,clean,19,2,0.16009747982025146,0.23593367636203766,0.6039688587188721,1.3540723992547612
DTSR14,dinov2_b,clean,20,2,0.5420705676078796,0.2565882205963135,0.2013411521911621,1.4479966699463735
DTSR14,dinov2_b,clean,21,2,0.5405729413032532,0.2642165422439575,0.1952105164527893,1.4471670763036242
DTSR14,dinov2_b,clean,22,2,0.5301597118377686,0.3321126401424408,0.13772763311862946,1.4074219024378818
DTSR14,dinov2_b,clean,23,2,0.5028709769248962,0.23898427188396454,0.2581447660923004,1.496572408231983
DTSR14,dinov2_b,clean,24,2,0.13049115240573883,0.4990467131137848,0.3704621493816376,1.4145253877611985
DTSR14,dinov2_b,clean,25,2,0.18084318935871124,0.5253874659538269,0.2937694787979126,1.4531831144276324
DTSR14,dinov2_b,clean,26,2,0.5770413279533386,0.1490740031003952,0.27388471364974976,1.3787973061768355
DTSR14,dinov2_b,clean,27,2,0.5615229606628418,0.31005221605300903,0.12842479348182678,1.371588336367877
DTSR14,dinov2_b,clean,28,2,0.33211883902549744,0.39730414748191833,0.27057701349258423,1.5675066894910843
DTSR14,dinov2_b,clean,29,2,0.22983786463737488,0.17457400262355804,0.5955882668495178,1.3724200664079773
DTSR14,dinov2_b,clean,30,2,0.3580590486526489,0.32062870264053345,0.3213122487068176,1.5830006762463884
DTSR14,dinov2_b,clean,31,2,0.5947286486625671,0.22346541285514832,0.18180590867996216,1.376127537007975
DTSR14,dinov2_b,clean,32,2,0.15530483424663544,0.458452969789505,0.38624218106269836,1.463194729405486
DTSR14,dinov2_b,clean,33,2,0.43292686343193054,0.32345566153526306,0.24361750483512878,1.5459178818640975
DTSR14,dinov2_b,clean,34,2,0.35132265090942383,0.399802029132843,0.24887524545192719,1.5583566764048806
DTSR14,dinov2_b,clean,35,2,0.6309799551963806,0.22884601354599,0.1401740163564682,1.3034155015762408
DTSR14,dinov2_b,clean,36,2,0.48284515738487244,0.27233919501304626,0.2448156625032425,1.5152483928368934
DTSR14,dinov2_b,clean,37,2,0.43871405720710754,0.20883165299892426,0.3524543046951294,1.523614286416512
DTSR14,dinov2_b,clean,38,2,0.395536333322525,0.3066841959953308,0.29777947068214417,1.5726485929649288
DTSR14,dinov2_b,clean,39,3,0.25683823227882385,0.5750439763069153,0.16811786592006683,1.3951851178217454
DTSR14,dinov2_b,clean,40,3,0.2638573944568634,0.33183401823043823,0.40430861711502075,1.5634988786663429
DTSR14,dinov2_b,clean,41,3,0.32125037908554077,0.5535881519317627,0.12516140937805176,1.3738075699648735
DTSR14,dinov2_b,clean,42,4,0.20384469628334045,0.3704786002635956,0.42567676305770874,1.522943686461013
DTSR14,dinov2_b,clean,43,4,0.22873477637767792,0.40668967366218567,0.36457559466362,1.5454047915303657
DTSR14,dinov2_b,clean,44,4,0.1878686249256134,0.5152155160903931,0.2969159483909607,1.466270122865215
DTSR14,dinov2_b,clean,45,4,0.2145000845193863,0.5759300589561462,0.20956988632678986,1.4073287295479258
DTSR14,dinov2_b,clean,46,4,0.24629811942577362,0.4763936400413513,0.27730828523635864,1.5206722996209638
DTSR14,dinov2_b,clean,47,4,0.1983240246772766,0.45536935329437256,0.3463066518306732,1.509503343945673
DTSR14,dinov2_b,clean,48,4,0.12105020880699158,0.5245438814163208,0.35440585017204285,1.3874147735209839
DTSR14,dinov2_b,clean,49,4,0.412340372800827,0.2359222173690796,0.35173746943473816,1.5487998607532572
DTSR14,dinov2_b,clean,50,4,0.4179604649543762,0.4067137837409973,0.17532570660114288,1.4943075836744775
DTSR14,dinov2_b,clean,51,4,0.4821624755859375,0.28476694226264954,0.2330705225467682,1.5131902096938834
DTSR14,dinov2_b,clean,52,5,0.4197215139865875,0.20277902483940125,0.3774995505809784,1.523058618196822
DTSR14,dinov2_b,clean,53,5,0.38784927129745483,0.2552754580974579,0.3568752110004425,1.5633279597453777
DTSR14,dinov2_b,clean,54,5,0.1689518690109253,0.4111382067203522,0.41990986466407776,1.4862828307257425
DTSR14,dinov2_b,clean,55,5,0.479754239320755,0.3063768446445465,0.21386894583702087,1.5071337151542068
DTSR14,dinov2_b,clean,56,5,0.20324772596359253,0.446214884519577,0.3505374789237976,1.5168205938643435
DTSR14,dinov2_b,clean,57,5,0.25788864493370056,0.41344740986824036,0.32866403460502625,1.5586525325628422
DTSR14,dinov2_b,clean,58,5,0.4445103406906128,0.2884710729122162,0.26701852679252625,1.5459891320430232
DTSR14,dinov2_b,clean,59,5,0.12634484469890594,0.18211951851844788,0.6915356516838074,1.1925423806362196
DTSR14,dinov2_b,clean,60,5,0.19681373238563538,0.48694106936454773,0.3162452280521393,1.4923270163896167
DTSR14,dinov2_b,clean,61,5,0.4973638355731964,0.27627313137054443,0.22636306285858154,1.49903530293832
DTSR14,dinov2_b,clean,62,5,0.414439857006073,0.26724565029144287,0.3183145821094513,1.561116335027894
DTSR14,dinov2_b,clean,63,5,0.19032220542430878,0.6671284437179565,0.14254947006702423,1.2457422598114944
DTSR14,dinov2_b,clean,64,5,0.32595643401145935,0.429062157869339,0.24498145282268524,1.5480566222197834
DTSR14,dinov2_b,clean,65,5,0.4714118540287018,0.39891937375068665,0.12966878712177277,1.4224997125209802
DTSR14,dinov2_b,clean,66,5,0.5624047517776489,0.2923760712146759,0.14521920680999756,1.3899268480797509
DTSR14,dinov2_b,clean,67,5,0.5161441564559937,0.25746509432792664,0.22639071941375732,1.4816631026188858
DTSR14,dinov2_b,clean,68,5,0.633135199546814,0.19726364314556122,0.16960124671459198,1.313593232735207
DTSR14,dinov2_b,clean,69,5,0.5414175391197205,0.27921783924102783,0.1793646216392517,1.437817007299101
DTSR14,dinov2_b,clean,70,5,0.4554893374443054,0.38277992606163025,0.16173076629638672,1.472148295968361
DTSR14,dinov2_b,clean,71,5,0.6480786800384521,0.14408642053604126,0.20783483982086182,1.2793174820208226
DTSR14,dinov2_b,clean,72,5,0.5501406788825989,0.2478308230638504,0.2020285278558731,1.4392232813788204
DTSR14,dinov2_b,clean,73,5,0.33562198281288147,0.23774728178977966,0.42663073539733887,1.5456698447768544
DTSR14,dinov2_b,clean,74,5,0.44423213601112366,0.12008650600910187,0.4356812834739685,1.4094630419109013
DTSR14,dinov2_b,clean,75,5,0.5430490970611572,0.21419769525527954,0.242753267288208,1.450308970296003
DTSR14,dinov2_b,clean,76,5,0.33092832565307617,0.2999723255634308,0.36909928917884827,1.5797826037557183
DTSR14,dinov2_b,clean,77,5,0.4573686122894287,0.37525075674057007,0.16738054156303406,1.4784451562816774
DTSR14,dinov2_b,clean,78,5,0.3181779682636261,0.36381566524505615,0.31800639629364014,1.5819892679055658
DTSR14,dinov2_b,clean,79,5,0.2588156759738922,0.4316902160644531,0.30949410796165466,1.5515394551769113
DTSR14,dinov2_b,clean,80,5,0.21959251165390015,0.4792032241821289,0.3012043535709381,1.5102850295440966
DTSR14,dinov2_b,clean,81,5,0.5268943309783936,0.34789958596229553,0.1252060979604721,1.3923299655798835
DTSR14,dinov2_b,clean,82,5,0.6383063197135925,0.35260942578315735,0.009084274992346764,1.0053051883362787
