dataset,backbone,condition,image_idx,label,cam_pct_c0,cam_pct_c1,cam_pct_c2,entropy
WRD25,hrnet32,clean,0,0,0.47037267684936523,0.2936863899230957,0.2359408736228943,1.5225424219301815
WRD25,hrnet32,clean,1,0,0.4131782352924347,0.14185164868831635,0.4449700713157654,1.446366215343044
WRD25,hrnet32,clean,2,0,0.377673864364624,0.2514245808124542,0.37090155482292175,1.562059456505593
WRD25,hrnet32,clean,3,0,0.4740596115589142,0.17153288424015045,0.354407399892807,1.4771572891741225
WRD25,hrnet32,clean,4,0,0.5204049944877625,0.45233121514320374,0.027263840660452843,1.1497757416505276
WRD25,hrnet32,clean,5,0,0.487162321805954,0.1334380954504013,0.3793995976448059,1.4236623871481624
WRD25,hrnet32,clean,6,0,0.558701753616333,0.014464407227933407,0.4268338680267334,1.0818827439035268
WRD25,hrnet32,clean,7,0,0.5133407711982727,0.00240046763792634,0.48425883054733276,1.0213368677116206
WRD25,hrnet32,clean,8,0,0.560352087020874,0.4043986201286316,0.03524929657578468,1.1665547150377102
WRD25,hrnet32,clean,9,0,0.49710723757743835,0.1016707569360733,0.40122199058532715,1.365202012676113
WRD25,hrnet32,clean,10,0,0.4539421796798706,0.455782413482666,0.09027547389268875,1.347110472001503
WRD25,hrnet32,clean,11,0,0.39892956614494324,0.2049350142478943,0.39613544940948486,1.5267468887061058
WRD25,hrnet32,clean,12,0,0.5181193351745605,0.003566215978935361,0.47831445932388306,1.0294205355508992
WRD25,hrnet32,clean,13,0,0.5614645481109619,0.011939622461795807,0.42659586668014526,1.068132761989583
WRD25,hrnet32,clean,14,0,0.4627193212509155,0.05524412542581558,0.4820365905761719,1.25274006695963
WRD25,hrnet32,clean,15,0,0.5181059241294861,0.47268256545066833,0.009211462922394276,1.0648049415101113
WRD25,hrnet32,clean,16,0,0.4883005619049072,0.0,0.5116994976997375,0.9996050222434769
WRD25,hrnet32,clean,17,0,0.5615560412406921,0.4146745204925537,0.023769456893205643,1.122339913973586
WRD25,hrnet32,clean,18,1,0.0,0.4654327630996704,0.5345673561096191,0.9965495056527582
WRD25,hrnet32,clean,19,1,0.3878118693828583,0.5755302309989929,0.03665795549750328,1.1635396015140773
WRD25,hrnet32,clean,20,1,0.5612606406211853,0.42197179794311523,0.01676749996840954,1.0918350207195406
WRD25,hrnet32,clean,21,1,0.024099048227071762,0.6459506750106812,0.3299503028392792,1.0646187324313465
