dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
WRD25,hrnet32,gaussian_blur,4,0,0.3625579744156584,0.3625579744156584,0.1314482848123852
WRD25,hrnet32,gaussian_blur,4,1,0.05821721898274399,0.05821721898274399,0.0033892445860847675
WRD25,hrnet32,gaussian_blur,4,2,0.1080601961182461,0.1080601961182461,0.01167700598511381
WRD25,hrnet32,gaussian_blur,4,3,0.1364676559419347,0.1364676559419347,0.018623421118286264
WRD25,hrnet32,gaussian_blur,4,4,0.4169292998745937,0.4169292998745937,0.1738300410939189
WRD25,hrnet32,gaussian_blur,4,5,0.179129568350835,0.179129568350835,0.03208740225755646
WRD25,hrnet32,gaussian_blur,4,6,0.532497873414326,0.532497873414326,0.2835539851907795
WRD25,hrnet32,gaussian_blur,4,7,0.570766363773055,0.570766363773055,0.3257742420147154
WRD25,hrnet32,gaussian_blur,4,8,0.18769838684343265,0.18769838684343265,0.03523068442362689
WRD25,hrnet32,gaussian_blur,4,9,0.02961137233459973,0.02961137233459973,0.0008768333715382983
WRD25,hrnet32,gaussian_blur,4,10,0.3466003352104657,0.3466003352104657,0.12013179236800718
WRD25,hrnet32,gaussian_blur,4,11,0.0938421671131772,0.0938421671131772,0.008806352328497476
WRD25,hrnet32,gaussian_blur,4,12,0.5549493766947784,0.5549493766947784,0.30796881069392307
WRD25,hrnet32,gaussian_blur,4,13,0.14894240866674033,0.14894240866674033,0.022183841099450284
WRD25,hrnet32,gaussian_blur,4,14,0.13282422374074987,0.13282422374074987,0.017642274412332782
WRD25,hrnet32,gaussian_blur,4,15,0.6205038615195114,0.6205038615195114,0.385025042160625
WRD25,hrnet32,gaussian_blur,4,16,0.15151777013248896,0.15151777013248896,0.022957634665921763
WRD25,hrnet32,gaussian_blur,4,17,0.19133076563030182,0.19133076563030182,0.03660746187667749
WRD25,hrnet32,gaussian_blur,4,18,0.5611873326312335,0.5611873326312335,0.31493122230575876
WRD25,hrnet32,gaussian_blur,4,19,0.31227135725933625,0.31227135725933625,0.09751340056458802
WRD25,hrnet32,gaussian_blur,4,20,0.322902057744462,0.322902057744462,0.10426573889560788
WRD25,hrnet32,gaussian_blur,4,21,0.10677975028045544,0.10677975028045544,0.011401915069956425
WRD25,hrnet32,gaussian_blur,4,22,0.054373758399916,0.054373758399916,0.0029565056025324353
WRD25,hrnet32,gaussian_blur,4,23,0.053798677327410546,0.053798677327410546,0.0028942976821788374
WRD25,hrnet32,gaussian_blur,4,24,0.6125287384862016,0.6125287384862016,0.37519145547149757
WRD25,hrnet32,gaussian_blur,4,25,0.14521538099962528,0.14521538099962528,0.02108750687886633
WRD25,hrnet32,gaussian_blur,4,26,0.12827597513764774,0.12827597513764774,0.016454725797514422
WRD25,hrnet32,gaussian_blur,4,27,0.10167285948859967,0.10167285948859967,0.010337370356588532
WRD25,hrnet32,gaussian_blur,4,28,0.2374004650838687,0.2374004650838687,0.05635898082203716
WRD25,hrnet32,gaussian_blur,4,29,0.18237329155932377,0.18237329155932377,0.03326001747418211
WRD25,hrnet32,gaussian_blur,4,30,0.471695692541086,0.471695692541086,0.22249682636181475
WRD25,hrnet32,gaussian_blur,4,31,0.07202273712813581,0.07202273712813581,0.005187274663428553
WRD25,hrnet32,gaussian_blur,4,32,0.07349862072494949,0.07349862072494949,0.005402047248469975
WRD25,hrnet32,gaussian_blur,4,33,0.13081978616259657,0.13081978616259657,0.017113816451627493
WRD25,hrnet32,gaussian_blur,4,34,0.26172938411874497,0.26172938411874497,0.06850227051117755
WRD25,hrnet32,gaussian_blur,4,35,0.1962388051934494,0.1962388051934494,0.038509668663752585
WRD25,hrnet32,gaussian_blur,4,36,0.4301380190369322,0.4301380190369322,0.18501871542101625
WRD25,hrnet32,gaussian_blur,4,37,0.2828607798680441,0.2828607798680441,0.0800102207875581
WRD25,hrnet32,gaussian_blur,4,38,0.44892722346643943,0.44892722346643943,0.20153565196928644
WRD25,hrnet32,gaussian_blur,4,39,0.06691508441131956,0.06691508441131956,0.004477628521774022
WRD25,hrnet32,gaussian_blur,4,40,0.2751515575525979,0.2751515575525979,0.07570837962362059
WRD25,hrnet32,gaussian_blur,4,41,0.7485034492857239,0.7485034492857239,0.5602574135926263
WRD25,hrnet32,gaussian_blur,4,42,0.3355065051653448,0.3355065051653448,0.11256461500826354
WRD25,hrnet32,gaussian_blur,4,43,0.3595447358794242,0.3595447358794242,0.1292724170986049
WRD25,hrnet32,gaussian_blur,4,44,0.7896898803530679,0.7896898803530679,0.6236101071320427
WRD25,hrnet32,gaussian_blur,4,45,0.66931822204035,0.66931822204035,0.4479868823552552
WRD25,hrnet32,gaussian_blur,4,46,0.028535598390175578,0.028535598390175578,0.0008142803754853911
WRD25,hrnet32,gaussian_blur,4,47,0.5139974034957272,0.5139974034957272,0.2641933308003494
WRD25,hrnet32,gaussian_blur,4,48,0.5366767327693259,0.5366767327693259,0.28802191549595846
WRD25,hrnet32,gaussian_blur,4,49,0.5580205422218287,0.5580205422218287,0.31138692554154374
WRD25,hrnet32,gaussian_blur,4,50,0.08889352552458411,0.08889352552458411,0.007902058880189888
WRD25,hrnet32,gaussian_blur,4,51,0.40760111737531685,0.40760111737531685,0.16613867088560683
WRD25,hrnet32,gaussian_blur,4,52,0.30175640764372447,0.30175640764372447,0.09105692955404561
WRD25,hrnet32,gaussian_blur,4,53,0.19282963264314223,0.19282963264314223,0.03718326722528918
WRD25,hrnet32,gaussian_blur,4,54,0.6867521990746848,0.6867521990746848,0.47162858293391546
WRD25,hrnet32,gaussian_blur,4,55,0.6269589083002293,0.6269589083002293,0.3930774726970153
WRD25,hrnet32,gaussian_blur,4,56,0.6651428927652762,0.6651428927652762,0.4424150677961597
WRD25,hrnet32,gaussian_blur,4,57,0.1722736736040245,0.1722736736040245,0.02967821861702597
WRD25,hrnet32,gaussian_blur,4,58,0.2996912267957246,0.2996912267957246,0.08981483141832643
WRD25,hrnet32,gaussian_blur,4,59,0.14674965776382706,0.14674965776382706,0.02153546205380037
WRD25,hrnet32,gaussian_blur,4,60,0.07774290964417482,0.07774290964417482,0.006043959999942331
WRD25,hrnet32,gaussian_blur,4,61,0.07652389267147279,0.07652389267147279,0.005855906149595087
WRD25,hrnet32,gaussian_blur,4,62,0.14919226114432468,0.14919226114432468,0.022258330785356373
WRD25,hrnet32,gaussian_blur,4,63,0.1140854850216817,0.1140854850216817,0.01301549789263236
WRD25,hrnet32,gaussian_blur,4,64,0.35215391893002385,0.35215391893002385,0.12401238261777381
WRD25,hrnet32,gaussian_blur,4,65,0.17041185964655728,0.17041185964655728,0.02904020190819794
WRD25,hrnet32,gaussian_blur,4,66,0.03354265601020763,0.03354265601020763,0.001125109772219118
WRD25,hrnet32,gaussian_blur,4,67,0.08370496293886474,0.08370496293886474,0.00700652082059672
WRD25,hrnet32,gaussian_blur,4,68,0.15389579587196528,0.15389579587196528,0.023683915987065606
WRD25,hrnet32,gaussian_blur,4,69,0.05152460688422408,0.05152460688422408,0.002654785114573832
WRD25,hrnet32,gaussian_blur,4,70,0.10102245541174716,0.10102245541174716,0.010205536497418443
WRD25,hrnet32,gaussian_blur,4,71,0.023416425928194873,0.023416425928194873,0.0005483290032506371
WRD25,hrnet32,gaussian_blur,4,72,0.14422980098885838,0.14422980098885838,0.020802235493285692
WRD25,hrnet32,gaussian_blur,4,73,0.08463367481261558,0.08463367481261558,0.007162858912287561
WRD25,hrnet32,gaussian_blur,4,74,0.2286084549427865,0.2286084549427865,0.05226182567132805
WRD25,hrnet32,gaussian_blur,4,75,0.21539570059752436,0.21539570059752436,0.046395307835898354
WRD25,hrnet32,gaussian_blur,4,76,0.19401093207030617,0.19401093207030617,0.037640241762788955
WRD25,hrnet32,gaussian_blur,4,77,0.13802966431464186,0.13802966431464186,0.019052188230812717
WRD25,hrnet32,gaussian_blur,4,78,0.13139215735590415,0.13139215735590415,0.01726389901463868
WRD25,hrnet32,gaussian_blur,4,79,0.021780151190523577,0.021780151190523577,0.0004743749858820656
WRD25,hrnet32,gaussian_blur,4,80,0.2565009216892763,0.2565009216892763,0.06579272282744825
WRD25,hrnet32,gaussian_blur,4,81,0.2168073882063943,0.2168073882063943,0.047005443580878166
WRD25,hrnet32,gaussian_blur,4,82,0.17020251178185963,0.17020251178185963,0.028968895016854068
WRD25,hrnet32,gaussian_blur,4,83,0.10576455447601531,0.10576455447601531,0.01118614098351001
WRD25,hrnet32,gaussian_blur,4,84,0.09715186296492305,0.09715186296492305,0.009438484477555187
WRD25,hrnet32,gaussian_blur,4,85,0.1262615500860044,0.1262615500860044,0.0159419790301206
WRD25,hrnet32,gaussian_blur,4,86,0.334525839444307,0.334525839444307,0.11190753725591829
WRD25,hrnet32,gaussian_blur,4,87,0.32321864248216564,0.32321864248216564,0.10447029084801401
WRD25,hrnet32,gaussian_blur,4,88,0.14072607606166174,0.14072607606166174,0.019803828483712604
WRD25,hrnet32,gaussian_blur,4,89,0.09375903218312094,0.09375903218312094,0.008790756115915508
WRD25,hrnet32,gaussian_blur,4,90,0.46827967792713315,0.46827967792713315,0.21928585675953954
WRD25,hrnet32,gaussian_blur,4,91,0.47615551138352386,0.47615551138352386,0.2267240710209051
WRD25,hrnet32,gaussian_blur,4,92,0.18426715023485646,0.18426715023485646,0.03395438265567516
WRD25,hrnet32,gaussian_blur,4,93,0.19165987992277317,0.19165987992277317,0.03673350957201183
WRD25,hrnet32,gaussian_blur,4,94,0.10162112363216251,0.10162112363216251,0.010326852768263258
WRD25,hrnet32,gaussian_blur,4,95,0.08022519088721503,0.08022519088721503,0.006436081252890089
WRD25,hrnet32,gaussian_blur,4,96,0.09782269911329765,0.09782269911329765,0.009569280461810764
