dataset,backbone,condition,image_idx,label,cam_pct_c0,cam_pct_c1,cam_pct_c2,entropy
PCA11,efficientnet_b3,clean,0,0,0.06007904186844826,0.44070252776145935,0.4992184638977051,1.2650500023756877
PCA11,efficientnet_b3,clean,1,0,0.1611844301223755,0.09458528459072113,0.7442303895950317,1.0634105015073705
PCA11,efficientnet_b3,clean,2,0,0.0719461441040039,0.3906174600124359,0.537436306476593,1.28437330404274
PCA11,efficientnet_b3,clean,3,0,0.13655149936676025,0.6850855946540833,0.17836295068264008,1.2096632577941104
PCA11,efficientnet_b3,clean,4,0,0.006445602513849735,0.2423734813928604,0.75118088722229,0.8525510371893334
PCA11,efficientnet_b3,clean,5,0,0.14427751302719116,0.33999237418174744,0.5157301425933838,1.4248347967365842
PCA11,efficientnet_b3,clean,6,0,0.16311198472976685,0.12284090369939804,0.7140470743179321,1.1452839968771096
PCA11,efficientnet_b3,clean,7,0,0.07361945509910583,0.4920955002307892,0.4342850148677826,1.3030643347519937
PCA11,efficientnet_b3,clean,8,0,0.10386313498020172,0.5726942420005798,0.3234427571296692,1.3265856880944613
PCA11,efficientnet_b3,clean,9,0,0.20087839663028717,0.15411096811294556,0.6450105905532837,1.2889772365626355
PCA11,efficientnet_b3,clean,10,1,0.3775290846824646,0.21903559565544128,0.40343528985977173,1.538747012203638
PCA11,efficientnet_b3,clean,11,1,0.36629781126976013,0.15170183777809143,0.48200035095214844,1.450961763608696
PCA11,efficientnet_b3,clean,12,1,0.4111488461494446,0.19262656569480896,0.3962246775627136,1.5141082150930258
PCA11,efficientnet_b3,clean,13,1,0.07389925420284271,0.4662269651889801,0.4598737955093384,1.3063785493197015
PCA11,efficientnet_b3,clean,14,1,0.5496129393577576,0.13315317034721375,0.31723397970199585,1.3873791539238334
PCA11,efficientnet_b3,clean,15,1,0.46998921036720276,0.19997946918010712,0.3300313651561737,1.5041544235256656
PCA11,efficientnet_b3,clean,16,1,0.49539679288864136,0.2554527819156647,0.24915049970149994,1.5044853213692715
PCA11,efficientnet_b3,clean,17,1,0.38649681210517883,0.22828547656536102,0.3852178156375885,1.546723486256121
PCA11,efficientnet_b3,clean,18,1,0.23960617184638977,0.31481918692588806,0.44557467103004456,1.5384786118885347
PCA11,efficientnet_b3,clean,19,1,0.3141652047634125,0.17962178587913513,0.5062130093574524,1.4668941144416512
PCA11,efficientnet_b3,clean,20,1,0.35276904702186584,0.4224366843700409,0.22479428350925446,1.5395088423129102
PCA11,efficientnet_b3,clean,21,1,0.35940685868263245,0.20469127595424652,0.4359018802642822,1.5212051890723488
PCA11,efficientnet_b3,clean,22,1,0.05687226727604866,0.4095279276371002,0.5335997939109802,1.246221407143575
PCA11,efficientnet_b3,clean,23,1,0.5409066081047058,0.025272678583860397,0.43382078409194946,1.136323678807945
PCA11,efficientnet_b3,clean,24,1,0.4903164803981781,0.1265549659729004,0.38312867283821106,1.4118463956373652
PCA11,efficientnet_b3,clean,25,1,0.4668135643005371,0.19441968202590942,0.3387666940689087,1.5014623371807132
PCA11,efficientnet_b3,clean,26,1,0.43175286054611206,0.33580833673477173,0.232438862323761,1.5411259668773456
PCA11,efficientnet_b3,clean,27,1,0.46799203753471375,0.31060299277305603,0.22140496969223022,1.5182108112643196
PCA11,efficientnet_b3,clean,28,1,0.445916086435318,0.2112889289855957,0.34279492497444153,1.5228967180056736
