dataset,backbone_a,backbone_b,ari_mean,ari_std,n_images
DTSR14,resnet50,efficientnet_b3,0.22024327118674372,0.14008569765522663,200
DTSR14,resnet50,convnext_tiny,0.11002357000901881,0.11736930534388951,200
DTSR14,resnet50,swin_tiny,0.1369749464560499,0.11006320200891923,200
DTSR14,resnet50,dinov2_b,0.3047364469014768,0.18485311547342,200
DTSR14,resnet50,hrnet32,0.27867047613091545,0.1542468615707263,200
DTSR14,resnet50,mobilenetv3,0.3468118382876591,0.15907945389827668,200
DTSR14,efficientnet_b3,convnext_tiny,0.03146955280687945,0.04897921596595147,200
DTSR14,efficientnet_b3,swin_tiny,0.04915158060907444,0.0665037421123164,200
DTSR14,efficientnet_b3,dinov2_b,0.11635062577032518,0.10703583751351664,200
DTSR14,efficientnet_b3,hrnet32,0.21924823504623422,0.12166195093673327,200
DTSR14,efficientnet_b3,mobilenetv3,0.253220926011352,0.16353402156563474,200
DTSR14,convnext_tiny,swin_tiny,0.13884518796124679,0.08925128719132326,200
DTSR14,convnext_tiny,dinov2_b,0.11944272635963028,0.09989959436008644,200
DTSR14,convnext_tiny,hrnet32,0.0795834230816547,0.0788849664526977,200
DTSR14,convnext_tiny,mobilenetv3,0.09457835213862438,0.09014561091564419,200
DTSR14,swin_tiny,dinov2_b,0.1888541013317436,0.132067870976591,200
DTSR14,swin_tiny,hrnet32,0.11805875585678001,0.09658420623855277,200
DTSR14,swin_tiny,mobilenetv3,0.094374203683385,0.08571943007326682,200
DTSR14,dinov2_b,hrnet32,0.2690809614601622,0.1462285549525634,200
DTSR14,dinov2_b,mobilenetv3,0.21140486859713697,0.1510191651297248,200
DTSR14,hrnet32,mobilenetv3,0.2202203296522998,0.1393214325784644,200
