dataset,backbone,condition,image_idx,sgi,sgi_c0,sgi_c1,sgi_c2
WRD25,resnet50,clean,0,0.008868781887755101,0.003547512755102041,0.0014548788265306123,0.003866390306122449
WRD25,resnet50,clean,1,0.007035235969387755,0.004723373724489796,0.0008569834183673469,0.0014548788265306123
WRD25,resnet50,clean,2,0.010363520408163265,0.0031090561224489796,0.0018136160714285715,0.005440848214285714
WRD25,resnet50,clean,3,0.003547512755102041,0.0,0.002690529336734694,0.0008569834183673469
WRD25,resnet50,clean,4,0.0036471619897959183,0.0,0.0030891262755102043,0.0005580357142857143
WRD25,resnet50,clean,5,0.0034478635204081634,0.0,0.002849968112244898,0.0005978954081632653
WRD25,resnet50,clean,6,0.013014190051020409,0.0029097576530612247,0.0040058992346938774,0.006098533163265306
WRD25,resnet50,clean,7,0.016143176020408163,0.004444355867346939,0.0034478635204081634,0.00825095663265306
WRD25,resnet50,clean,8,0.002810108418367347,0.0024912308673469387,7.971938775510203e-05,0.00023915816326530612
WRD25,resnet50,clean,9,0.010243941326530613,0.001953125,0.0027901785714285715,0.005500637755102041
WRD25,resnet50,clean,10,0.006816007653061225,0.0030891262755102043,0.00027901785714285713,0.0034478635204081634
WRD25,resnet50,clean,11,0.003627232142857143,0.002291932397959184,0.00023915816326530612,0.001096141581632653
WRD25,resnet50,clean,12,0.011459661989795918,0.0026705994897959183,0.0020527742346938774,0.0067362882653061226
WRD25,resnet50,clean,13,0.010762117346938776,0.002849968112244898,0.002192283163265306,0.005719866071428571
WRD25,resnet50,clean,14,0.003308354591836735,0.0019331951530612245,0.0003786670918367347,0.0009964923469387755
WRD25,resnet50,clean,15,0.002272002551020408,0.0020926339285714285,1.992984693877551e-05,0.00015943877551020407
WRD25,resnet50,clean,16,0.0024115114795918366,0.001913265306122449,0.00011957908163265306,0.0003786670918367347
WRD25,resnet50,clean,17,0.0037667410714285715,0.0,0.0031887755102040817,0.0005779655612244898
WRD25,resnet50,clean,18,0.010064572704081632,0.0030891262755102043,0.0006178252551020409,0.006357621173469388
WRD25,resnet50,clean,19,0.008629623724489796,0.003926179846938775,0.0002192283163265306,0.00448421556122449
WRD25,resnet50,clean,20,0.0027104591836734694,0.0,0.0017338966836734694,0.0009765625
WRD25,resnet50,clean,21,0.0038066007653061226,0.00025908801020408165,0.0007174744897959184,0.0028300382653061226
WRD25,resnet50,clean,22,0.004384566326530612,0.0011559311224489796,0.0005580357142857143,0.0026705994897959183
WRD25,resnet50,clean,23,0.003946109693877551,0.00045838647959183676,0.0008769132653061224,0.002610809948979592
WRD25,resnet50,clean,24,0.003208705357142857,0.0003786670918367347,0.0007573341836734694,0.002072704081632653
WRD25,resnet50,clean,25,0.00029894770408163266,0.0002192283163265306,1.992984693877551e-05,5.978954081632653e-05
WRD25,resnet50,clean,26,0.0008769132653061224,9.964923469387755e-05,3.985969387755102e-05,0.0007374043367346938
WRD25,resnet50,clean,27,0.0015146683673469387,0.0005978954081632653,3.985969387755102e-05,0.0008769132653061224
WRD25,resnet50,clean,28,0.002730389030612245,0.0001992984693877551,7.971938775510203e-05,0.0024513711734693877
WRD25,resnet50,clean,29,0.0001793686224489796,0.0,5.978954081632653e-05,0.00011957908163265306
WRD25,resnet50,clean,30,0.002590880102040816,0.0004982461734693878,9.964923469387755e-05,0.001992984693877551
WRD25,resnet50,clean,31,0.0006576849489795918,0.00031887755102040814,1.992984693877551e-05,0.00031887755102040814
WRD25,resnet50,clean,32,0.003248565051020408,0.001634247448979592,9.964923469387755e-05,0.0015146683673469387
WRD25,resnet50,clean,33,0.004364636479591837,0.00027901785714285713,0.0004185267857142857,0.003667091836734694
WRD25,resnet50,clean,34,0.003627232142857143,0.000817123724489796,0.00015943877551020407,0.002650669642857143
WRD25,resnet50,clean,35,0.001753826530612245,0.0003985969387755102,1.992984693877551e-05,0.0013352997448979591
WRD25,resnet50,clean,36,0.0007573341836734694,0.00015943877551020407,9.964923469387755e-05,0.0004982461734693878
WRD25,resnet50,clean,37,0.00045838647959183676,0.0,9.964923469387755e-05,0.0003587372448979592
WRD25,resnet50,clean,38,0.0006178252551020409,5.978954081632653e-05,0.00027901785714285713,0.00027901785714285713
WRD25,resnet50,clean,39,0.001833545918367347,0.0008370535714285714,7.971938775510203e-05,0.0009167729591836735
WRD25,resnet50,clean,40,0.0061782525510204085,0.004264987244897959,0.00025908801020408165,0.0016541772959183674
WRD25,resnet50,clean,41,0.002849968112244898,0.0009765625,7.971938775510203e-05,0.001793686224489796
WRD25,resnet50,clean,42,0.00023915816326530612,0.0,3.985969387755102e-05,0.0001992984693877551
